Name	Type	Mode 1
brand/primary	COLOR	#2563EB
brand/accent	COLOR	#1ED760
success/green	COLOR	#1FBD5C
warning/orange	COLOR	#F59E0B
error/red	COLOR	#DC2626
bg/base	COLOR	#F9FAFB
text/primary	COLOR	#171717
text/secondary	COLOR	#737373
code/bg	COLOR	#1E1E1E
spacing/xs	FLOAT	4
spacing/sm	FLOAT	8
spacing/md	FLOAT	16
spacing/lg	FLOAT	24
spacing/xl	FLOAT	32
spacing/2xl	FLOAT	48
font-family/base	STRING	Inter
font-family/code	STRING	JetBrains Mono
font-size/h1	FLOAT	48
font-size/h2	FLOAT	32
font-size/h3	FLOAT	24
font-size/body	FLOAT	16
font-size/code	FLOAT	14
radius/sm	FLOAT	4
radius/md	FLOAT	8
radius/lg	FLOAT	12
