"","Description","Results"
"1","MAIN INFORMATION ABOUT DATA",""
"2","Timespan","1998:2023"
"3","Sources (Journals, Books, etc)","1157"
"4","Documents","2000"
"5","Annual Growth Rate %","19.45"
"6","Document Average Age","7.35"
"7","Average citations per doc","11.97"
"8","Average citations per year per doc","1.507"
"9","References","36222"
"10","DOCUMENT TYPES",""
"11","article","381"
"12","article; early access","9"
"13","article; proceedings paper","26"
"14","editorial material","2"
"15","proceedings paper","1493"
"16","review","84"
"17","review; book chapter","1"
"18","review; early access","4"
"19","DOCUMENT CONTENTS",""
"20","Keywords Plus (ID)","885"
"21","Author's Keywords (DE)","3871"
"22","AUTHORS",""
"23","Authors","5969"
"24","Author Appearances","7564"
"25","Authors of single-authored docs","131"
"26","AUTHORS COLLABORATION",""
"27","Single-authored docs","137"
"28","Documents per Author","0.335"
"29","Co-Authors per Doc","3.78"
"30","International co-authorships %","16.6"
"31","",""
