"","Paper         ","DOI","TC","TCperYear","NTC"
"1","CARMIGNIANI J, 2011, MULTIMED TOOLS APPL                                                                                         ","10.1007/s11042-010-0660-6         ","619","44.21","20.44"
"2","BACCA J, 2014, EDUC TECHNOL SOC                                                                                                  ","NA                                ","557","50.64","39.66"
"3","ZHOU F, 2008, INT SYM MIX AUGMENT                                                                                                ","NA                                ","517","30.41","14.19"
"4","NEE AYC, 2012, CIRP ANN-MANUF TECHN                                                                                              ","10.1016/j.cirp.2012.05.010        ","408","31.38","19.54"
"5","BEKELE MK, 2018, ACM J COMPUT CULT HE                                                                                            ","10.1145/3145534                   ","337","48.14","20.51"
"6","IBÁÑEZ MB, 2018, COMPUT EDUC                                                                                                     ","10.1016/j.compedu.2018.05.002     ","325","46.43","19.78"
"7","HENDERSON S, 2011, IEEE T VIS COMPUT GR                                                                                          ","10.1109/TVCG.2010.245             ","231","16.50"," 7.63"
"8","FRAGA-LAMAS P, 2018, IEEE ACCESS                                                                                                 ","10.1109/ACCESS.2018.2808326       ","211","30.14","12.84"
"9","CHEN P, 2017, LECT N EDUC TECHNOL                                                                                                ","10.1007/978-981-10-2419-1_2       ","200","25.00","13.67"
"10","MCLEAN G, 2019, COMPUT HUM BEHAV                                                                                                 ","10.1016/j.chb.2019.07.002         ","187","31.17","16.63"
"11","BERNHARDT S, 2017, MED IMAGE ANAL                                                                                                ","10.1016/j.media.2017.01.007       ","187","23.38","12.79"
"12","HENDERSON SJ, 2009, INT SYM MIX AUGMENT                                                                                          ","10.1109/ISMAR.2009.5336486        ","181","11.31"," 6.97"
"13","LI GY, 2004, IEEE-ASME T MECH                                                                                                    ","10.1109/TMECH.2004.828651         ","180"," 8.57"," 8.89"
"14","MEOLA A, 2017, NEUROSURG REV                                                                                                     ","10.1007/s10143-016-0732-9         ","178","22.25","12.17"
"15","BOTTANI E, 2019, IISE TRANS                                                                                                      ","10.1080/24725854.2018.1493244     ","173","28.83","15.39"
"16","PELARGOS PE, 2017, J CLIN NEUROSCI                                                                                               ","10.1016/j.jocn.2016.09.002        ","160","20.00","10.94"
"17","GRUBERT J, 2017, IEEE T VIS COMPUT GR                                                                                            ","10.1109/TVCG.2016.2543720         ","153","19.12","10.46"
"18","ANDÚJAR JM, 2011, IEEE T EDUC                                                                                                    ","10.1109/TE.2010.2085047           ","148","10.57"," 4.89"
"19","LINDLBAUER D, 2018, PROCEEDINGS OF THE 2018 CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS (CHI 2018)                      ","10.1145/3173574.3173703           ","147","21.00"," 8.95"
"20","PAPAGIANNAKIS G, 2008, COMPUT ANIMAT VIRT W                                                                                      ","10.1002/cav.221                   ","131"," 7.71"," 3.59"
"21","ENYEDY N, 2012, INT J COMP-SUPP COLL                                                                                             ","10.1007/s11412-012-9150-3         ","130","10.00"," 6.23"
"22","HAUGSTVEDT AC, 2012, INT SYM MIX AUGMENT                                                                                         ","NA                                ","129"," 9.92"," 6.18"
"23","FARSHID M, 2018, BUS HORIZONS                                                                                                    ","10.1016/j.bushor.2018.05.009      ","126","18.00"," 7.67"
"24","PIUMSOMBOON T, 2013, LECT NOTES COMPUT SC                                                                                        ","NA                                ","125","10.42"," 9.69"
"25","BAUS O, 2014, FRONT HUM NEUROSCI                                                                                                 ","10.3389/fnhum.2014.00112          ","124","11.27"," 8.83"
"26","AYOUB A, 2019, BMC ORAL HEALTH                                                                                                   ","10.1186/s12903-019-0937-8         ","123","20.50","10.94"
"27","XIONG JH, 2021, ELIGHT                                                                                                           ","10.1186/s43593-021-00003-x        ","119","29.75","19.85"
"28","CARDOSO LFD, 2020, COMPUT IND ENG                                                                                                ","10.1016/j.cie.2019.106159         ","116","23.20","12.33"
"29","HUANG TK, 2018, KAOHSIUNG J MED SCI                                                                                              ","10.1016/j.kjms.2018.01.009        ","114","16.29"," 6.94"
"30","BOTDEN SMBI, 2009, SURG ENDOSC                                                                                                   ","10.1007/s00464-008-0144-1         ","112"," 7.00"," 4.31"
"31","JONES JA, 2008, APGV 2008: PROCEEDINGS OF THE SYMPOSIUM ON APPLIED PERCEPTION IN GRAPHICS AND VISUALIZATION                      ","NA                                ","110"," 6.47"," 3.02"
"32","WAGNER D, 2003, SEVENTH IEEE INTERNATIONAL SYMPOSIUM ON WEARABLE COMPUTERS, PROCEEDINGS                                          ","10.1109/ISWC.2003.1241402         ","107"," 4.86"," 7.74"
"33","SUTHERLAND J, 2019, J DIGIT IMAGING                                                                                              ","10.1007/s10278-018-0122-7         ","107","17.83"," 9.52"
"34","ZHANG J, 2015, INT SYM MIX AUGMENT                                                                                               ","10.1109/ISMAR-MASHD.2015.17       ","100","10.00"," 9.46"
"35","RAUSCHNABEL PA, 2022, COMPUT HUM BEHAV                                                                                           ","10.1016/j.chb.2022.107289         "," 99","33.00","23.51"
"36","BLANCO-NOVOA O, 2018, IEEE ACCESS                                                                                                ","10.1109/ACCESS.2018.2802699       "," 95","13.57"," 5.78"
"37","YOON JW, 2018, INT J MED ROBOT COMP                                                                                              ","10.1002/rcs.1914                  "," 93","13.29"," 5.66"
"38","EL SAYED NAM, 2011, COMPUT EDUC                                                                                                  ","10.1016/j.compedu.2010.10.019     "," 93"," 6.64"," 3.07"
"39","HUANG KT, 2019, CYBERPSYCH BEH SOC N                                                                                             ","10.1089/cyber.2018.0150           "," 92","15.33"," 8.18"
"40","HETTIARACHCHI A, 2016, 34TH ANNUAL CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS, CHI 2016                                ","10.1145/2858036.2858134           "," 91","10.11","11.52"
"41","NOH Z, 2009, LECT NOTES COMPUT SC                                                                                                ","10.1007/978-3-642-03364-3_7       "," 90"," 5.62"," 3.47"
"42","ELMQADDEM N, 2019, INT J EMERG TECHNOL                                                                                           ","10.3991/ijet.v14i03.9289          "," 88","14.67"," 7.83"
"43","MAIMONE A, 2013, INT SYM MIX AUGMENT                                                                                             ","NA                                "," 88"," 7.33"," 6.82"
"44","VERHEY JT, 2020, INT J MED ROBOT COMP                                                                                            ","10.1002/rcs.2067                  "," 87","17.40"," 9.25"
"45","GERUP J, 2020, INT J MED EDUC                                                                                                    ","10.5116/ijme.5e01.eb1a            "," 86","17.20"," 9.14"
"46","MIYASHITA T, 2008, INT SYM MIX AUGMENT                                                                                           ","NA                                "," 86"," 5.06"," 2.36"
"47","VAN ESCH P, 2019, J RETAIL CONSUM SERV                                                                                           ","10.1016/j.jretconser.2019.03.002  "," 85","14.17"," 7.56"
"48","BAU O, 2012, ACM T GRAPHIC                                                                                                       ","10.1145/2185520.2185585           "," 84"," 6.46"," 4.02"
"49","MA M, 2016, CLIN ANAT                                                                                                            ","10.1002/ca.22675                  "," 84"," 9.33","10.63"
"50","RADU I, 2012, INT SYM MIX AUGMENT                                                                                                ","NA                                "," 82"," 6.31"," 3.93"
"51","NEUMANN U, 1999, IEEE T MULTIMEDIA                                                                                               ","10.1109/6046.748171               "," 80"," 3.08"," 2.01"
"52","SCHWERDTFEGER B, 2008, INT SYM MIX AUGMENT                                                                                       ","NA                                "," 79"," 4.65"," 2.17"
"53","KOWALCZUK P, 2021, J BUS RES                                                                                                     ","10.1016/j.jbusres.2020.10.050     "," 78","19.50","13.01"
"54","YANG X, 2012, INT SYM MIX AUGMENT                                                                                                ","NA                                "," 77"," 5.92"," 3.69"
"55","STEFFEN JH, 2019, J MANAGE INFORM SYST                                                                                           ","10.1080/07421222.2019.1628877     "," 77","12.83"," 6.85"
"56","RAUSCHNABEL PA, 2022, J BUS RES                                                                                                  ","10.1016/j.jbusres.2021.12.084     "," 77","25.67","18.28"
"57","WITHER J, 2009, COMPUT GRAPH-UK                                                                                                  ","10.1016/j.cag.2009.06.001         "," 77"," 4.81"," 2.96"
"58","PARK Y, 2008, INT SYM MIX AUGMENT                                                                                                ","NA                                "," 76"," 4.47"," 2.09"
"59","ONG SK, 2020, ROBOT CIM-INT MANUF                                                                                                ","10.1016/j.rcim.2019.101820        "," 76","15.20"," 8.08"
"60","JESSEN A, 2020, J BUS RES                                                                                                        ","10.1016/j.jbusres.2020.05.002     "," 76","15.20"," 8.08"
"61","BAUMEISTER J, 2017, IEEE T VIS COMPUT GR                                                                                         ","10.1109/TVCG.2017.2735098         "," 76"," 9.50"," 5.20"
"62","SCAVARELLI A, 2021, VIRTUAL REAL-LONDON                                                                                          ","10.1007/s10055-020-00444-8        "," 76","19.00","12.68"
"63","REINHART G, 2003, CIRP ANN-MANUF TECHN                                                                                           ","10.1016/S0007-8506(07)60517-4     "," 75"," 3.41"," 5.43"
"64","SHENAI MB, 2011, NEUROSURGERY                                                                                                    ","10.1227/NEU.0b013e3182077efd      "," 75"," 5.36"," 2.48"
"65","STOLTZ MH, 2017, IFAC PAPERSONLINE                                                                                               ","10.1016/j.ifacol.2017.08.1807     "," 73"," 9.12"," 4.99"
"66","THOMAS B, 2002, PERS UBIQUIT COMPUT                                                                                              ","10.1007/s007790200007             "," 73"," 3.17"," 2.80"
"67","FERNÁNDEZ-CARAMÉS TM, 2018, SENSORS-BASEL                                                                                        ","10.3390/s18061798                 "," 73","10.43"," 4.44"
"68","SYBERFELDT A, 2015, PROCEDIA MANUF                                                                                               ","10.1016/j.promfg.2015.09.068      "," 72"," 7.20"," 6.81"
"69","LUKOSCH S, 2015, COMPUT SUPP COOP W J                                                                                            ","10.1007/s10606-015-9239-0         "," 71"," 7.10"," 6.72"
