"","Authors       ","Articles","Authors       ","Articles Fractionalized"
"1","BILLINGHURST M      ","32","BILLINGHURST M   ","7.83"
"2","SCHMALSTIEG D       ","23","SCHMALSTIEG D    ","6.78"
"3","SANDOR C            ","19","THOMAS BH        ","5.42"
"4","THOMAS BH           ","17","HÖLLERER T       ","5.15"
"5","NAVAB N             ","16","SANDOR C         ","5.03"
"6","HÖLLERER T          ","15","FEINER S         ","4.09"
"7","FERRARI V           ","14","KLINKER G        ","3.93"
"8","KATO H              ","14","LI Y             ","3.20"
"9","KLINKER G           ","13","TEICHRIEB V      ","3.17"
"10","TEICHRIEB V         ","13","NAVAB N          ","3.15"
"11","CUTOLO F            ","11","WOO W            ","3.12"
"12","FEINER S            ","11","KATO H           ","3.00"
"13","CONDINO S           ","10","WANG YT          ","2.66"
"14","WANG YT             ","10","BOWMAN DA        ","2.62"
"15","KALKOFEN D          "," 9","FERRARI V        ","2.56"
"16","LIU Y               "," 9","DE PAOLIS LT     ","2.53"
"17","DE PAOLIS LT        "," 8","MÜLLER T         ","2.50"
"18","KLIMANT P           "," 8","LIU Y            ","2.44"
"19","LANGLOTZ T          "," 8","SZAFIR D         ","2.42"
"20","MARTINS VF          "," 8","LIAROKAPIS F     ","2.40"
"21","SMITH RT            "," 8","NOVAK-MARCINCIN J","2.33"
"22","WOO W               "," 8","RADU I           ","2.33"
"23","ZOLLMANN S          "," 8","NIJHOLT A        ","2.17"
"24","BODENHEIMER B       "," 7","KLIMANT P        ","2.15"
"25","BOWMAN DA           "," 7","MARTINS VF       ","2.09"
"26","CARBONE M           "," 7","CHOI YM          ","2.00"
"27","CREEM-REGEHR S      "," 7","CIRULIS A        ","2.00"
"28","ECK U               "," 7","GJOSÆTER T       ","2.00"
"29","GABBARD JL          "," 7","HSIEH MC         ","2.00"
"30","GRASSET R           "," 7","LIAO T           ","2.00"
"31","KANBARA M           "," 7","PAPAGIANNIS H    ","2.00"
"32","LIAROKAPIS F        "," 7","CUTOLO F         ","2.00"
"33","PIUMSOMBOON T       "," 7","YOKOYA N         ","1.95"
"34","REITMAYR G          "," 7","KALKOFEN D       ","1.86"
"35","SWAN JE             "," 7","SWAN JE          ","1.84"
"36","TAKETOMI T          "," 7","LAGES WS         ","1.83"
"37","WILD F              "," 7","VOVK A           ","1.83"
"38","YOKOYA N            "," 7","NAKAJIMA T       ","1.82"
"39","BALDIRIS S          "," 6","ZOLLMANN S       ","1.82"
"40","GUIMARAES MD        "," 6","PIUMSOMBOON T    ","1.82"
"41","LI Y                "," 6","REITMAYR G       ","1.81"
"42","LORENZ M            "," 6","KANBARA M        ","1.72"
"43","MANGINA E           "," 6","CONDINO S        ","1.70"
"44","NAKAJIMA T          "," 6","SMITH RT         ","1.69"
"45","PARK H              "," 6","MANGINA E        ","1.67"
"46","SZAFIR D            "," 6","ECKHOFF D        ","1.67"
"47","WENG DD             "," 6","HACHET M         ","1.67"
"48","BAUMEISTER J        "," 5","HÜRST W          ","1.67"
"49","CONTERO M           "," 5","MATUSZKA T       ","1.67"
"50","DACHSELT R          "," 5","STRICKER D       ","1.67"
"51","ELSAYED NAM         "," 5","GABBARD JL       ","1.66"
"52","EVANGELISTA A       "," 5","LANGLOTZ T       ","1.65"
"53","FABREGAT R          "," 5","CONTERO M        ","1.62"
"54","FERRARI M           "," 5","LORENZ M         ","1.62"
"55","FIORENTINO M        "," 5","GUIMARAES MD     ","1.59"
"56","FRONTONI E          "," 5","RAMBLI DRA       ","1.58"
"57","HÜRST W             "," 5","WILD F           ","1.57"
"58","ITOH Y              "," 5","PARK H           ","1.53"
"59","KIM J               "," 5","GIRBACIA F       ","1.50"
"60","LI X                "," 5","HAMAM A          ","1.50"
"61","MANABE Y            "," 5","KURZ D           ","1.50"
"62","NOVAK-MARCINCIN J   "," 5","LIESTOL G        ","1.50"
"63","NUERNBERGER B       "," 5","MADSEN CB        ","1.50"
"64","PANKRATZ F          "," 5","ITOH Y           ","1.50"
"65","PARHIZKAR B         "," 5","BALDIRIS S       ","1.48"
"66","PIERDICCA R         "," 5","GRASSET R        ","1.48"
"67","PLOPSKI A           "," 5","WENG DD          ","1.48"
"68","STEFANUCCI J        "," 5","WAGNER D         ","1.48"
"69","STRICKER D          "," 5","NOROUZI N        ","1.45"
"70","TEIXEIRA JM         "," 5","ZHANG YX         ","1.45"
"71","UVA AE              "," 5","CABERO-ALMENARA J","1.42"
"72","ZORZAL ER           "," 5","SEICHTER H       ","1.42"
"73","ADCOCK M            "," 4","SUNAR MS         ","1.42"
"74","BENBELKACEM S       "," 4","BODENHEIMER B    ","1.40"
"75","BERGIG O            "," 4","CREEM-REGEHR S   ","1.40"
"76","BOSTANCI E          "," 4","ZORZAL ER        ","1.38"
"77","BRUDER G            "," 4","DACHSELT R       ","1.37"
"78","CABERO-ALMENARA J   "," 4","ECK U            ","1.36"
"79","CATTARI N           "," 4","DIDIER JY        ","1.33"
"80","CHEN J              "," 4","GRECI L          ","1.33"
"81","CHIU PH             "," 4","HSU PH           ","1.33"
"82","CIDOTA MA           "," 4","IWAI D           ","1.33"
"83","CLARK A             "," 4","KIM MJ           ","1.33"
"84","DIDIER JY           "," 4","LAN TS           ","1.33"
"85","ECKHOFF D           "," 4","OGAWA T          ","1.33"
"86","EL-SANA J           "," 4","RUZANKA S        ","1.33"
"87","ERKOYUNCU JA        "," 4","SARKAR P         ","1.33"
"88","FALLAVOLLITA P      "," 4","LAERA F          ","1.31"
"89","FERNÁNDEZ-CARAMÉS TM"," 4","ABABSA F         ","1.25"
"90","FIDA B              "," 4","BARAKONYI I      ","1.25"
"91","FRAGA-LAMAS P       "," 4","BUTKIEWICZ T     ","1.25"
"92","FUJIMOTO Y          "," 4","CARROZZINO M     ","1.25"
"93","GATTULLO M          "," 4","CLARK A          ","1.25"
"94","GONZÁLEZ E          "," 4","LEE JW           ","1.25"
"95","HACHET M            "," 4","LIVINGSTON MA    ","1.25"
"96","HAGBI N             "," 4","PARHIZKAR B      ","1.25"
"97","HAN B               "," 4","PINHO MS         ","1.25"
"98","HUYNH B             "," 4","SALINAS P        ","1.25"
"99","IWAI D              "," 4","SCARGILL T       ","1.25"
"100","KIRNER C            "," 4","WILSON AD        ","1.25"
