"","Country","Articles","Freq","SCP","MCP","MCP_Ratio"
"1","USA            ","295","0.151671","267","28","0.0949"
"2","CHINA          ","201","0.103342","175","26","0.1294"
"3","GERMANY        ","157","0.080720","131","26","0.1656"
"4","BRAZIL         "," 87","0.044730"," 77","10","0.1149"
"5","ITALY          "," 77","0.039589"," 64","13","0.1688"
"6","JAPAN          "," 68","0.034961"," 62"," 6","0.0882"
"7","SPAIN          "," 66","0.033933"," 47","19","0.2879"
"8","INDIA          "," 64","0.032905"," 57"," 7","0.1094"
"9","KOREA          "," 63","0.032391"," 54"," 9","0.1429"
"10","UNITED KINGDOM "," 56","0.028792"," 45","11","0.1964"
"11","AUSTRALIA      "," 52","0.026735"," 38","14","0.2692"
"12","AUSTRIA        "," 51","0.026221"," 34","17","0.3333"
"13","PORTUGAL       "," 51","0.026221"," 45"," 6","0.1176"
"14","CANADA         "," 39","0.020051"," 30"," 9","0.2308"
"15","MALAYSIA       "," 38","0.019537"," 33"," 5","0.1316"
"16","FRANCE         "," 37","0.019023"," 30"," 7","0.1892"
"17","NETHERLANDS    "," 32","0.016452"," 24"," 8","0.2500"
"18","SWITZERLAND    "," 30","0.015424"," 21"," 9","0.3000"
"19","INDONESIA      "," 26","0.013368"," 25"," 1","0.0385"
"20","ROMANIA        "," 26","0.013368"," 23"," 3","0.1154"
"21","TURKEY         "," 26","0.013368"," 22"," 4","0.1538"
"22","UKRAINE        "," 25","0.012853"," 23"," 2","0.0800"
"23","FINLAND        "," 23","0.011825"," 19"," 4","0.1739"
"24","MEXICO         "," 23","0.011825"," 23"," 0","0.0000"
"25","CZECH REPUBLIC "," 20","0.010283"," 17"," 3","0.1500"
"26","SINGAPORE      "," 18","0.009254"," 11"," 7","0.3889"
"27","SWEDEN         "," 18","0.009254"," 15"," 3","0.1667"
"28","NEW ZEALAND    "," 17","0.008740"," 11"," 6","0.3529"
"29","ECUADOR        "," 16","0.008226","  9"," 7","0.4375"
"30","GREECE         "," 16","0.008226"," 14"," 2","0.1250"
"31","RUSSIA         "," 16","0.008226"," 15"," 1","0.0625"
"32","COLOMBIA       "," 13","0.006684","  7"," 6","0.4615"
"33","NORWAY         "," 12","0.006170"," 11"," 1","0.0833"
"34","POLAND         "," 11","0.005656","  9"," 2","0.1818"
"35","IRELAND        "," 10","0.005141","  8"," 2","0.2000"
"36","THAILAND       "," 10","0.005141"," 10"," 0","0.0000"
"37","BELGIUM        ","  8","0.004113","  4"," 4","0.5000"
"38","DENMARK        ","  8","0.004113","  6"," 2","0.2500"
"39","PAKISTAN       ","  8","0.004113","  6"," 2","0.2500"
"40","SAUDI ARABIA   ","  8","0.004113","  4"," 4","0.5000"
"41","HUNGARY        ","  7","0.003599","  4"," 3","0.4286"
"42","ARGENTINA      ","  6","0.003085","  6"," 0","0.0000"
"43","CROATIA        ","  6","0.003085","  5"," 1","0.1667"
"44","ISRAEL         ","  6","0.003085","  1"," 5","0.8333"
"45","SLOVAKIA       ","  6","0.003085","  5"," 1","0.1667"
"46","U ARAB EMIRATES","  6","0.003085","  4"," 2","0.3333"
"47","CYPRUS         ","  5","0.002571","  3"," 2","0.4000"
"48","LITHUANIA      ","  5","0.002571","  5"," 0","0.0000"
"49","MOROCCO        ","  5","0.002571","  4"," 1","0.2000"
"50","PERU           ","  5","0.002571","  4"," 1","0.2000"
"51","PHILIPPINES    ","  5","0.002571","  5"," 0","0.0000"
"52","ALGERIA        ","  4","0.002057","  2"," 2","0.5000"
"53","BANGLADESH     ","  4","0.002057","  3"," 1","0.2500"
"54","SERBIA         ","  4","0.002057","  3"," 1","0.2500"
"55","CHILE          ","  3","0.001542","  2"," 1","0.3333"
"56","EGYPT          ","  3","0.001542","  3"," 0","0.0000"
"57","IRAN           ","  3","0.001542","  2"," 1","0.3333"
"58","KAZAKHSTAN     ","  3","0.001542","  3"," 0","0.0000"
"59","LATVIA         ","  3","0.001542","  3"," 0","0.0000"
"60","SLOVENIA       ","  3","0.001542","  2"," 1","0.3333"
"61","SRI LANKA      ","  3","0.001542","  2"," 1","0.3333"
"62","BULGARIA       ","  2","0.001028","  2"," 0","0.0000"
"63","JORDAN         ","  2","0.001028","  1"," 1","0.5000"
"64","LUXEMBOURG     ","  2","0.001028","  2"," 0","0.0000"
"65","MALTA          ","  2","0.001028","  2"," 0","0.0000"
"66","MAURITIUS      ","  2","0.001028","  1"," 1","0.5000"
"67","OMAN           ","  2","0.001028","  1"," 1","0.5000"
"68","SOUTH AFRICA   ","  2","0.001028","  2"," 0","0.0000"
"69","BENIN          ","  1","0.000514","  1"," 0","0.0000"
"70","CUBA           ","  1","0.000514","  1"," 0","0.0000"
"71","ESTONIA        ","  1","0.000514","  1"," 0","0.0000"
"72","HONDURAS       ","  1","0.000514","  0"," 1","1.0000"
"73","IRAQ           ","  1","0.000514","  1"," 0","0.0000"
"74","KUWAIT         ","  1","0.000514","  1"," 0","0.0000"
"75","LEBANON        ","  1","0.000514","  0"," 1","1.0000"
"76","NIGERIA        ","  1","0.000514","  0"," 1","1.0000"
"77","PANAMA         ","  1","0.000514","  1"," 0","0.0000"
"78","QATAR          ","  1","0.000514","  0"," 1","1.0000"
"79","RWANDA         ","  1","0.000514","  1"," 0","0.0000"
"80","TANZANIA       ","  1","0.000514","  1"," 0","0.0000"
"81","TUNISIA        ","  1","0.000514","  0"," 1","1.0000"
"82","URUGUAY        ","  1","0.000514","  0"," 1","1.0000"
