"","Sources       ","Articles"
"1","2021 IEEE INTERNATIONAL SYMPOSIUM ON MIXED AND AUGMENTED REALITY ADJUNCT PROCEEDINGS (ISMAR-ADJUNCT 2021)                      ","22"
"2","2013 INTERNATIONAL CONFERENCE ON VIRTUAL AND AUGMENTED REALITY IN EDUCATION                                                    ","19"
"3","2014 IEEE INTERNATIONAL SYMPOSIUM ON MIXED AND AUGMENTED REALITY (ISMAR) - SCIENCE AND TECHNOLOGY                              ","19"
"4","IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS                                                                       ","19"
"5","2013 IEEE INTERNATIONAL SYMPOSIUM ON MIXED AND AUGMENTED REALITY (ISMAR) - SCIENCE AND TECHNOLOGY                              ","18"
"6","2022 IEEE INTERNATIONAL SYMPOSIUM ON MIXED AND AUGMENTED REALITY ADJUNCT (ISMAR-ADJUNCT 2022)                                  ","18"
"7","ADJUNCT PROCEEDINGS OF THE 2020 IEEE INTERNATIONAL SYMPOSIUM ON MIXED AND AUGMENTED REALITY (ISMAR-ADJUNCT 2020)               ","18"
"8","ADJUNCT PROCEEDINGS OF THE 2016 IEEE INTERNATIONAL SYMPOSIUM ON MIXED AND AUGMENTED REALITY (ISMAR-ADJUNCT)                    ","15"
"9","APPLIED SCIENCES-BASEL                                                                                                         ","15"
"10","MULTIMEDIA TOOLS AND APPLICATIONS                                                                                              ","14"
"11","AUGMENTED AND VIRTUAL REALITY AVR 2015                                                                                         ","13"
"12","2009 8TH IEEE INTERNATIONAL SYMPOSIUM ON MIXED AND AUGMENTED REALITY -SCIENCE AND TECHNOLOGY                                   ","12"
"13","2015 INTERNATIONAL CONFERENCE VIRTUAL AND AUGMENTED REALITY IN EDUCATION                                                       ","12"
"14","VIRTUAL REALITY                                                                                                                ","12"
"15","2006 IEEE/ACM INTERNATIONAL SYMPOSIUM ON MIXED AND AUGMENTED REALITY                                                           ","11"
"16","2012 IEEE INTERNATIONAL SYMPOSIUM ON MIXED AND AUGMENTED REALITY (ISMAR) - SCIENCE AND TECHNOLOGY                              ","11"
"17","2019 26TH IEEE CONFERENCE ON VIRTUAL REALITY AND 3D USER INTERFACES (VR)                                                       ","11"
"18","PROCEEDINGS OF THE 3RD INTERNATIONAL WORKSHOP ON AUGMENTED REALITY IN EDUCATION (AREDU 2020)                                   ","11"
"19","2015 IEEE INTERNATIONAL SYMPOSIUM ON MIXED AND AUGMENTED REALITY                                                               ","10"
"20","7TH IEEE INTERNATIONAL SYMPOSIUM ON MIXED AND AUGMENTED REALITY 2008 PROCEEDINGS                                               ","10"
"21","ADJUNCT PROCEEDINGS OF THE 2017 IEEE INTERNATIONAL SYMPOSIUM ON MIXED AND AUGMENTED REALITY (ISMAR-ADJUNCT)                    ","10"
"22","2014 XVI SYMPOSIUM ON VIRTUAL AND AUGMENTED REALITY (SVR)                                                                      "," 9"
"23","2020 22ND SYMPOSIUM ON VIRTUAL AND AUGMENTED REALITY (SVR 2020)                                                                "," 9"
"24","AUGMENTED REALITY VIRTUAL REALITY AND COMPUTER GRAPHICS (AVR 2019) PT II                                                       "," 9"
"25","FRONTIERS IN VIRTUAL REALITY                                                                                                   "," 9"
"26","IEEE ACCESS                                                                                                                    "," 9"
"27","INFORMATION                                                                                                                    "," 9"
"28","PROCEEDINGS OF THE 2ND INTERNATIONAL WORKSHOP ON AUGMENTED REALITY IN EDUCATION (AREDU 2019)                                   "," 9"
"29","2021 IEEE CONFERENCE ON VIRTUAL REALITY AND 3D USER INTERFACES ABSTRACTS AND WORKSHOPS (VRW 2021)                              "," 8"
"30","2022 IEEE INTERNATIONAL SYMPOSIUM ON MIXED AND AUGMENTED REALITY (ISMAR 2022)                                                  "," 8"
