"","Country     ","Total Citations","Average Article Citations"
"1","USA            ","5438","18.434"
"2","SPAIN          ","2059","31.197"
"3","GERMANY        ","1746","11.121"
"4","CHINA          ","1323"," 6.582"
"5","SINGAPORE      ","1157","64.278"
"6","AUSTRALIA      ","1034","19.885"
"7","UNITED KINGDOM ","1012","18.071"
"8","AUSTRIA        "," 938","18.392"
"9","ITALY          "," 836","10.857"
"10","CANADA         "," 769","19.718"
"11","KOREA          "," 627"," 9.952"
"12","SWITZERLAND    "," 615","20.500"
"13","NETHERLANDS    "," 508","15.875"
"14","BRAZIL         "," 473"," 5.437"
"15","FRANCE         "," 351"," 9.486"
"16","PORTUGAL       "," 351"," 6.882"
"17","JAPAN          "," 301"," 4.426"
"18","NEW ZEALAND    "," 290","17.059"
"19","MALAYSIA       "," 245"," 6.447"
"20","FINLAND        "," 200"," 8.696"
"21","SWEDEN         "," 190","10.556"
"22","INDIA          "," 180"," 2.812"
"23","NORWAY         "," 164","13.667"
"24","CZECH REPUBLIC "," 153"," 7.650"
"25","UKRAINE        "," 142"," 5.680"
"26","TURKEY         "," 137"," 5.269"
"27","DENMARK        "," 131","16.375"
"28","MEXICO         "," 127"," 5.522"
"29","IRELAND        "," 120","12.000"
"30","HUNGARY        "," 119","17.000"
"31","ROMANIA        "," 113"," 4.346"
"32","COLOMBIA       "," 103"," 7.923"
"33","CYPRUS         "," 101","20.200"
"34","MOROCCO        ","  96","19.200"
"35","EGYPT          ","  93","31.000"
"36","INDONESIA      ","  81"," 3.115"
"37","BELGIUM        ","  73"," 9.125"
"38","SLOVAKIA       ","  65","10.833"
"39","GREECE         ","  64"," 4.000"
"40","ISRAEL         ","  59"," 9.833"
"41","RUSSIA         ","  56"," 3.500"
"42","ECUADOR        ","  49"," 3.062"
"43","LATVIA         ","  48","16.000"
"44","POLAND         ","  44"," 4.000"
"45","PAKISTAN       ","  39"," 4.875"
"46","THAILAND       ","  38"," 3.800"
"47","CHILE          ","  29"," 9.667"
"48","ALGERIA        ","  28"," 7.000"
"49","U ARAB EMIRATES","  27"," 4.500"
"50","LITHUANIA      ","  23"," 4.600"
"51","SLOVENIA       ","  23"," 7.667"
"52","IRAN           ","  21"," 7.000"
"53","CROATIA        ","  19"," 3.167"
"54","SAUDI ARABIA   ","  17"," 2.125"
"55","OMAN           ","  12"," 6.000"
"56","ARGENTINA      ","  11"," 1.833"
"57","SOUTH AFRICA   ","  11"," 5.500"
"58","RWANDA         ","  10","10.000"
"59","PERU           ","   9"," 1.800"
"60","SERBIA         ","   9"," 2.250"
"61","KAZAKHSTAN     ","   8"," 2.667"
"62","BANGLADESH     ","   6"," 1.500"
"63","JORDAN         ","   6"," 3.000"
"64","NIGERIA        ","   6"," 6.000"
"65","PHILIPPINES    ","   6"," 1.200"
"66","URUGUAY        ","   6"," 6.000"
"67","BULGARIA       ","   5"," 2.500"
"68","HONDURAS       ","   5"," 5.000"
"69","MAURITIUS      ","   5"," 2.500"
"70","MALTA          ","   2"," 1.000"
"71","SRI LANKA      ","   2"," 0.667"
"72","TANZANIA       ","   2"," 2.000"
"73","ESTONIA        ","   1"," 1.000"
"74","LEBANON        ","   1"," 1.000"
"75","BENIN          ","   0"," 0.000"
"76","CUBA           ","   0"," 0.000"
"77","IRAQ           ","   0"," 0.000"
"78","KUWAIT         ","   0"," 0.000"
"79","LUXEMBOURG     ","   0"," 0.000"
"80","PANAMA         ","   0"," 0.000"
"81","QATAR          ","   0"," 0.000"
"82","TUNISIA        ","   0"," 0.000"
