"Year","Articles","MeanTCperArt","MeanTCperYear"
1998,1,68,2.61538461538462
1999,4,39.75,1.59
2000,4,6.5,0.270833333333333
2001,5,14.6,0.634782608695652
2002,9,26.1111111111111,1.18686868686869
2003,17,13.8235294117647,0.658263305322129
2004,12,20.25,1.0125
2005,16,16.5625,0.87171052631579
2006,23,4.26086956521739,0.236714975845411
2007,29,10.8275862068966,0.636916835699797
2008,34,36.4411764705882,2.27757352941176
2009,38,25.9736842105263,1.73157894736842
2010,19,10.9473684210526,0.781954887218045
2011,49,30.2857142857143,2.32967032967033
2012,73,20.8767123287671,1.73972602739726
2013,107,12.9065420560748,1.17332200509771
2014,110,14.0454545454545,1.40454545454545
2015,128,10.5703125,1.17447916666667
2016,123,7.90243902439024,0.98780487804878
2017,139,14.6258992805755,2.08941418293936
2018,190,16.4315789473684,2.73859649122807
2019,239,11.2426778242678,2.24853556485356
2020,193,9.40414507772021,2.35103626943005
2021,173,5.99421965317919,1.9980732177264
2022,180,4.21111111111111,2.10555555555556
2023,85,0.929411764705882,0.929411764705882
