"","TC_rank","Country","TC","AvgArtCit","Articles","SCP","MCP","MCP_Ratio"
"1",5,"SINGAPORE      ",1157,64.278,18,11,7,0.3889
"2",2,"SPAIN          ",2059,31.197,66,47,19,0.2879
"3",35,"EGYPT          ",93,31,3,3,0,0
"4",12,"SWITZERLAND    ",615,20.5,30,21,9,0.3
"5",33,"CYPRUS         ",101,20.2,5,3,2,0.4
"6",6,"AUSTRALIA      ",1034,19.885,52,38,14,0.2692
"7",10,"CANADA         ",769,19.718,39,30,9,0.2308
"8",34,"MOROCCO        ",96,19.2,5,4,1,0.2
"9",1,"USA            ",5438,18.434,295,267,28,0.0949
"10",8,"AUSTRIA        ",938,18.392,51,34,17,0.3333
"11",7,"UNITED KINGDOM ",1012,18.071,56,45,11,0.1964
"12",18,"NEW ZEALAND    ",290,17.059,17,11,6,0.3529
"13",30,"HUNGARY        ",119,17,7,4,3,0.4286
"14",27,"DENMARK        ",131,16.375,8,6,2,0.25
"15",43,"LATVIA         ",48,16,3,3,0,0
"16",13,"NETHERLANDS    ",508,15.875,32,24,8,0.25
"17",23,"NORWAY         ",164,13.667,12,11,1,0.0833
"18",29,"IRELAND        ",120,12,10,8,2,0.2
"19",3,"GERMANY        ",1746,11.121,157,131,26,0.1656
"20",9,"ITALY          ",836,10.857,77,64,13,0.1688
"21",38,"SLOVAKIA       ",65,10.833,6,5,1,0.1667
"22",21,"SWEDEN         ",190,10.556,18,15,3,0.1667
"23",58,"RWANDA         ",10,10,1,1,0,0
"24",11,"KOREA          ",627,9.952,63,54,9,0.1429
"25",40,"ISRAEL         ",59,9.833,6,1,5,0.8333
"26",47,"CHILE          ",29,9.667,3,2,1,0.3333
"27",15,"FRANCE         ",351,9.486,37,30,7,0.1892
"28",37,"BELGIUM        ",73,9.125,8,4,4,0.5
"29",20,"FINLAND        ",200,8.696,23,19,4,0.1739
"30",32,"COLOMBIA       ",103,7.923,13,7,6,0.4615
"31",51,"SLOVENIA       ",23,7.667,3,2,1,0.3333
"32",24,"CZECH REPUBLIC ",153,7.65,20,17,3,0.15
"33",48,"ALGERIA        ",28,7,4,2,2,0.5
"34",52,"IRAN           ",21,7,3,2,1,0.3333
"35",16,"PORTUGAL       ",351,6.882,51,45,6,0.1176
"36",4,"CHINA          ",1323,6.582,201,175,26,0.1294
"37",19,"MALAYSIA       ",245,6.447,38,33,5,0.1316
"38",55,"OMAN           ",12,6,2,1,1,0.5
"39",64,"NIGERIA        ",6,6,1,0,1,1
"40",66,"URUGUAY        ",6,6,1,0,1,1
"41",25,"UKRAINE        ",142,5.68,25,23,2,0.08
"42",28,"MEXICO         ",127,5.522,23,23,0,0
"43",57,"SOUTH AFRICA   ",11,5.5,2,2,0,0
"44",14,"BRAZIL         ",473,5.437,87,77,10,0.1149
"45",26,"TURKEY         ",137,5.269,26,22,4,0.1538
"46",68,"HONDURAS       ",5,5,1,0,1,1
"47",45,"PAKISTAN       ",39,4.875,8,6,2,0.25
"48",50,"LITHUANIA      ",23,4.6,5,5,0,0
"49",49,"U ARAB EMIRATES",27,4.5,6,4,2,0.3333
"50",17,"JAPAN          ",301,4.426,68,62,6,0.0882
"51",31,"ROMANIA        ",113,4.346,26,23,3,0.1154
"52",39,"GREECE         ",64,4,16,14,2,0.125
"53",44,"POLAND         ",44,4,11,9,2,0.1818
"54",46,"THAILAND       ",38,3.8,10,10,0,0
"55",41,"RUSSIA         ",56,3.5,16,15,1,0.0625
"56",53,"CROATIA        ",19,3.167,6,5,1,0.1667
"57",36,"INDONESIA      ",81,3.115,26,25,1,0.0385
"58",42,"ECUADOR        ",49,3.062,16,9,7,0.4375
"59",63,"JORDAN         ",6,3,2,1,1,0.5
"60",22,"INDIA          ",180,2.812,64,57,7,0.1094
"61",61,"KAZAKHSTAN     ",8,2.667,3,3,0,0
"62",67,"BULGARIA       ",5,2.5,2,2,0,0
"63",69,"MAURITIUS      ",5,2.5,2,1,1,0.5
"64",60,"SERBIA         ",9,2.25,4,3,1,0.25
"65",54,"SAUDI ARABIA   ",17,2.125,8,4,4,0.5
"66",72,"TANZANIA       ",2,2,1,1,0,0
"67",56,"ARGENTINA      ",11,1.833,6,6,0,0
"68",59,"PERU           ",9,1.8,5,4,1,0.2
"69",62,"BANGLADESH     ",6,1.5,4,3,1,0.25
"70",65,"PHILIPPINES    ",6,1.2,5,5,0,0
"71",70,"MALTA          ",2,1,2,2,0,0
"72",73,"ESTONIA        ",1,1,1,1,0,0
"73",74,"LEBANON        ",1,1,1,0,1,1
"74",71,"SRI LANKA      ",2,0.667,3,2,1,0.3333
"75",75,"BENIN          ",0,0,1,1,0,0
"76",76,"CUBA           ",0,0,1,1,0,0
"77",77,"IRAQ           ",0,0,1,1,0,0
"78",78,"KUWAIT         ",0,0,1,1,0,0
"79",79,"LUXEMBOURG     ",0,0,2,2,0,0
"80",80,"PANAMA         ",0,0,1,1,0,0
"81",81,"QATAR          ",0,0,1,0,1,1
"82",82,"TUNISIA        ",0,0,1,0,1,1
