"","Year   ","Articles"
"1","1972",1
"2","1974",1
"3","1976",1
"4","1977",1
"5","1978",2
"6","1980",1
"7","1982",2
"8","1985",1
"9","1986",1
"10","1987",1
"11","1988",1
"12","1989",1
"13","1990",2
"14","1991",10
"15","1992",12
"16","1993",19
"17","1994",18
"18","1995",21
"19","1996",27
"20","1997",31
"21","1998",41
"22","1999",41
"23","2000",53
"24","2001",62
"25","2002",54
"26","2003",59
"27","2004",81
"28","2005",88
"29","2006",86
"30","2007",88
"31","2008",94
"32","2009",136
"33","2010",155
"34","2011",142
"35","2012",115
"36","2013",162
"37","2014",170
"38","2015",180
"39","2016",185
"40","2017",216
"41","2018",234
"42","2019",245
"43","2020",267
"44","2021",289
"45","2022",297
"46","2023",281
