"","Paper         ","DOI","TC","TCperYear","NTC"
"1","LIU X, 2012, NATURE                                                                                                          ","10.1038/nature11028                                            ","972"," 74.77","25.60"
"2","SEKITANI T, 2009, SCIENCE                                                                                                    ","10.1126/science.1179963                                        ","851"," 53.19","25.14"
"3","GALVIN JE, 2005, NEUROLOGY                                                                                                   ","10.1212/01.wnl.0000172958.95282.2a                             ","686"," 34.30","15.99"
"4","GONG D, 2019, IEEE I CONF COMP VIS                                                                                           ","10.1109/ICCV.2019.00179                                        ","643","107.17","44.53"
"5","WESTERMAN MA, 2002, J NEUROSCI                                                                                               ","10.1523/JNEUROSCI.22-05-01858.2002                             ","614"," 26.70"," 9.30"
"6","COOPER MA, 2009, P NATL ACAD SCI USA                                                                                         ","10.1073/pnas.0813192106                                        ","560"," 35.00","16.55"
"7","CONWAY ARA, 2001, PSYCHON B REV                                                                                              ","10.3758/BF03196169                                             ","555"," 23.12","14.72"
"8","RANGANATH C, 2003, NAT REV NEUROSCI                                                                                          ","10.1038/nrn1052                                                ","545"," 24.77"," 9.69"
"9","TIITINEN H, 1994, NATURE                                                                                                     ","10.1038/372090a0                                               ","536"," 17.29"," 6.08"
"10","CROTTY S, 2003, J IMMUNOL                                                                                                    ","10.4049/jimmunol.171.10.4969                                   ","513"," 23.32"," 9.12"
"11","AWH E, 2007, PSYCHOL SCI                                                                                                     ","10.1111/j.1467-9280.2007.01949.x                               ","509"," 28.28","13.33"
"12","HOU S, 1994, NATURE                                                                                                          ","10.1038/369652a0                                               ","468"," 15.10"," 5.31"
"13","FUHRER MS, 2002, NANO LETT                                                                                                   ","10.1021/nl025577o                                              ","459"," 19.96"," 6.95"
"14","TOMITA H, 1999, NATURE                                                                                                       ","10.1038/44372                                                  ","457"," 17.58"," 8.64"
"15","BLUM S, 1999, J NEUROSCI                                                                                                     ","NA                                                             ","450"," 17.31"," 8.51"
"16","JIANG YH, 2000, J EXP PSYCHOL LEARN                                                                                          ","10.1037/0278-7393.26.3.683                                     ","448"," 17.92","11.53"
"17","HANAFI HI, 1996, IEEE T ELECTRON DEV                                                                                         ","10.1109/16.535349                                              ","447"," 15.41"," 8.20"
"18","HOLLINGWORTH A, 2002, J EXP PSYCHOL HUMAN                                                                                    ","10.1037//0096-1523.28.1.113                                    ","445"," 19.35"," 6.74"
"19","SAGLAMYUREK E, 2011, NATURE                                                                                                  ","10.1038/nature09719                                            ","444"," 31.71","12.71"
"20","PALANGI H, 2016, IEEE-ACM T AUDIO SPE                                                                                        ","10.1109/TASLP.2016.2520371                                     ","443"," 49.22","19.39"
"21","SPERLING RA, 2010, NEUROMOL MED                                                                                              ","10.1007/s12017-009-8109-7                                      ","431"," 28.73","14.69"
"22","SMITH T, 2007, CAN J PSYCHIAT                                                                                                ","10.1177/070674370705200508                                     ","424"," 23.56","11.11"
"23","EISENBERG M, 2003, SCIENCE                                                                                                   ","10.1126/science.1086881                                        ","422"," 19.18"," 7.50"
"24","WAKIM LM, 2010, P NATL ACAD SCI USA                                                                                          ","10.1073/pnas.1010201107                                        ","413"," 27.53","14.08"
"25","PAPE KA, 2011, SCIENCE                                                                                                       ","10.1126/science.1201730                                        ","405"," 28.93","11.59"
"26","WILSON B, 1989, J CLIN EXP NEUROPSYC                                                                                         ","10.1080/01688638908400940                                      ","393"," 10.92"," 1.00"
"27","CRANE PK, 2012, BRAIN IMAGING BEHAV                                                                                          ","10.1007/s11682-012-9186-z                                      ","374"," 28.77"," 9.85"
"28","KAINUMA R, 2006, APPL PHYS LETT                                                                                              ","10.1063/1.2203211                                              ","360"," 18.95","11.18"
"29","CROTTY S, 2004, J IMMUNOL METHODS                                                                                            ","10.1016/j.jim.2003.12.015                                      ","354"," 16.86"," 9.29"
"30","MATHER M, 2016, BEHAV BRAIN SCI                                                                                              ","10.1017/S0140525X15000667                                      ","343"," 38.11","15.02"
"31","TOMBAUGH TN, 1997, PSYCHOL ASSESSMENT                                                                                        ","10.1037/1040-3590.9.3.260                                      ","331"," 11.82"," 7.21"
"32","TONEGAWA S, 2015, NEURON                                                                                                     ","10.1016/j.neuron.2015.08.002                                   ","331"," 33.10","17.93"
"33","PAPASSOTIROPOULOS A, 2006, SCIENCE                                                                                           ","10.1126/science.1129837                                        ","320"," 16.84"," 9.94"
"34","DELLU F, 1992, BRAIN RES                                                                                                     ","10.1016/0006-8993(92)91352-F                                   ","318","  9.64"," 6.39"
"35","LINCK JA, 2014, PSYCHON B REV                                                                                                ","10.3758/s13423-013-0565-2                                      ","294"," 26.73","14.01"
"36","COWAN N, 1993, J EXP PSYCHOL LEARN                                                                                           ","10.1037/0278-7393.19.4.909                                     ","290","  9.06"," 7.93"
"37","CLEMENS Z, 2005, NEUROSCIENCE                                                                                                ","10.1016/j.neuroscience.2005.01.011                             ","285"," 14.25"," 6.64"
"38","PETERSON GD, 2002, ECOSYSTEMS                                                                                                ","10.1007/s10021-001-0077-1                                      ","284"," 12.35"," 4.30"
"39","RIBAS A, 2016, CANCER IMMUNOL RES                                                                                            ","10.1158/2326-6066.CIR-15-0210                                  ","280"," 31.11","12.26"
"40","PETERSEN RC, 1994, NEUROLOGY                                                                                                 ","10.1212/WNL.44.5.867                                           ","275","  8.87"," 3.12"
