"","Authors       ","Articles","Authors       ","Articles Fractionalized"
"1","LI Y          ","22","KIM J         ","6.27"
"2","HAMDIOUI S    ","18","HAMDIOUI S    ","5.14"
"3","KIM J         ","18","VAN DE GOOR AJ","4.33"
"4","ZHANG H       ","15","LI Y          ","3.89"
"5","ZHANG L       ","15","WANG LH       ","3.84"
"6","LI J          ","14","AL-ARS Z      ","3.58"
"7","WANG L        ","14","SAVIR J       ","3.33"
"8","ZHANG J       ","14","STEWIN P      ","3.33"
"9","KIM S         ","13","ZHANG J       ","3.33"
"10","LI H          ","13","IVERSON GL    ","3.08"
"11","LIU Y         ","13","LI J          ","3.03"
"12","VAN DE GOOR AJ","13","WANG L        ","3.00"
"13","WANG H        ","13","KIM S         ","2.85"
"14","WANG C        ","12","ZHANG H       ","2.59"
"15","WANG Y        ","12","LIU Y         ","2.51"
"16","XU J          ","12","FUJIWARA E    ","2.50"
"17","ZHANG W       ","12","LI H          ","2.34"
"18","ZHANG Y       ","12","POTTER MC     ","2.33"
"19","LI L          ","11","ZHANG L       ","2.33"
"20","WANG LH       ","11","KIM H         ","2.32"
"21","WANG X        ","11","WANG C        ","2.27"
"22","AL-ARS Z      ","10","WAHLHEIM CN   ","2.25"
"23","CHEN L        ","10","ZHANG W       ","2.21"
"24","GAO Y         ","10","PARK J        ","2.21"
"25","KIM H         ","10","CHEN L        ","2.18"
"26","LIU J         ","10","MORIYA J      ","2.17"
"27","LU S          ","10","SINGH A       ","2.11"
"28","WANG W        ","10","LOMBARDI F    ","2.08"
"29","ZHANG C       ","10","LU S          ","2.08"
"30","LEE J         "," 9","LEE J         ","2.06"
"31","LIU X         "," 9","WANG H        ","2.01"
"32","WANG F        "," 9","CHECHILE RA   ","2.00"
"33","CHEN J        "," 8","OIWA Y        ","2.00"
"34","CHEN T        "," 8","RADCHENKO AN  ","2.00"
"35","CHEN Y        "," 8","RAMOS JMJ     ","2.00"
"36","LEE S         "," 8","TUISSI A      ","1.98"
"37","LI W          "," 8","WANG Y        ","1.92"
"38","LI X          "," 8","DEBBABI M     ","1.92"
"39","LIU B         "," 8","SQUIRE LR     ","1.92"
"40","LIU Q         "," 8","LIU B         ","1.87"
"41","MARUFF P      "," 8","CHEN K        ","1.87"
"42","PARK J        "," 8","LIU J         ","1.84"
"43","SINGH A       "," 8","WANG W        ","1.84"
"44","WANG B        "," 8","KUMAR S       ","1.83"
"45","WANG J        "," 8","SALUJA KK     ","1.83"
"46","WANG S        "," 8","ZHANG Y       ","1.83"
"47","ZHANG XY      "," 8","WANG X        ","1.81"
"48","LEE D         "," 7","XU J          ","1.81"
"49","LI Q          "," 7","BIFFI CA      ","1.78"
"50","LI XY         "," 7","REVIRIEGO P   ","1.78"
"51","RENTZ DM      "," 7","CHEN ZS       ","1.75"
"52","SHI J         "," 7","LI JF         ","1.75"
"53","WANG HY       "," 7","HENDLER D     ","1.75"
"54","WANG Q        "," 7","WANG S        ","1.73"
"55","YANG J        "," 7","WANG J        ","1.69"
"56","ZHAO L        "," 7","CHEN T        ","1.68"
"57","ZHU L         "," 7","LEE D         ","1.67"
"58","CHEN G        "," 6","BANERJEE S    ","1.67"
"59","CHEN H        "," 6","JACOBY LL     ","1.67"
"60","CHEN K        "," 6","WINKLER I     ","1.67"
"61","CHEN X        "," 6","ZHANG C       ","1.66"
"62","CHEN Z        "," 6","LI W          ","1.65"
"63","DIENER M      "," 6","ZHANG XY      ","1.63"
"64","DUBOV A       "," 6","YANG J        ","1.62"
"65","FENG L        "," 6","REORDA MS     ","1.62"
"66","HEIDT S       "," 6","LIU X         ","1.61"
"67","JIN Y         "," 6","CHEN Y        ","1.59"
"68","KARAMAN I     "," 6","BRAINERD CJ   ","1.58"
"69","KIM T         "," 6","DUBOV A       ","1.58"
"70","LI T          "," 6","RODGERS M     ","1.58"
"71","LIU L         "," 6","GAO Y         ","1.58"
