"","Country","Articles","Freq","SCP","MCP","MCP_Ratio"
"1","USA            ","908","0.233539","788","120","0.1322"
"2","CHINA          ","808","0.207819","672","136","0.1683"
"3","GERMANY        ","196","0.050412","147"," 49","0.2500"
"4","JAPAN          ","195","0.050154","181"," 14","0.0718"
"5","UNITED KINGDOM ","176","0.045267","124"," 52","0.2955"
"6","KOREA          ","135","0.034722","113"," 22","0.1630"
"7","INDIA          ","129","0.033179","110"," 19","0.1473"
"8","CANADA         ","121","0.031121"," 87"," 34","0.2810"
"9","ITALY          ","118","0.030350"," 87"," 31","0.2627"
"10","FRANCE         ","104","0.026749"," 75"," 29","0.2788"
"11","NETHERLANDS    "," 87","0.022377"," 58"," 29","0.3333"
"12","SPAIN          "," 86","0.022119"," 57"," 29","0.3372"
"13","AUSTRALIA      "," 79","0.020319"," 51"," 28","0.3544"
"14","BRAZIL         "," 71","0.018261"," 48"," 23","0.3239"
"15","IRAN           "," 48","0.012346"," 39","  9","0.1875"
"16","RUSSIA         "," 44","0.011317"," 36","  8","0.1818"
"17","TURKEY         "," 40","0.010288"," 26"," 14","0.3500"
"18","ISRAEL         "," 38","0.009774"," 30","  8","0.2105"
"19","SWITZERLAND    "," 36","0.009259"," 21"," 15","0.4167"
"20","SINGAPORE      "," 34","0.008745"," 21"," 13","0.3824"
"21","SWEDEN         "," 30","0.007716"," 18"," 12","0.4000"
"22","AUSTRIA        "," 27","0.006944"," 21","  6","0.2222"
"23","BELGIUM        "," 26","0.006687"," 13"," 13","0.5000"
"24","MEXICO         "," 22","0.005658"," 15","  7","0.3182"
"25","SAUDI ARABIA   "," 22","0.005658"," 16","  6","0.2727"
"26","FINLAND        "," 21","0.005401"," 12","  9","0.4286"
"27","POLAND         "," 20","0.005144"," 19","  1","0.0500"
"28","GREECE         "," 19","0.004887"," 13","  6","0.3158"
"29","PORTUGAL       "," 17","0.004372"," 12","  5","0.2941"
"30","MALAYSIA       "," 16","0.004115","  7","  9","0.5625"
"31","DENMARK        "," 13","0.003344"," 12","  1","0.0769"
"32","IRELAND        "," 13","0.003344","  8","  5","0.3846"
"33","ARGENTINA      "," 11","0.002829","  7","  4","0.3636"
"34","HUNGARY        "," 11","0.002829","  8","  3","0.2727"
"35","NORWAY         "," 11","0.002829","  8","  3","0.2727"
"36","PAKISTAN       "," 11","0.002829","  5","  6","0.5455"
"37","ROMANIA        "," 11","0.002829","  7","  4","0.3636"
"38","CZECH REPUBLIC "," 10","0.002572","  7","  3","0.3000"
"39","EGYPT          "," 10","0.002572","  5","  5","0.5000"
"40","BANGLADESH     ","  8","0.002058","  6","  2","0.2500"
"41","CHILE          ","  8","0.002058","  3","  5","0.6250"
"42","NEW ZEALAND    ","  8","0.002058","  6","  2","0.2500"
"43","INDONESIA      ","  7","0.001800","  5","  2","0.2857"
"44","SOUTH AFRICA   ","  7","0.001800","  4","  3","0.4286"
"45","THAILAND       ","  7","0.001800","  5","  2","0.2857"
"46","IRAQ           ","  6","0.001543","  4","  2","0.3333"
"47","JORDAN         ","  5","0.001286","  4","  1","0.2000"
"48","CYPRUS         ","  4","0.001029","  1","  3","0.7500"
"49","ARMENIA        ","  3","0.000772","  3","  0","0.0000"
"50","BELARUS        ","  3","0.000772","  2","  1","0.3333"
"51","BULGARIA       ","  3","0.000772","  3","  0","0.0000"
"52","COLOMBIA       ","  3","0.000772","  3","  0","0.0000"
"53","ESTONIA        ","  3","0.000772","  2","  1","0.3333"
"54","SERBIA         ","  3","0.000772","  2","  1","0.3333"
"55","SLOVENIA       ","  3","0.000772","  3","  0","0.0000"
"56","U ARAB EMIRATES","  3","0.000772","  1","  2","0.6667"
"57","VIETNAM        ","  3","0.000772","  2","  1","0.3333"
"58","ALGERIA        ","  2","0.000514","  1","  1","0.5000"
"59","CROATIA        ","  2","0.000514","  2","  0","0.0000"
"60","KUWAIT         ","  2","0.000514","  1","  1","0.5000"
"61","LEBANON        ","  2","0.000514","  1","  1","0.5000"
"62","PHILIPPINES    ","  2","0.000514","  2","  0","0.0000"
"63","UKRAINE        ","  2","0.000514","  1","  1","0.5000"
"64","AZERBAIJAN     ","  1","0.000257","  0","  1","1.0000"
"65","COSTA RICA     ","  1","0.000257","  0","  1","1.0000"
"66","CUBA           ","  1","0.000257","  1","  0","0.0000"
"67","ICELAND        ","  1","0.000257","  1","  0","0.0000"
"68","KAZAKHSTAN     ","  1","0.000257","  1","  0","0.0000"
"69","LITHUANIA      ","  1","0.000257","  1","  0","0.0000"
"70","MALTA          ","  1","0.000257","  1","  0","0.0000"
"71","MOROCCO        ","  1","0.000257","  1","  0","0.0000"
"72","NIGERIA        ","  1","0.000257","  0","  1","1.0000"
"73","PALAU          ","  1","0.000257","  1","  0","0.0000"
"74","PERU           ","  1","0.000257","  1","  0","0.0000"
"75","SLOVAKIA       ","  1","0.000257","  0","  1","1.0000"
"76","SYRIA          ","  1","0.000257","  1","  0","0.0000"
"77","URUGUAY        ","  1","0.000257","  1","  0","0.0000"
"78","VENEZUELA      ","  1","0.000257","  0","  1","1.0000"
