"","Sources       ","Articles"
"1","NEUROBIOLOGY OF LEARNING AND MEMORY                                                              ","28"
"2","ACM SIGPLAN NOTICES                                                                              ","27"
"3","FRONTIERS IN PSYCHOLOGY                                                                          ","27"
"4","JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY                                             ","27"
"5","NEUROPSYCHOLOGIA                                                                                 ","27"
"6","ARCHIVES OF CLINICAL NEUROPSYCHOLOGY                                                             ","26"
"7","BEHAVIOURAL BRAIN RESEARCH                                                                       ","26"
"8","IEEE TRANSACTIONS ON COMPUTERS                                                                   ","26"
"9","PLOS ONE                                                                                         ","26"
"10","JOURNAL OF ALZHEIMERS DISEASE                                                                    ","23"
"11","NEUROIMAGE                                                                                       ","23"
"12","IEEE ACCESS                                                                                      ","20"
"13","JOURNAL OF NEUROSCIENCE                                                                          ","20"
"14","LEARNING & MEMORY                                                                                ","19"
"15","MEMORY & COGNITION                                                                               ","19"
"16","FRONTIERS IN IMMUNOLOGY                                                                          ","17"
"17","NEUROSCIENCE LETTERS                                                                             ","17"
"18","VACCINE                                                                                          ","17"
"19","FRONTIERS IN BEHAVIORAL NEUROSCIENCE                                                             ","16"
"20","JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION                                 ","16"
"21","CLINICAL NEUROPSYCHOLOGIST                                                                       ","15"
"22","MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROSTRUCTURE AND PROCESSING","14"
"23","BRAIN RESEARCH                                                                                   ","13"
"24","HIPPOCAMPUS                                                                                      ","13"
"25","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA                  ","13"
"26","SENSORS                                                                                          ","13"
"27","FRONTIERS IN HUMAN NEUROSCIENCE                                                                  ","12"
"28","IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS                    ","12"
"29","NEUROBIOLOGY OF AGING                                                                            ","12"
"30","ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION                                           ","11"
"31","CORTEX                                                                                           ","11"
"32","DEMENTIA AND GERIATRIC COGNITIVE DISORDERS                                                       ","11"
"33","INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS                              ","11"
"34","JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE                              ","11"
"35","MEMORY                                                                                           ","11"
"36","NEUROSCIENCE                                                                                     ","11"
"37","ATTENTION PERCEPTION & PSYCHOPHYSICS                                                             ","10"
"38","IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS I-REGULAR PAPERS                                       ","10"
"39","IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS                                            ","10"
"40","IEEE TRANSACTIONS ON VERY LARGE SCALE INTEGRATION (VLSI) SYSTEMS                                 ","10"
"41","JOURNAL OF COGNITIVE NEUROSCIENCE                                                                ","10"
"42","JOURNAL OF ELECTRONIC TESTING-THEORY AND APPLICATIONS                                            ","10"
"43","NEUROLOGY                                                                                        ","10"
"44","PHYSICAL REVIEW D                                                                                ","10"
"45","PSYCHONOMIC BULLETIN & REVIEW                                                                    ","10"
