"","Country     ","Total Citations","Average Article Citations"
"1","USA            ","36098","39.756"
"2","CHINA          "," 9456","11.703"
"3","UNITED KINGDOM "," 6774","38.489"
"4","GERMANY        "," 4592","23.429"
"5","JAPAN          "," 3987","20.446"
"6","CANADA         "," 3906","32.281"
"7","AUSTRALIA      "," 2330","29.494"
"8","ITALY          "," 2045","17.331"
"9","NETHERLANDS    "," 1782","20.483"
"10","FRANCE         "," 1598","15.365"
"11","FINLAND        "," 1242","59.143"
"12","SPAIN          "," 1230","14.302"
"13","KOREA          "," 1092"," 8.089"
"14","ISRAEL         "," 1017","26.763"
"15","BRAZIL         ","  963","13.563"
"16","SWITZERLAND    ","  881","24.472"
"17","INDIA          ","  838"," 6.496"
"18","TURKEY         ","  541","13.525"
"19","HUNGARY        ","  514","46.727"
"20","SWEDEN         ","  494","16.467"
"21","IRAN           ","  482","10.042"
"22","SINGAPORE      ","  482","14.176"
"23","AUSTRIA        ","  479","17.741"
"24","BELGIUM        ","  400","15.385"
"25","IRELAND        ","  294","22.615"
"26","MEXICO         ","  259","11.773"
"27","ARGENTINA      ","  202","18.364"
"28","PORTUGAL       ","  184","10.824"
"29","POLAND         ","  180"," 9.000"
"30","GREECE         ","  172"," 9.053"
"31","NEW ZEALAND    ","  162","20.250"
"32","RUSSIA         ","  162"," 3.682"
"33","NORWAY         ","  159","14.455"
"34","DENMARK        ","  134","10.308"
"35","EGYPT          ","  115","11.500"
"36","CZECH REPUBLIC ","  113","11.300"
"37","SAUDI ARABIA   ","  113"," 5.136"
"38","ROMANIA        ","  111","10.091"
"39","SOUTH AFRICA   ","  110","15.714"
"40","PAKISTAN       ","   92"," 8.364"
"41","JORDAN         ","   91","18.200"
"42","CHILE          ","   79"," 9.875"
"43","MALAYSIA       ","   67"," 4.188"
"44","CYPRUS         ","   64","16.000"
"45","BANGLADESH     ","   62"," 7.750"
"46","ARMENIA        ","   44","14.667"
"47","ESTONIA        ","   36","12.000"
"48","COLOMBIA       ","   28"," 9.333"
"49","THAILAND       ","   23"," 3.286"
"50","INDONESIA      ","   21"," 3.000"
"51","NIGERIA        ","   18","18.000"
"52","PALAU          ","   16","16.000"
"53","COSTA RICA     ","   15","15.000"
"54","CUBA           ","   14","14.000"
"55","PERU           ","   14","14.000"
"56","KUWAIT         ","   13"," 6.500"
"57","VENEZUELA      ","   13","13.000"
"58","ALGERIA        ","   11"," 5.500"
"59","LITHUANIA      ","   10","10.000"
"60","U ARAB EMIRATES","   10"," 3.333"
"61","SERBIA         ","    9"," 3.000"
"62","VIETNAM        ","    9"," 3.000"
"63","BELARUS        ","    7"," 2.333"
"64","SLOVAKIA       ","    7"," 7.000"
"65","SLOVENIA       ","    7"," 2.333"
"66","ICELAND        ","    6"," 6.000"
"67","PHILIPPINES    ","    6"," 3.000"
"68","AZERBAIJAN     ","    5"," 5.000"
"69","CROATIA        ","    5"," 2.500"
"70","SYRIA          ","    4"," 4.000"
"71","KAZAKHSTAN     ","    2"," 2.000"
"72","LEBANON        ","    2"," 1.000"
"73","UKRAINE        ","    2"," 1.000"
"74","BULGARIA       ","    1"," 0.333"
"75","IRAQ           ","    1"," 0.167"
"76","MALTA          ","    0"," 0.000"
"77","MOROCCO        ","    0"," 0.000"
"78","URUGUAY        ","    0"," 0.000"
