"Year","Articles","MeanTCperArt","MeanTCperYear"
1972,1,0,0
1973,0,0,0
1974,1,0,0
1975,0,0,0
1976,1,0,0
1977,1,2,0.0425531914893617
1978,2,49.5,1.07608695652174
1979,0,0,0
1980,1,0,0
1981,0,0,0
1982,2,15,0.357142857142857
1983,0,0,0
1984,0,0,0
1985,1,32,0.82051282051282
1986,1,39,1.02631578947368
1987,1,0,0
1988,1,0,0
1989,1,393,11.2285714285714
1990,2,1,0.0294117647058824
1991,10,18.9,0.572727272727273
1992,12,49.75,1.5546875
1993,19,36.5789473684211,1.17996604414261
1994,18,88.1111111111111,2.93703703703704
1995,21,28.5714285714286,0.985221674876847
1996,27,54.5185185185185,1.94708994708995
1997,31,45.9354838709677,1.70131421744325
1998,41,39.780487804878,1.53001876172608
1999,41,52.8780487804878,2.11512195121951
2000,53,38.8490566037736,1.6187106918239
2001,62,37.6935483870968,1.63884992987377
2002,54,66.0555555555556,3.00252525252525
2003,59,56.2372881355932,2.67796610169492
2004,81,38.1234567901235,1.90617283950617
2005,88,42.8977272727273,2.25777511961723
2006,86,32.1860465116279,1.78811369509044
2007,88,38.1704545454545,2.24532085561497
2008,94,28.7978723404255,1.7998670212766
2009,136,33.8455882352941,2.25637254901961
2010,155,29.341935483871,2.09585253456221
2011,142,34.9295774647887,2.68689057421452
2012,115,37.9652173913043,3.16376811594203
2013,162,21.8456790123457,1.98597081930415
2014,170,20.9882352941176,2.09882352941176
2015,180,18.4555555555556,2.05061728395062
2016,185,22.8432432432432,2.8554054054054
2017,216,16.7916666666667,2.39880952380952
2018,234,16.5598290598291,2.75997150997151
2019,245,14.4408163265306,2.88816326530612
2020,267,10.6142322097378,2.65355805243446
2021,289,7.09688581314879,2.36562860438293
2022,297,3.17508417508417,1.58754208754209
2023,281,1.77935943060498,1.77935943060498
