"","TC_rank","Country","TC","AvgArtCit","Articles","SCP","MCP","MCP_Ratio"
"1",11,"FINLAND        ",1242,59.143,21,12,9,0.4286
"2",19,"HUNGARY        ",514,46.727,11,8,3,0.2727
"3",1,"USA            ",36098,39.756,908,788,120,0.1322
"4",3,"UNITED KINGDOM ",6774,38.489,176,124,52,0.2955
"5",6,"CANADA         ",3906,32.281,121,87,34,0.281
"6",7,"AUSTRALIA      ",2330,29.494,79,51,28,0.3544
"7",14,"ISRAEL         ",1017,26.763,38,30,8,0.2105
"8",16,"SWITZERLAND    ",881,24.472,36,21,15,0.4167
"9",4,"GERMANY        ",4592,23.429,196,147,49,0.25
"10",25,"IRELAND        ",294,22.615,13,8,5,0.3846
"11",9,"NETHERLANDS    ",1782,20.483,87,58,29,0.3333
"12",5,"JAPAN          ",3987,20.446,195,181,14,0.0718
"13",31,"NEW ZEALAND    ",162,20.25,8,6,2,0.25
"14",27,"ARGENTINA      ",202,18.364,11,7,4,0.3636
"15",41,"JORDAN         ",91,18.2,5,4,1,0.2
"16",51,"NIGERIA        ",18,18,1,0,1,1
"17",23,"AUSTRIA        ",479,17.741,27,21,6,0.2222
"18",8,"ITALY          ",2045,17.331,118,87,31,0.2627
"19",20,"SWEDEN         ",494,16.467,30,18,12,0.4
"20",44,"CYPRUS         ",64,16,4,1,3,0.75
"21",52,"PALAU          ",16,16,1,1,0,0
"22",39,"SOUTH AFRICA   ",110,15.714,7,4,3,0.4286
"23",24,"BELGIUM        ",400,15.385,26,13,13,0.5
"24",10,"FRANCE         ",1598,15.365,104,75,29,0.2788
"25",53,"COSTA RICA     ",15,15,1,0,1,1
"26",46,"ARMENIA        ",44,14.667,3,3,0,0
"27",33,"NORWAY         ",159,14.455,11,8,3,0.2727
"28",12,"SPAIN          ",1230,14.302,86,57,29,0.3372
"29",22,"SINGAPORE      ",482,14.176,34,21,13,0.3824
"30",54,"CUBA           ",14,14,1,1,0,0
"31",55,"PERU           ",14,14,1,1,0,0
"32",15,"BRAZIL         ",963,13.563,71,48,23,0.3239
"33",18,"TURKEY         ",541,13.525,40,26,14,0.35
"34",57,"VENEZUELA      ",13,13,1,0,1,1
"35",47,"ESTONIA        ",36,12,3,2,1,0.3333
"36",26,"MEXICO         ",259,11.773,22,15,7,0.3182
"37",2,"CHINA          ",9456,11.703,808,672,136,0.1683
"38",35,"EGYPT          ",115,11.5,10,5,5,0.5
"39",36,"CZECH REPUBLIC ",113,11.3,10,7,3,0.3
"40",28,"PORTUGAL       ",184,10.824,17,12,5,0.2941
"41",34,"DENMARK        ",134,10.308,13,12,1,0.0769
"42",38,"ROMANIA        ",111,10.091,11,7,4,0.3636
"43",21,"IRAN           ",482,10.042,48,39,9,0.1875
"44",59,"LITHUANIA      ",10,10,1,1,0,0
"45",42,"CHILE          ",79,9.875,8,3,5,0.625
"46",48,"COLOMBIA       ",28,9.333,3,3,0,0
"47",30,"GREECE         ",172,9.053,19,13,6,0.3158
"48",29,"POLAND         ",180,9,20,19,1,0.05
"49",40,"PAKISTAN       ",92,8.364,11,5,6,0.5455
"50",13,"KOREA          ",1092,8.089,135,113,22,0.163
"51",45,"BANGLADESH     ",62,7.75,8,6,2,0.25
"52",64,"SLOVAKIA       ",7,7,1,0,1,1
"53",56,"KUWAIT         ",13,6.5,2,1,1,0.5
"54",17,"INDIA          ",838,6.496,129,110,19,0.1473
"55",66,"ICELAND        ",6,6,1,1,0,0
"56",58,"ALGERIA        ",11,5.5,2,1,1,0.5
"57",37,"SAUDI ARABIA   ",113,5.136,22,16,6,0.2727
"58",68,"AZERBAIJAN     ",5,5,1,0,1,1
"59",43,"MALAYSIA       ",67,4.188,16,7,9,0.5625
"60",70,"SYRIA          ",4,4,1,1,0,0
"61",32,"RUSSIA         ",162,3.682,44,36,8,0.1818
"62",60,"U ARAB EMIRATES",10,3.333,3,1,2,0.6667
"63",49,"THAILAND       ",23,3.286,7,5,2,0.2857
"64",50,"INDONESIA      ",21,3,7,5,2,0.2857
"65",61,"SERBIA         ",9,3,3,2,1,0.3333
"66",62,"VIETNAM        ",9,3,3,2,1,0.3333
"67",67,"PHILIPPINES    ",6,3,2,2,0,0
"68",69,"CROATIA        ",5,2.5,2,2,0,0
"69",63,"BELARUS        ",7,2.333,3,2,1,0.3333
"70",65,"SLOVENIA       ",7,2.333,3,3,0,0
"71",71,"KAZAKHSTAN     ",2,2,1,1,0,0
"72",72,"LEBANON        ",2,1,2,1,1,0.5
"73",73,"UKRAINE        ",2,1,2,1,1,0.5
"74",74,"BULGARIA       ",1,0.333,3,3,0,0
"75",75,"IRAQ           ",1,0.167,6,4,2,0.3333
"76",76,"MALTA          ",0,0,1,1,0,0
"77",77,"MOROCCO        ",0,0,1,1,0,0
"78",78,"URUGUAY        ",0,0,1,1,0,0
