"","Year   ","Articles"
"1","1957",1
"2","1959",1
"3","1960",1
"4","1961",1
"5","1962",2
"6","1963",2
"7","1964",1
"8","1965",2
"9","1966",11
"10","1967",14
"11","1968",25
"12","1969",35
"13","1970",22
"14","1971",17
"15","1972",25
"16","1973",14
"17","1974",19
"18","1975",16
"19","1976",25
"20","1977",17
"21","1978",23
"22","1979",23
"23","1980",23
"24","1981",8
"25","1982",13
"26","1983",8
"27","1984",7
"28","1985",19
"29","1986",16
"30","1987",11
"31","1988",4
"32","1989",14
"33","1990",12
"34","1991",14
"35","1992",15
"36","1993",11
"37","1994",22
"38","1995",11
"39","1996",9
"40","1997",19
"41","1998",28
"42","1999",27
"43","2000",25
"44","2001",26
"45","2002",26
"46","2003",42
"47","2004",52
"48","2005",51
"49","2006",44
"50","2007",55
"51","2008",104
"52","2009",96
"53","2010",137
"54","2011",116
"55","2012",142
"56","2013",166
"57","2014",157
"58","2015",170
"59","2016",179
"60","2017",204
"61","2018",247
"62","2019",280
"63","2020",307
"64","2021",357
"65","2022",384
"66","2023",435
