"","Description","Results"
"1","MAIN INFORMATION ABOUT DATA",""
"2","Timespan","1957:2023"
"3","Sources (Journals, Books, etc)","901"
"4","Documents","4390"
"5","Annual Growth Rate %","9.64"
"6","Document Average Age","12.3"
"7","Average citations per doc","21.32"
"8","Average citations per year per doc","2.4"
"9","References","148383"
"10","DOCUMENT TYPES",""
"11","article","3600"
"12","article; book chapter","1"
"13","article; early access","118"
"14","article; proceedings paper","78"
"15","article; retracted publication","2"
"16","book review","135"
"17","book review; early access","1"
"18","correction","1"
"19","correction, addition","1"
"20","discussion","2"
"21","editorial material","112"
"22","letter","5"
"23","meeting abstract","17"
"24","note","6"
"25","reprint","1"
"26","review","291"
"27","review; early access","19"
"28","DOCUMENT CONTENTS",""
"29","Keywords Plus (ID)","3596"
"30","Author's Keywords (DE)","8336"
"31","AUTHORS",""
"32","Authors","10012"
"33","Author Appearances","12216"
"34","Authors of single-authored docs","1105"
"35","AUTHORS COLLABORATION",""
"36","Single-authored docs","1263"
"37","Documents per Author","0.438"
"38","Co-Authors per Doc","2.78"
"39","International co-authorships %","16.47"
"40","",""
