"","Paper         ","DOI","TC","TCperYear","NTC"
"1","DESANCTIS G, 1994, ORGAN SCI                  ","10.1287/orsc.5.2.121            ","1703"," 54.94","19.89"
"2","AIKEN LH, 2003, JAMA-J AM MED ASSOC           ","10.1001/jama.290.12.1617        ","1065"," 48.41","16.96"
"3","HEW KF, 2007, ETR&D-EDUC TECH RES             ","10.1007/s11423-006-9022-5       "," 853"," 47.39","17.12"
"4","AKÇAYIR M, 2017, EDUC RES REV-NETH            ","10.1016/j.edurev.2016.11.002    "," 808","101.00","27.89"
"5","ERTMER PA, 2012, COMPUT EDUC                  ","10.1016/j.compedu.2012.02.001   "," 759"," 58.38","18.74"
"6","PARK SY, 2009, EDUC TECHNOL SOC               ","NA                              "," 755"," 47.19","15.63"
"7","SCHERER R, 2019, COMPUT EDUC                  ","10.1016/j.compedu.2018.09.009   "," 578"," 96.33","25.89"
"8","GREENHOW C, 2009, EDUC RESEARCHER             ","10.3102/0013189X09336671        "," 564"," 35.25","11.68"
"9","STRAUB ET, 2009, REV EDUC RES                 ","10.3102/0034654308325896        "," 526"," 32.88","10.89"
"10","NIESS ML, 2005, TEACH TEACH EDUC              ","10.1016/j.tate.2005.03.006      "," 484"," 24.20","11.49"
"11","LEIDNER DE, 1995, MIS QUART                   ","10.2307/249596                  "," 479"," 15.97"," 8.64"
"12","LAWLESS KA, 2007, REV EDUC RES                ","10.3102/0034654307309921        "," 470"," 26.11"," 9.43"
"13","HIRSH-PASEK K, 2015, PSYCHOL SCI PUBL INT     ","10.1177/1529100615569721        "," 463"," 46.30","18.59"
"14","GOLONKA EM, 2014, COMPUT ASSIST LANG L        ","10.1080/09588221.2012.700315    "," 441"," 40.09","13.53"
"15","HARA N, 2000, INSTR SCI                       ","10.1023/A:1003764722829         "," 438"," 17.52"," 8.54"
"16","SHARPLES M, 2000, COMPUT EDUC                 ","10.1016/S0360-1315(99)00044-5   "," 425"," 17.00"," 8.29"
"17","SANG GY, 2010, COMPUT EDUC                    ","10.1016/j.compedu.2009.07.010   "," 395"," 26.33"," 8.99"
"18","MAZMAN SG, 2010, COMPUT EDUC                  ","10.1016/j.compedu.2010.02.008   "," 379"," 25.27"," 8.63"
"19","SELWYN N, 2003, AGEING SOC                    ","10.1017/S0144686X03001302       "," 367"," 16.68"," 5.84"
"20","TONDEUR J, 2012, COMPUT EDUC                  ","10.1016/j.compedu.2011.10.009   "," 363"," 27.92"," 8.96"
"21","PARK Y, 2011, INT REV RES OPEN DIS            ","10.19173/irrodl.v12i2.791       "," 348"," 24.86","11.77"
