"","Authors       ","Articles","Authors       ","Articles Fractionalized"
"1","TEO T            ","28","TEO T        ","14.95"
"2","HWANG GJ         ","25","SELWYN N     ","11.17"
"3","SELWYN N         ","20","HWANG GJ     "," 7.52"
"4","TONDEUR J        ","17","MERTALA P    "," 5.83"
"5","TSAI CC          ","16","SPECTOR JM   "," 5.54"
"6","VAN BRAAK J      ","13","ELY DP       "," 5.50"
"7","CHEN NS          ","12","HARRIS D     "," 5.00"
"8","GU XQ            ","10","HAWKRIDGE D  "," 5.00"
"9","HENDERSON M      ","10","UNWIN D      "," 5.00"
"10","LODGE JM         ","10","[ANONYMOUS]  "," 5.00"
"11","SPECTOR JM       ","10","WILLIAMSON B "," 4.33"
"12","CORRIN L         "," 9","ROSS SM      "," 4.17"
"13","KINSHUK          "," 9","AL LILY AE   "," 4.08"
"14","SHADIEV R        "," 9","TSAI CC      "," 4.05"
"15","THOMPSON K       "," 9","AAGAARD J    "," 4.00"
"16","VOOGT J          "," 9","AMORY A      "," 4.00"
"17","BOND M           "," 8","BRIGHT RL    "," 4.00"
"18","FONSECA LMM      "," 8","HUBBARD G    "," 4.00"
"19","MCKENNEY S       "," 8","KERR ST      "," 4.00"
"20","NETO NMG         "," 8","OHE Y        "," 4.00"
"21","NISTOR N         "," 8","WILKES J     "," 4.00"
"22","NUSSBAUM M       "," 8","BOWER M      "," 3.92"
"23","ABAD-SEGURA E    "," 7","HALLSTRÖM J  "," 3.92"
"24","BENNETT S        "," 7","TONDEUR J    "," 3.91"
"25","BOWER M          "," 7","OLIVER M     "," 3.70"
"26","CHAI CS          "," 7","MCGARR O     "," 3.50"
"27","DUBÉ AK          "," 7","YU ZG        "," 3.50"
"28","ELY DP           "," 7","SHADIEV R    "," 3.33"
"29","GONZÁLEZ-ZAMAR MD"," 7","KUMAR S      "," 3.33"
"30","HALLSTRÖM J      "," 7","LODGE JM     "," 3.25"
"31","HENNESSY S       "," 7","VAN BRAAK J  "," 3.18"
"32","HUANG YM         "," 7","TANG HT      "," 3.17"
"33","MCGARR O         "," 7","GU XQ        "," 3.12"
"34","MERTALA P        "," 7","KOPCHA TJ    "," 3.08"
"35","QUEMADA J        "," 7","KIM J        "," 3.00"
"36","REIGELUTH CM     "," 7","CHADWICK C   "," 3.00"
"37","TLILI A          "," 7","GRANIC A     "," 3.00"
"38","AL LILY AE       "," 6","HARTLEY J    "," 3.00"
"39","AL-RAHMI WM      "," 6","LUPPICINI R  "," 3.00"
"40","CROOK C          "," 6","MORRIS JG    "," 3.00"
"41","DAWSON K         "," 6","RUSHBY N     "," 3.00"
"42","DOLECK T         "," 6","WINN W       "," 3.00"
"43","GORDILLO A       "," 6","HUANG YM     "," 2.96"
"44","HOSSEIN-MOHAND H "," 6","MCKENNEY S   "," 2.95"
"45","HUANG F          "," 6","BOND M       "," 2.93"
"46","HUANG RH         "," 6","CORRIN L     "," 2.92"
"47","IOANNOU A        "," 6","THOMPSON K   "," 2.92"
"48","KIM J            "," 6","CROOK C      "," 2.87"
"49","LÓPEZ-MENESES E  "," 6","NUSSBAUM M   "," 2.84"
"50","LÓPEZ-PERNAS S   "," 6","BARAK M      "," 2.83"
"51","MARTIN F         "," 6","PERROTTA C   "," 2.83"
"52","MARTIN S         "," 6","HENDERSON M  "," 2.78"
"53","OLIVER M         "," 6","VOOGT J      "," 2.70"
"54","PETKO D          "," 6","DUBÉ AK      "," 2.67"
"55","RITZHAUPT AD     "," 6","IOANNOU A    "," 2.67"
"56","ROSS SM          "," 6","REEVES TC    "," 2.67"
"57","SCHERER R        "," 6","CHEN NS      "," 2.59"
