"","Country","Articles","Freq","SCP","MCP","MCP_Ratio"
"1","USA            ","1046","0.258847","939","107","0.1023"
"2","CHINA          "," 473","0.117050","380"," 93","0.1966"
"3","UNITED KINGDOM "," 332","0.082158","286"," 46","0.1386"
"4","SPAIN          "," 258","0.063846","213"," 45","0.1744"
"5","AUSTRALIA      "," 201","0.049740","160"," 41","0.2040"
"6","TURKEY         "," 187","0.046276","170"," 17","0.0909"
"7","BRAZIL         "," 141","0.034892","125"," 16","0.1135"
"8","CANADA         "," 113","0.027963"," 96"," 17","0.1504"
"9","GERMANY        ","  77","0.019055"," 54"," 23","0.2987"
"10","SWEDEN         ","  70","0.017322"," 60"," 10","0.1429"
"11","KOREA          ","  66","0.016333"," 50"," 16","0.2424"
"12","NETHERLANDS    ","  63","0.015590"," 53"," 10","0.1587"
"13","GREECE         ","  50","0.012373"," 44","  6","0.1200"
"14","SOUTH AFRICA   ","  48","0.011878"," 42","  6","0.1250"
"15","ITALY          ","  47","0.011631"," 34"," 13","0.2766"
"16","FINLAND        ","  45","0.011136"," 40","  5","0.1111"
"17","MALAYSIA       ","  45","0.011136"," 30"," 15","0.3333"
"18","BELGIUM        ","  42","0.010393"," 27"," 15","0.3571"
"19","NEW ZEALAND    ","  40","0.009899"," 29"," 11","0.2750"
"20","SINGAPORE      ","  39","0.009651"," 26"," 13","0.3333"
"21","JAPAN          ","  36","0.008909"," 29","  7","0.1944"
"22","NORWAY         ","  35","0.008661"," 24"," 11","0.3143"
"23","IRELAND        ","  33","0.008166"," 26","  7","0.2121"
"24","IRAN           ","  32","0.007919"," 20"," 12","0.3750"
"25","MEXICO         ","  30","0.007424"," 23","  7","0.2333"
"26","ISRAEL         ","  28","0.006929"," 24","  4","0.1429"
"27","CYPRUS         ","  27","0.006682"," 21","  6","0.2222"
"28","SAUDI ARABIA   ","  26","0.006434"," 20","  6","0.2308"
"29","CHILE          ","  25","0.006187"," 12"," 13","0.5200"
"30","INDIA          ","  23","0.005692"," 18","  5","0.2174"
"31","DENMARK        ","  22","0.005444"," 19","  3","0.1364"
"32","SWITZERLAND    ","  22","0.005444"," 19","  3","0.1364"
"33","PORTUGAL       ","  21","0.005197"," 15","  6","0.2857"
"34","FRANCE         ","  18","0.004454"," 15","  3","0.1667"
"35","RUSSIA         ","  16","0.003959"," 11","  5","0.3125"
"36","NIGERIA        ","  14","0.003464"," 12","  2","0.1429"
