"","Sources       ","Articles"
"1","BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY                                                ","216"
"2","ETR&D-EDUCATIONAL TECHNOLOGY RESEARCH AND DEVELOPMENT                                    ","207"
"3","EDUCATIONAL TECHNOLOGY & SOCIETY                                                         ","170"
"4","EDUCATION AND INFORMATION TECHNOLOGIES                                                   ","145"
"5","SUSTAINABILITY                                                                           ","138"
"6","COMPUTERS & EDUCATION                                                                    ","132"
"7","EDUCATIONAL TECHNOLOGY                                                                   ","125"
"8","INTERNATIONAL JOURNAL OF TECHNOLOGY AND DESIGN EDUCATION                                 "," 93"
"9","COMPUTERS IN HUMAN BEHAVIOR                                                              "," 69"
"10","TECHNOLOGY PEDAGOGY AND EDUCATION                                                        "," 68"
"11","AUSTRALASIAN JOURNAL OF EDUCATIONAL TECHNOLOGY                                           "," 63"
"12","INTERACTIVE LEARNING ENVIRONMENTS                                                        "," 62"
"13","LEARNING MEDIA AND TECHNOLOGY                                                            "," 61"
"14","FRONTIERS IN PSYCHOLOGY                                                                  "," 56"
"15","PROGRAMMED LEARNING & EDUCATIONAL TECHNOLOGY                                             "," 56"
"16","EURASIA JOURNAL OF MATHEMATICS SCIENCE AND TECHNOLOGY EDUCATION                          "," 53"
"17","JOURNAL OF EDUCATIONAL COMPUTING RESEARCH                                                "," 49"
"18","JOURNAL OF SCIENCE EDUCATION AND TECHNOLOGY                                              "," 46"
"19","JOURNAL OF COMPUTER ASSISTED LEARNING                                                    "," 45"
"20","INTERNATIONAL JOURNAL OF EDUCATIONAL TECHNOLOGY IN HIGHER EDUCATION                      "," 44"
"21","TURKISH ONLINE JOURNAL OF EDUCATIONAL TECHNOLOGY                                         "," 41"
"22","JOURNAL OF RESEARCH ON TECHNOLOGY IN EDUCATION                                           "," 36"
"23","IEEE ACCESS                                                                              "," 30"
"24","REVISTA DA ESCOLA DE ENFERMAGEM DA USP                                                   "," 29"
"25","IEEE TRANSACTIONS ON LEARNING TECHNOLOGIES                                               "," 27"
"26","JOURNAL OF SPECIAL EDUCATION TECHNOLOGY                                                  "," 27"
"27","REVISTA LATINO-AMERICANA DE ENFERMAGEM                                                   "," 24"
"28","ACTA PAULISTA DE ENFERMAGEM                                                              "," 23"
"29","INTERNATIONAL REVIEW OF RESEARCH IN OPEN AND DISTRIBUTED LEARNING                        "," 23"
"30","TEACHING AND TEACHER EDUCATION                                                           "," 23"
"31","ECTJ-EDUCATIONAL COMMUNICATION AND TECHNOLOGY JOURNAL                                    "," 21"
"32","RIED-REVISTA IBEROAMERICANA DE EDUCACION A DISTANCIA                                     "," 21"
"33","INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH                        "," 20"
"34","DISABILITY AND REHABILITATION-ASSISTIVE TECHNOLOGY                                       "," 19"
"35","EDUCATIONAL SCIENCES-THEORY & PRACTICE                                                   "," 19"
"36","SAGE OPEN                                                                                "," 19"
"37","TECHNOLOGY IN SOCIETY                                                                    "," 19"
"38","BMC MEDICAL EDUCATION                                                                    "," 17"
"39","JOURNAL OF COMPUTING IN HIGHER EDUCATION                                                 "," 17"
"40","REVISTA ESPANOLA DE PEDAGOGIA                                                            "," 16"
"41","COMPUTER ASSISTED LANGUAGE LEARNING                                                      "," 15"
"42","EDUCATIONAL PHILOSOPHY AND THEORY                                                        "," 15"
"43","INNOVATIONS IN EDUCATION AND TEACHING INTERNATIONAL                                      "," 15"
"44","COMUNICAR                                                                                "," 14"
"45","EDUCACION XX1                                                                            "," 14"
"46","EDUCATIONAL & TRAINING TECHNOLOGY INTERNATIONAL                                          "," 13"
"47","EDUCATIONAL RESEARCH REVIEW                                                              "," 13"
"48","INTERNATIONAL JOURNAL OF SCIENCE EDUCATION                                               "," 13"
