"","Country     ","Total Citations","Average Article Citations"
"1","USA            ","32267"," 30.85"
"2","CHINA          "," 8903"," 18.82"
"3","UNITED KINGDOM "," 7979"," 24.03"
"4","AUSTRALIA      "," 4916"," 24.46"
"5","SPAIN          "," 4859"," 18.83"
"6","TURKEY         "," 3678"," 19.67"
"7","SINGAPORE      "," 2540"," 65.13"
"8","BELGIUM        "," 2327"," 55.40"
"9","GERMANY        "," 2190"," 28.44"
"10","NETHERLANDS    "," 2057"," 32.65"
"11","KOREA          "," 1878"," 28.45"
"12","CANADA         "," 1741"," 15.41"
"13","NORWAY         "," 1461"," 41.74"
"14","GREECE         "," 1453"," 29.06"
"15","BRAZIL         "," 1259","  8.93"
"16","MALAYSIA       "," 1202"," 26.71"
"17","SWEDEN         "," 1137"," 16.24"
"18","FINLAND        ","  749"," 16.64"
"19","ITALY          ","  692"," 14.72"
"20","NEW ZEALAND    ","  680"," 17.00"
"21","SOUTH AFRICA   ","  473","  9.85"
"22","DENMARK        ","  472"," 21.45"
"23","CHILE          ","  466"," 18.64"
"24","SAUDI ARABIA   ","  433"," 16.65"
"25","PAKISTAN       ","  412"," 45.78"
"26","ISRAEL         ","  403"," 14.39"
"27","IRAN           ","  388"," 12.12"
"28","SWITZERLAND    ","  384"," 17.45"
"29","OMAN           ","  380","126.67"
"30","COLOMBIA       ","  353"," 39.22"
"31","CYPRUS         ","  347"," 12.85"
"32","CROATIA        ","  341"," 48.71"
"33","U ARAB EMIRATES","  313"," 26.08"
"34","IRELAND        ","  306","  9.27"
"35","MEXICO         ","  305"," 10.17"
"36","FRANCE         ","  242"," 13.44"
"37","JAPAN          ","  241","  6.69"
"38","JORDAN         ","  207"," 17.25"
"39","SERBIA         ","  184"," 13.14"
"40","INDIA          ","  178","  7.74"
"41","SLOVENIA       ","  165"," 13.75"
"42","RUSSIA         ","  160"," 10.00"
"43","ESTONIA        ","  155"," 19.38"
"44","PORTUGAL       ","  154","  7.33"
"45","CZECH REPUBLIC ","  124"," 17.71"
"46","ETHIOPIA       ","  101"," 20.20"
"47","HUNGARY        ","   95","  9.50"
"48","VIETNAM        ","   86"," 17.20"
"49","ROMANIA        ","   83","  5.93"
"50","THAILAND       ","   80","  8.89"
"51","ECUADOR        ","   61"," 30.50"
"52","LATVIA         ","   59"," 59.00"
"53","AUSTRIA        ","   57","  5.18"
"54","UKRAINE        ","   55"," 11.00"
"55","SLOVAKIA       ","   50"," 10.00"
"56","LITHUANIA      ","   45","  7.50"
"57","NIGERIA        ","   43","  3.07"
"58","KAZAKHSTAN     ","   42","  4.20"
"59","BENIN          ","   38"," 38.00"
"60","GHANA          ","   38"," 12.67"
"61","ARGENTINA      ","   37","  9.25"
"62","INDONESIA      ","   37","  5.29"
"63","EGYPT          ","   31"," 10.33"
"64","LUXEMBOURG     ","   30"," 30.00"
"65","KUWAIT         ","   29","  7.25"
"66","TUNISIA        ","   29"," 14.50"
"67","GUATEMALA      ","   28","  9.33"
"68","POLAND         ","   27","  3.38"
"69","MALTA          ","   25"," 25.00"
"70","PHILIPPINES    ","   22","  7.33"
"71","MACEDONIA      ","   19"," 19.00"
"72","JAMAICA        ","   18","  9.00"
"73","BANGLADESH     ","   16","  5.33"
"74","UGANDA         ","   16","  5.33"
"75","BRUNEI         ","   14","  7.00"
"76","MALAWI         ","   13"," 13.00"
"77","BAHRAIN        ","   12"," 12.00"
"78","VENEZUELA      ","   11"," 11.00"
"79","TANZANIA       ","   10"," 10.00"
"80","ALGERIA        ","    9","  9.00"
"81","GEORGIA        ","    9","  4.50"
"82","SRI LANKA      ","    9","  4.50"
"83","COSTA RICA     ","    7","  7.00"
"84","IRAQ           ","    6","  6.00"
"85","CUBA           ","    4","  4.00"
"86","QATAR          ","    4","  4.00"
"87","URUGUAY        ","    4","  4.00"
"88","ANGOLA         ","    3","  3.00"
"89","FIJI           ","    3","  3.00"
"90","GUINEA         ","    2","  2.00"
"91","MOROCCO        ","    2","  2.00"
"92","MAURITIUS      ","    1","  1.00"
"93","SYRIA          ","    1","  1.00"
"94","ALBANIA        ","    0","  0.00"
"95","BOLIVIA        ","    0","  0.00"
"96","NIGER          ","    0","  0.00"
