"","TC_rank","Country","TC","AvgArtCit","Articles","SCP","MCP","MCP_Ratio"
"1",29,"OMAN           ",380,126.67,3,2,1,0.3333
"2",7,"SINGAPORE      ",2540,65.13,39,26,13,0.3333
"3",52,"LATVIA         ",59,59,1,0,1,1
"4",8,"BELGIUM        ",2327,55.4,42,27,15,0.3571
"5",32,"CROATIA        ",341,48.71,7,7,0,0
"6",25,"PAKISTAN       ",412,45.78,9,4,5,0.5556
"7",13,"NORWAY         ",1461,41.74,35,24,11,0.3143
"8",30,"COLOMBIA       ",353,39.22,9,4,5,0.5556
"9",59,"BENIN          ",38,38,1,1,0,0
"10",10,"NETHERLANDS    ",2057,32.65,63,53,10,0.1587
"11",1,"USA            ",32267,30.85,1046,939,107,0.1023
"12",51,"ECUADOR        ",61,30.5,2,0,2,1
"13",64,"LUXEMBOURG     ",30,30,1,0,1,1
"14",14,"GREECE         ",1453,29.06,50,44,6,0.12
"15",11,"KOREA          ",1878,28.45,66,50,16,0.2424
"16",9,"GERMANY        ",2190,28.44,77,54,23,0.2987
"17",16,"MALAYSIA       ",1202,26.71,45,30,15,0.3333
"18",33,"U ARAB EMIRATES",313,26.08,12,8,4,0.3333
"19",69,"MALTA          ",25,25,1,0,1,1
"20",4,"AUSTRALIA      ",4916,24.46,201,160,41,0.204
"21",3,"UNITED KINGDOM ",7979,24.03,332,286,46,0.1386
"22",22,"DENMARK        ",472,21.45,22,19,3,0.1364
"23",46,"ETHIOPIA       ",101,20.2,5,2,3,0.6
"24",6,"TURKEY         ",3678,19.67,187,170,17,0.0909
"25",43,"ESTONIA        ",155,19.38,8,3,5,0.625
"26",71,"MACEDONIA      ",19,19,1,0,1,1
"27",5,"SPAIN          ",4859,18.83,258,213,45,0.1744
"28",2,"CHINA          ",8903,18.82,473,380,93,0.1966
"29",23,"CHILE          ",466,18.64,25,12,13,0.52
"30",45,"CZECH REPUBLIC ",124,17.71,7,3,4,0.5714
"31",28,"SWITZERLAND    ",384,17.45,22,19,3,0.1364
"32",38,"JORDAN         ",207,17.25,12,9,3,0.25
"33",48,"VIETNAM        ",86,17.2,5,1,4,0.8
"34",20,"NEW ZEALAND    ",680,17,40,29,11,0.275
"35",24,"SAUDI ARABIA   ",433,16.65,26,20,6,0.2308
"36",18,"FINLAND        ",749,16.64,45,40,5,0.1111
"37",17,"SWEDEN         ",1137,16.24,70,60,10,0.1429
"38",12,"CANADA         ",1741,15.41,113,96,17,0.1504
"39",19,"ITALY          ",692,14.72,47,34,13,0.2766
"40",66,"TUNISIA        ",29,14.5,2,1,1,0.5
"41",26,"ISRAEL         ",403,14.39,28,24,4,0.1429
"42",41,"SLOVENIA       ",165,13.75,12,9,3,0.25
"43",36,"FRANCE         ",242,13.44,18,15,3,0.1667
"44",39,"SERBIA         ",184,13.14,14,11,3,0.2143
"45",76,"MALAWI         ",13,13,1,0,1,1
"46",31,"CYPRUS         ",347,12.85,27,21,6,0.2222
"47",60,"GHANA          ",38,12.67,3,1,2,0.6667
"48",27,"IRAN           ",388,12.12,32,20,12,0.375
