"","Year   ","Articles"
"1","1979",1
"2","1982",2
"3","1983",1
"4","1984",3
"5","1986",2
"6","1987",1
"7","1990",5
"8","1991",13
"9","1992",22
"10","1993",14
"11","1994",17
"12","1995",24
"13","1996",29
"14","1997",28
"15","1998",30
"16","1999",26
"17","2000",47
"18","2001",41
"19","2002",22
"20","2003",36
"21","2004",40
"22","2005",36
"23","2006",36
"24","2007",47
"25","2008",58
"26","2009",72
"27","2010",66
"28","2011",97
"29","2012",97
"30","2013",100
"31","2014",104
"32","2015",119
"33","2016",109
"34","2017",138
"35","2018",138
"36","2019",185
"37","2020",232
"38","2021",230
"39","2022",250
"40","2023",260
