"","Description","Results"
"1","MAIN INFORMATION ABOUT DATA",""
"2","Timespan","1979:2023"
"3","Sources (Journals, Books, etc)","1577"
"4","Documents","2778"
"5","Annual Growth Rate %","13.47"
"6","Document Average Age","9.76"
"7","Average citations per doc","15.65"
"8","Average citations per year per doc","1.335"
"9","References","83940"
"10","DOCUMENT TYPES",""
"11","article","2029"
"12","article; book chapter","30"
"13","article; early access","296"
"14","article; proceedings paper","47"
"15","book","3"
"16","book review","11"
"17","book review; early access","2"
"18","editorial material","11"
"19","editorial material; book chapter","7"
"20","editorial material; early access","2"
"21","letter","2"
"22","meeting abstract","8"
"23","note","5"
"24","proceedings paper","230"
"25","reprint","1"
"26","review","79"
"27","review; early access","15"
"28","DOCUMENT CONTENTS",""
"29","Keywords Plus (ID)","4693"
"30","Author's Keywords (DE)","7318"
"31","AUTHORS",""
"32","Authors","10227"
"33","Author Appearances","11272"
"34","Authors of single-authored docs","593"
"35","AUTHORS COLLABORATION",""
"36","Single-authored docs","635"
"37","Documents per Author","0.272"
"38","Co-Authors per Doc","4.06"
"39","International co-authorships %","11.45"
"40","",""
