"","Paper         ","DOI","TC","TCperYear","NTC"
"1","MCKINLEY NM, 1996, PSYCHOL WOMEN QUART      ","10.1111/j.1471-6402.1996.tb00467.x                             ","1043","35.97","16.28"
"2","MOR N, 2002, PSYCHOL BULL                   ","10.1037//0033-2909.128.4.638                                   "," 719","31.26","10.53"
"3","SLATER M, 2010, PLOS ONE                    ","10.1371/journal.pone.0010564                                   "," 625","41.67","24.79"
"4","PECK TC, 2013, CONSCIOUS COGN               ","10.1016/j.concog.2013.04.016                                   "," 480","40.00","25.72"
"5","NOLEN-HOEKSEMA S, 2007, J ABNORM PSYCHOL    ","10.1037/0021-843X.116.1.198                                    "," 464","25.78","17.63"
"6","MORTIMER JA, 1991, INT J EPIDEMIOL          ","10.1093/ije/20.Supplement_2.S28                                "," 450","13.24"," 8.04"
"7","TIGGEMANN M, 2004, J SOC CLIN PSYCHOL       ","10.1521/jscp.23.1.23.26991                                     "," 382","18.19"," 7.76"
"8","MCCRACKEN LM, 1997, BEHAV THER              ","10.1016/S0005-7894(97)80047-0                                  "," 344","12.29"," 9.76"
"9","RUDMAN LA, 2000, PERS SOC PSYCHOL B         ","10.1177/0146167200263001                                       "," 331","13.24"," 8.48"
"10","RICKWOOD DJ, 1994, SOC SCI MED              ","10.1016/0277-9536(94)90099-X                                   "," 329","10.61"," 8.89"
"11","WHITE K, 2006, J CONSUM PSYCHOL             ","10.1207/s15327663jcp1604_11                                    "," 285","15.00"," 4.94"
"12","GANZEBOOM KS, 2006, J CARDIOVASC ELECTR     ","10.1111/j.1540-8167.2006.00595.x                               "," 242","12.74"," 4.19"
"13","JIANG Y, 2006, P NATL ACAD SCI USA          ","10.1073/pnas.0605678103                                        "," 241","12.68"," 4.18"
"14","DAUBENMIER JJ, 2005, PSYCHOL WOMEN QUART    ","10.1111/j.1471-6402.2005.00183.x                               "," 226","11.30"," 7.21"
"15","BAZARIAN JJ, 1999, BRAIN INJURY             ","10.1080/026990599121692                                        "," 221"," 8.50"," 7.10"
"16","WOERTMAN L, 2012, J SEX RES                 ","10.1080/00224499.2012.658586                                   "," 221","17.00","10.17"
"17","JENSEN KB, 2012, P NATL ACAD SCI USA        ","10.1073/pnas.1202056109                                        "," 209","16.08"," 9.62"
"18","SZYMANSKI DM, 2011, COUNS PSYCHOL           ","10.1177/0011000010378402                                       "," 207","14.79","13.24"
"19","DEMERTZI A, 2015, BRAIN                     ","10.1093/brain/awv169                                           "," 203","20.30","13.69"
"20","WIEDERMAN MW, 2000, J SEX RES               ","10.1080/00224490009552021                                      "," 201"," 8.04"," 5.15"
"21","KAPLAN T, 1982, SIGNS                       ","10.1086/493899                                                 "," 200"," 4.65"," 1.99"
"22","BROCKMEYER D, 1998, PEDIATR NEUROSURG       ","10.1159/000028657                                              "," 194"," 7.19"," 6.25"
"23","SAXENA R, 2001, STROKE                      ","10.1161/hs1001.097093                                          "," 192"," 8.00"," 6.36"
"24","STRUYS MMRF, 2000, ANESTHESIOLOGY           ","10.1097/00000542-200002000-00021                               "," 188"," 7.52"," 4.82"
"25","COLMAN N, 2004, CLIN AUTON RES              ","10.1007/s10286-004-1003-3                                      "," 186"," 8.86"," 3.78"
"26","AKAN GE, 1995, INT J EAT DISORDER           ","10.1002/1098-108X(199509)18:2<181::AID-EAT2260180211>3.0.CO;2-M"," 186"," 6.20"," 8.31"
"27","STRUYS MMRF, 2002, ANESTHESIOLOGY           ","10.1097/00000542-200204000-00006                               "," 179"," 7.78"," 2.62"
"28","HAYTKO DL, 2004, J RETAILING                ","10.1016/j.jretai.2004.01.005                                   "," 175"," 8.33"," 3.55"
"29","TIGGEMANN M, 2001, PSYCHOL WOMEN QUART      ","10.1111/1471-6402.00007                                        "," 170"," 7.08"," 5.63"
"30","TOMASI D, 2012, HUM BRAIN MAPP              ","10.1002/hbm.21252                                              "," 165","12.69"," 7.59"
"31","MONTGOMERY MJ, 2005, J ADOLESCENT RES       ","10.1177/0743558404273118                                       "," 163"," 8.15"," 5.20"
"32","BOGNER J, 2009, J HEAD TRAUMA REHAB         ","10.1097/HTR.0b013e3181a66356                                   "," 161","10.06"," 7.98"
"33","IMPETT EA, 2006, ARCH SEX BEHAV             ","10.1007/s10508-005-9016-0                                      "," 161"," 8.47"," 2.79"
"34","KÖLKER S, 2015, J INHERIT METAB DIS         ","10.1007/s10545-015-9839-3                                      "," 156","15.60","10.52"
"35","KONDZIELLA D, 2016, J NEUROL NEUROSUR PS    ","10.1136/jnnp-2015-310958                                       "," 156","17.33","11.88"
"36","STRELAN P, 2003, SEX ROLES                  ","10.1023/A:1022300930307                                        "," 155"," 7.05"," 3.93"
"37","UGGEN C, 2004, AM SOCIOL REV                ","10.1177/000312240406900105                                     "," 153"," 7.29"," 3.11"
"38","KARAKAS S, 2000, CLIN NEUROPHYSIOL          ","10.1016/S1388-2457(00)00418-1                                  "," 150"," 6.00"," 3.84"
"39","BENTOVIM DI, 1991, PSYCHOL MED              ","10.1017/S0033291700022406                                      "," 148"," 4.35"," 2.64"
"40","SIEGRIST M, 2019, APPETITE                  ","10.1016/j.appet.2018.09.016                                    "," 147","24.50","16.95"
