"","Authors       ","Articles","Authors       ","Articles Fractionalized"
"1","TIGGEMANN M     ","11","PORTER SS          ","10.00"
"2","PORTER SS       ","10","BOLTON L           "," 9.00"
"3","BOLTON L        "," 9","TIGGEMANN M        "," 5.33"
"4","JANG SH         "," 9","JANG SH            "," 4.17"
"5","DAVIS AK        "," 7","WANG X             "," 3.20"
"6","LAUREYS S       "," 7","CHAE J             "," 3.00"
"7","LI J            "," 7","DAHAN O            "," 3.00"
"8","THIBAUT A       "," 7","ZHANG TT           "," 3.00"
"9","WANG X          "," 7","ZHANG YL           "," 3.00"
"10","ZHANG L         "," 7","ZHONG WX           "," 3.00"
"11","ESTRANEO A      "," 6","SLATER A           "," 2.50"
"12","INOUE T         "," 6","YE YH              "," 2.50"
"13","MASHOUR GA      "," 6","ZHAO Y             "," 2.35"
"14","WRAY-LAKE L     "," 6","KIM S              "," 2.21"
"15","CHANG WN        "," 5","LIU DQ             "," 2.09"
"16","GOSSERIES O     "," 5","CUI XX             "," 2.00"
"17","KIM S           "," 5","GUO YY             "," 2.00"
"18","LIU X           "," 5","HASEGAWA H         "," 2.00"
"19","LU CH           "," 5","HRDY SB            "," 2.00"
"20","MOYER C         "," 5","LIANG Y            "," 2.00"
"21","SLATER A        "," 5","LUAN X             "," 2.00"
"22","WANG S          "," 5","MUNGER K           "," 2.00"
"23","WANG Y          "," 5","NA                 "," 2.00"
"24","ASHRAFI-AMINEH F"," 4","PENG YZ            "," 2.00"
"25","CRITCHLEY HD    "," 4","SAYIN HÜ           "," 2.00"
"26","DIEMER MA       "," 4","SVEINSDÓTTIR H     "," 2.00"
"27","JOEGHAN SS      "," 4","YANG R             "," 2.00"
"28","KATO R          "," 4","LI J               "," 2.00"
"29","LI K            "," 4","PINEL EC           "," 1.83"
"30","LIU XY          "," 4","WARREN CS          "," 1.83"
"31","MOLLER K        "," 4","LI K               "," 1.79"
"32","RAHIMI M        "," 4","WRAY-LAKE L        "," 1.77"
"33","SHADNIA S       "," 4","LI M               "," 1.67"
"34","TAHERI MA       "," 4","LI Y               "," 1.57"
"35","TROJANO L       "," 4","CHEN Y             "," 1.50"
"36","UCHIDA K        "," 4","FERNÁNDEZ-MORALES M"," 1.50"
"37","VISSER BA       "," 4","GOODYEAR-GRANT E   "," 1.50"
"38","WANG L          "," 4","HALL JM            "," 1.50"
"39","WANG Z          "," 4","HENRY A            "," 1.50"
"40","WIELING W       "," 4","JAMES D            "," 1.50"
"41","ZHANG J         "," 4","MCKINLEY NM        "," 1.50"
"42","ZHAO Y          "," 4","SEBOKOVÁ G         "," 1.50"
"43","ABE M           "," 3","SINGH R            "," 1.50"
"44","ABE T           "," 3","TREMBLAY M         "," 1.50"
"45","BJORVATN B      "," 3","YAN B              "," 1.50"
"46","BLUMENFELD H    "," 3","ZHANG XH           "," 1.50"
"47","BOWERS EP       "," 3","ITO M              "," 1.46"
"48","BRAMANTI P      "," 3","DIEMER MA          "," 1.45"
