"","Country","Articles","Freq","SCP","MCP","MCP_Ratio"
"1","USA            ","577","0.21939","532","45","0.0780"
"2","CHINA          ","406","0.15437","379","27","0.0665"
"3","JAPAN          ","203","0.07719","198"," 5","0.0246"
"4","UNITED KINGDOM ","119","0.04525"," 97","22","0.1849"
"5","CANADA         ","109","0.04144"," 95","14","0.1284"
"6","TURKEY         ","100","0.03802"," 96"," 4","0.0400"
"7","GERMANY        "," 92","0.03498"," 74","18","0.1957"
"8","ITALY          "," 85","0.03232"," 65","20","0.2353"
"9","KOREA          "," 70","0.02662"," 67"," 3","0.0429"
"10","AUSTRALIA      "," 65","0.02471"," 48","17","0.2615"
"11","INDIA          "," 64","0.02433"," 60"," 4","0.0625"
"12","IRAN           "," 52","0.01977"," 47"," 5","0.0962"
"13","SPAIN          "," 48","0.01825"," 40"," 8","0.1667"
"14","RUSSIA         "," 44","0.01673"," 40"," 4","0.0909"
"15","FRANCE         "," 39","0.01483"," 33"," 6","0.1538"
"16","NETHERLANDS    "," 36","0.01369"," 21","15","0.4167"
"17","SAUDI ARABIA   "," 33","0.01255"," 26"," 7","0.2121"
"18","BRAZIL         "," 30","0.01141"," 24"," 6","0.2000"
"19","PAKISTAN       "," 25","0.00951"," 20"," 5","0.2000"
"20","SOUTH AFRICA   "," 21","0.00798"," 17"," 4","0.1905"
"21","POLAND         "," 20","0.00760"," 19"," 1","0.0500"
"22","INDONESIA      "," 19","0.00722"," 19"," 0","0.0000"
"23","PORTUGAL       "," 17","0.00646"," 13"," 4","0.2353"
"24","SWEDEN         "," 17","0.00646"," 13"," 4","0.2353"
"25","BELGIUM        "," 16","0.00608"," 11"," 5","0.3125"
"26","SWITZERLAND    "," 16","0.00608","  8"," 8","0.5000"
"27","AUSTRIA        "," 14","0.00532","  7"," 7","0.5000"
"28","ISRAEL         "," 14","0.00532"," 11"," 3","0.2143"
"29","CHILE          "," 13","0.00494"," 12"," 1","0.0769"
"30","CROATIA        "," 11","0.00418","  9"," 2","0.1818"
"31","DENMARK        "," 11","0.00418","  7"," 4","0.3636"
"32","NIGERIA        "," 11","0.00418"," 11"," 0","0.0000"
"33","GREECE         "," 10","0.00380"," 10"," 0","0.0000"
"34","IRELAND        "," 10","0.00380","  4"," 6","0.6000"
"35","NORWAY         "," 10","0.00380","  6"," 4","0.4000"
"36","SINGAPORE      "," 10","0.00380","  9"," 1","0.1000"
"37","EGYPT          ","  9","0.00342","  8"," 1","0.1111"
"38","MALAYSIA       ","  9","0.00342","  7"," 2","0.2222"
"39","MEXICO         ","  9","0.00342","  9"," 0","0.0000"
"40","FINLAND        ","  8","0.00304","  7"," 1","0.1250"
"41","HUNGARY        ","  7","0.00266","  4"," 3","0.4286"
"42","NEPAL          ","  7","0.00266","  6"," 1","0.1429"
"43","NEW ZEALAND    ","  7","0.00266","  5"," 2","0.2857"
"44","SERBIA         ","  7","0.00266","  6"," 1","0.1429"
"45","UKRAINE        ","  7","0.00266","  7"," 0","0.0000"
"46","GHANA          ","  6","0.00228","  6"," 0","0.0000"
"47","LITHUANIA      ","  6","0.00228","  6"," 0","0.0000"
"48","ROMANIA        ","  6","0.00228","  6"," 0","0.0000"
"49","CZECH REPUBLIC ","  5","0.00190","  4"," 1","0.2000"
"50","SLOVENIA       ","  5","0.00190","  5"," 0","0.0000"
"51","THAILAND       ","  5","0.00190","  5"," 0","0.0000"
"52","ARGENTINA      ","  4","0.00152","  4"," 0","0.0000"
"53","BANGLADESH     ","  4","0.00152","  2"," 2","0.5000"
"54","ETHIOPIA       ","  4","0.00152","  4"," 0","0.0000"
"55","PHILIPPINES    ","  4","0.00152","  4"," 0","0.0000"
"56","SLOVAKIA       ","  4","0.00152","  4"," 0","0.0000"
"57","AZERBAIJAN     ","  3","0.00114","  3"," 0","0.0000"
"58","BOSNIA         ","  3","0.00114","  0"," 3","1.0000"
"59","CYPRUS         ","  3","0.00114","  2"," 1","0.3333"
"60","ICELAND        ","  3","0.00114","  2"," 1","0.3333"
"61","JORDAN         ","  3","0.00114","  2"," 1","0.3333"
"62","KENYA          ","  3","0.00114","  3"," 0","0.0000"
"63","LEBANON        ","  3","0.00114","  3"," 0","0.0000"
"64","SRI LANKA      ","  3","0.00114","  3"," 0","0.0000"
"65","TUNISIA        ","  3","0.00114","  2"," 1","0.3333"
"66","ARMENIA        ","  2","0.00076","  2"," 0","0.0000"
"67","BURKINA FASO   ","  2","0.00076","  2"," 0","0.0000"
"68","CAMEROON       ","  2","0.00076","  1"," 1","0.5000"
"69","COLOMBIA       ","  2","0.00076","  1"," 1","0.5000"
"70","ESTONIA        ","  2","0.00076","  2"," 0","0.0000"
"71","HONG KONG      ","  2","0.00076","  2"," 0","0.0000"
"72","OMAN           ","  2","0.00076","  1"," 1","0.5000"
"73","PERU           ","  2","0.00076","  1"," 1","0.5000"
"74","QATAR          ","  2","0.00076","  1"," 1","0.5000"
"75","SYRIA          ","  2","0.00076","  2"," 0","0.0000"
"76","TANZANIA       ","  2","0.00076","  1"," 1","0.5000"
"77","U ARAB EMIRATES","  2","0.00076","  2"," 0","0.0000"
"78","URUGUAY        ","  2","0.00076","  2"," 0","0.0000"
"79","BAHRAIN        ","  1","0.00038","  1"," 0","0.0000"
"80","BENIN          ","  1","0.00038","  1"," 0","0.0000"
"81","BOTSWANA       ","  1","0.00038","  0"," 1","1.0000"
"82","BULGARIA       ","  1","0.00038","  1"," 0","0.0000"
"83","GAMBIA         ","  1","0.00038","  1"," 0","0.0000"
"84","JAMAICA        ","  1","0.00038","  1"," 0","0.0000"
"85","KAZAKHSTAN     ","  1","0.00038","  1"," 0","0.0000"
"86","MACEDONIA      ","  1","0.00038","  0"," 1","1.0000"
"87","MALAWI         ","  1","0.00038","  1"," 0","0.0000"
"88","MONTENEGRO     ","  1","0.00038","  1"," 0","0.0000"
"89","MOROCCO        ","  1","0.00038","  1"," 0","0.0000"
"90","RWANDA         ","  1","0.00038","  1"," 0","0.0000"
"91","SOMALIA        ","  1","0.00038","  1"," 0","0.0000"
"92","SUDAN          ","  1","0.00038","  1"," 0","0.0000"
"93","UGANDA         ","  1","0.00038","  1"," 0","0.0000"
"94","VENEZUELA      ","  1","0.00038","  1"," 0","0.0000"
"95","VIETNAM        ","  1","0.00038","  1"," 0","0.0000"
