"","Author Keywords (DE)     ","Articles","Keywords-Plus (ID)    ","Articles"
"1","GENDER                     ","98","CONSCIOUSNESS         ","220"
"2","CONSCIOUSNESS              ","74","WOMEN                 ","117"
"3","FEMINISM                   ","45","CHILDREN              ","109"
"4","BODY IMAGE                 ","35","GENDER                "," 94"
"5","COVID-19                   ","34","MANAGEMENT            "," 85"
"6","CASE REPORT                ","31","GENDER-DIFFERENCES    "," 70"
"7","SYNCOPE                    ","30","SCALE                 "," 68"
"8","FEMALE                     ","29","ATTITUDES             "," 63"
"9","WOMEN                      ","27","DIAGNOSIS             "," 63"
"10","SELF-OBJECTIFICATION       ","26","BRAIN                 "," 60"
"11","TRAUMATIC BRAIN INJURY     ","26","RISK                  "," 60"
"12","CRITICAL CONSCIOUSNESS     ","25","VALIDATION            "," 57"
"13","SELF-CONSCIOUSNESS         ","25","DEPRESSION            "," 54"
"14","STROKE                     ","25","HEALTH                "," 52"
"15","EPILEPSY                   ","23","BEHAVIOR              "," 51"
"16","SEIZURE                    ","23","IMPACT                "," 48"
"17","EEG                        ","21","PREVALENCE            "," 48"
"18","ENCEPHALITIS               ","21","DISORDERS             "," 47"
"19","OUTCOME                    ","21","MENTAL-HEALTH         "," 44"
"20","ADOLESCENCE                ","20","RISK-FACTORS          "," 44"
"21","COMA                       ","20","SYMPTOMS              "," 42"
"22","ADOLESCENT                 ","19","IMAGE                 "," 40"
"23","DEPRESSION                 ","19","SEX-DIFFERENCES       "," 40"
"24","DISORDERS OF CONSCIOUSNESS ","19","MORTALITY             "," 39"
"25","PROGNOSIS                  ","19","ANXIETY               "," 38"
"26","CONCUSSION                 ","18","PERSONALITY           "," 38"
"27","ENCEPHALOPATHY             ","18","RECOVERY              "," 38"
"28","FEMALE CONSCIOUSNESS       ","18","SELF-OBJECTIFICATION  "," 38"
"29","IDENTITY                   ","17","TRAUMATIC BRAIN-INJURY"," 38"
"30","PROPOFOL                   ","17","PERFORMANCE           "," 37"
"31","ADOLESCENTS                ","16","DISSATISFACTION       "," 36"
"32","EPIDEMIOLOGY               ","16","SELF-CONSCIOUSNESS    "," 36"
"33","CHILDREN                   ","15","MODEL                 "," 35"
"34","HEALTH CONSCIOUSNESS       ","15","OUTCOMES              "," 35"
"35","MAGNETIC RESONANCE IMAGING ","15","AWARENESS             "," 34"
"36","MILD TRAUMATIC BRAIN INJURY","15","EXPERIENCES           "," 34"
"37","MORTALITY                  ","15","PREDICTORS            "," 34"
"38","RISK FACTORS               ","15","AGE                   "," 31"
"39","SELF-ESTEEM                ","15","DISEASE               "," 31"
"40","SOCIAL MEDIA               ","15","EXPERIENCE            "," 31"
"41","SUBARACHNOID HEMORRHAGE    ","15","ASSOCIATION           "," 30"
"42","BODY SHAME                 ","14","PATIENT               "," 30"
"43","OBJECTIFICATION            ","14","THERAPY               "," 30"
"44","PERSONALITY                ","14","ADULTS                "," 29"
"45","VEGETATIVE STATE           ","14","EEG                   "," 29"
"46","ANESTHESIA                 ","13","STRESS                "," 29"
"47","EXERCISE                   ","13","EPIDEMIOLOGY          "," 28"
"48","FEMALE COLLEGE STUDENTS    ","13","POPULATION            "," 28"
"49","INTERSECTIONALITY          ","13","SURGERY               "," 28"
"50","MINIMALLY CONSCIOUS STATE  ","13","ADOLESCENTS           "," 27"
"51","POISONING                  ","13","IDENTITY              "," 27"
"52","RACE                       ","13","INJURY                "," 26"
"53","SEX                        ","13","CARE                  "," 25"
"54","SEXUALITY                  ","13","SELF                  "," 25"
"55","BODY SURVEILLANCE          ","12","ANESTHESIA            "," 24"
"56","DIAGNOSIS                  ","12","ATTENTION             "," 24"
"57","EDUCATION                  ","12","COMA                  "," 24"
"58","ENVIRONMENTAL CONSCIOUSNESS","12","EPILEPSY              "," 24"
"59","HYPERTENSION               ","12","ESTEEM                "," 24"
"60","LOSS OF CONSCIOUSNESS      ","12","DISCRIMINATION        "," 23"
"61","MENTAL HEALTH              ","12","EDUCATION             "," 23"
"62","SOCIAL ANXIETY             ","12","MEDIA                 "," 23"
"63","TRAUMA                     ","12","MEN                   "," 23"
"64","YOUTH                      ","12","PRIVATE               "," 23"
"65","ATTENTION                  ","11","QUALITY-OF-LIFE       "," 23"
"66","CEREBRAL INFARCTION        ","11","RACE                  "," 23"
