"","Sources       ","Articles"
"1","CUREUS JOURNAL OF MEDICAL SCIENCE                                                                             ","35"
"2","MEDICINE                                                                                                      ","29"
"3","NEUROLOGIA MEDICO-CHIRURGICA                                                                                  ","28"
"4","SEX ROLES                                                                                                     ","26"
"5","NEUROLOGICAL SURGERY                                                                                          ","24"
"6","PLOS ONE                                                                                                      ","18"
"7","JOURNAL OF NEUROSCIENCE                                                                                       ","17"
"8","PSYCHOLOGY OF WOMEN QUARTERLY                                                                                 ","17"
"9","JOURNAL OF YOUTH AND ADOLESCENCE                                                                              ","16"
"10","PEDIATRIC NEUROLOGY                                                                                           ","15"
"11","BRAIN INJURY                                                                                                  ","14"
"12","FRONTIERS IN NEUROLOGY                                                                                        ","14"
"13","PROCEEDINGS OF 2017 INTERNATIONAL SYMPOSIUM - FEMALE SURVIVAL AND DEVELOPMENT                                 ","14"
"14","CONSCIOUSNESS AND COGNITION                                                                                   ","13"
"15","FRONTIERS IN PSYCHOLOGY                                                                                       ","13"
"16","PROCEEDINGS OF 2013 INTERNATIONAL SYMPOSIUM - WOMEN'S SURVIVAL AND DEVELOPMENT IN CURRENT CULTURAL ENVIRONMENT","13"
"17","WOMENS STUDIES INTERNATIONAL FORUM                                                                            ","13"
"18","PROCEEDINGS OF 2016 INTERNATIONAL SYMPOSIUM - FEMALE SURVIVAL AND DEVELOPMENT                                 ","12"
"19","SCIENTIFIC REPORTS                                                                                            ","12"
"20","BMC NEUROLOGY                                                                                                 ","11"
"21","BODY IMAGE                                                                                                    ","11"
"22","JOURNAL OF CLINICAL NEUROSCIENCE                                                                              ","11"
"23","PERSONALITY AND INDIVIDUAL DIFFERENCES                                                                        ","11"
"24","DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY                                                                    ","10"
"25","FROM ANGEL TO OFFICE WORKER: MIDDLE-CLASS IDENTITY AND FEMALE CONSCIOUSNESS IN MEXICO 1890-1950               ","10"
"26","SUSTAINABILITY                                                                                                ","10"
"27","EPILEPSY & BEHAVIOR                                                                                           "," 9"
"28","FILM AND FEMALE CONSCIOUSNESS: IRIGARAY CINEMA AND THINKING WOMEN                                             "," 9"
"29","FOREIGN LITERATURE STUDIES                                                                                    "," 9"
"30","JAPANESE JOURNAL OF PSYCHOLOGY                                                                                "," 9"
"31","JOURNAL OF ADOLESCENT RESEARCH                                                                                "," 9"
"32","PROCEEDINGS OF 2014 INTERNATIONAL SYMPOSIUM - FEMALE SURVIVAL AND DEVELOPMENT                                 "," 9"
"33","REVISTA DE NEUROLOGIA                                                                                         "," 9"
"34","REVISTA MEDICA DE CHILE                                                                                       "," 9"
"35","ANESTHESIOLOGY                                                                                                "," 8"
"36","ANNALS OF MEDICINE AND SURGERY                                                                                "," 8"
"37","CLINICAL NEUROLOGY AND NEUROSURGERY                                                                           "," 8"
"38","INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH                                             "," 8"
"39","PEDIATRIC EMERGENCY CARE                                                                                      "," 8"
"40","PROCEEDINGS OF 2015 INTERNATIONAL SYMPOSIUM - FEMALE SURVIVAL AND DEVELOPMENT                                 "," 8"
"41","ACTA NEUROCHIRURGICA                                                                                          "," 7"
"42","BRITISH JOURNAL OF ANAESTHESIA                                                                                "," 7"
"43","CLINICAL TOXICOLOGY                                                                                           "," 7"
"44","INTERDISCIPLINARY NEUROSURGERY-ADVANCED TECHNIQUES AND CASE MANAGEMENT                                        "," 7"
"45","INTERNATIONAL JOURNAL OF CONSUMER STUDIES                                                                     "," 7"
"46","JOURNAL OF HEAD TRAUMA REHABILITATION                                                                         "," 7"
"47","JOURNAL OF MEDICAL CASE REPORTS                                                                               "," 7"
"48","NEUROLOGICAL SCIENCES                                                                                         "," 7"
"49","NEUROLOGY                                                                                                     "," 7"
"50","PROCEEDINGS OF 2011 INTERNATIONAL SYMPOSIUM - THE FEMALE SURVIVAL AND DEVELOPMENT                             "," 7"
"51","AMERICAN JOURNAL OF EMERGENCY MEDICINE                                                                        "," 6"
"52","BMJ CASE REPORTS                                                                                              "," 6"
"53","CURRENT PSYCHOLOGY                                                                                            "," 6"
"54","EPILEPSIA                                                                                                     "," 6"
"55","NEUROCRITICAL CARE                                                                                            "," 6"
"56","NEUROQUANTOLOGY                                                                                               "," 6"
"57","NEUROSCIENCES                                                                                                 "," 6"
"58","PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN                                                                    "," 6"
"59","PSYCHOLOGICAL REPORTS                                                                                         "," 6"
"60","SOCIAL BEHAVIOR AND PERSONALITY                                                                               "," 6"
"61","WORLD JOURNAL OF CLINICAL CASES                                                                               "," 6"
"62","WORLD NEUROSURGERY                                                                                            "," 6"
"63","ACTA ANAESTHESIOLOGICA SCANDINAVICA                                                                           "," 5"
"64","APPETITE                                                                                                      "," 5"
"65","ASIAN JOURNAL OF WOMENS STUDIES                                                                               "," 5"
"66","BMC INFECTIOUS DISEASES                                                                                       "," 5"
"67","CLINICAL CASE REPORTS                                                                                         "," 5"
"68","EUROPEAN JOURNAL OF NEUROLOGY                                                                                 "," 5"
"69","FEMINIST MEDIA STUDIES                                                                                        "," 5"
"70","GENDER AND EDUCATION                                                                                          "," 5"
"71","HUMAN & EXPERIMENTAL TOXICOLOGY                                                                               "," 5"
"72","INDO AMERICAN JOURNAL OF PHARMACEUTICAL SCIENCES                                                              "," 5"
"73","INTERNATIONAL JOURNAL OF SURGERY CASE REPORTS                                                                 "," 5"
"74","JOURNAL OF ADOLESCENCE                                                                                        "," 5"
"75","JOURNAL OF CLINICAL AND DIAGNOSTIC RESEARCH                                                                   "," 5"
"76","JOURNAL OF FASHION MARKETING AND MANAGEMENT                                                                   "," 5"
"77","JOURNAL OF INTERNATIONAL MEDICAL RESEARCH                                                                     "," 5"
"78","JOURNAL OF NEUROLOGY                                                                                          "," 5"
"79","JOURNAL OF NEUROTRAUMA                                                                                        "," 5"
"80","JOURNAL OF PSYCHOLOGY IN AFRICA                                                                               "," 5"
"81","JOURNAL OF SEXUAL MEDICINE                                                                                    "," 5"
"82","JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY                                                                     "," 5"
"83","JOURNAL OF STROKE & CEREBROVASCULAR DISEASES                                                                  "," 5"
"84","JOURNAL OF THE NEUROLOGICAL SCIENCES                                                                          "," 5"
"85","PEDIATRIC NEUROSURGERY                                                                                        "," 5"
"86","TURKISH NEUROSURGERY                                                                                          "," 5"
"87","WOMENS HISTORY REVIEW                                                                                         "," 5"
"88","ANAESTHESIST                                                                                                  "," 4"
"89","ANESTHESIA AND ANALGESIA                                                                                      "," 4"
"90","ARCHIVES OF SEXUAL BEHAVIOR                                                                                   "," 4"
"91","BRAIN & DEVELOPMENT                                                                                           "," 4"
"92","BRAIN SCIENCES                                                                                                "," 4"
"93","BRITISH JOURNAL OF CLINICAL PSYCHOLOGY                                                                        "," 4"
"94","CANADIAN JOURNAL OF ANAESTHESIA-JOURNAL CANADIEN D ANESTHESIE                                                 "," 4"
"95","CHILD DEVELOPMENT                                                                                             "," 4"
"96","CLINICAL JOURNAL OF SPORT MEDICINE                                                                            "," 4"
"97","COMPUTERS IN HUMAN BEHAVIOR                                                                                   "," 4"
"98","CRITIQUE-STUDIES IN CONTEMPORARY FICTION                                                                      "," 4"
"99","CULTURAL DIVERSITY & ETHNIC MINORITY PSYCHOLOGY                                                               "," 4"
"100","EAST AFRICAN MEDICAL JOURNAL                                                                                  "," 4"
