"","Country     ","Total Citations","Average Article Citations"
"1","USA            ","17428","30.205"
"2","AUSTRALIA      "," 2530","38.923"
"3","CANADA         "," 2510","23.028"
"4","CHINA          "," 2366"," 5.828"
"5","UNITED KINGDOM "," 1965","16.513"
"6","NETHERLANDS    "," 1805","50.139"
"7","JAPAN          "," 1700"," 8.374"
"8","ITALY          "," 1435","16.882"
"9","SPAIN          "," 1410","29.375"
"10","GERMANY        "," 1314","14.283"
"11","TURKEY         ","  802"," 8.020"
"12","KOREA          ","  678"," 9.686"
"13","BELGIUM        ","  656","41.000"
"14","SWITZERLAND    ","  503","31.438"
"15","FRANCE         ","  438","11.231"
"16","NORWAY         ","  341","34.100"
"17","SWEDEN         ","  319","18.765"
"18","DENMARK        ","  314","28.545"
"19","IRELAND        ","  270","27.000"
"20","SINGAPORE      ","  237","23.700"
"21","INDIA          ","  232"," 3.625"
"22","IRAN           ","  230"," 4.423"
"23","AUSTRIA        ","  195","13.929"
"24","ISRAEL         ","  174","12.429"
"25","SAUDI ARABIA   ","  155"," 4.697"
"26","FINLAND        ","  148","18.500"
"27","SOUTH AFRICA   ","  133"," 6.333"
"28","NEW ZEALAND    ","  127","18.143"
"29","PORTUGAL       ","  111"," 6.529"
"30","PAKISTAN       ","   88"," 3.520"
"31","BRAZIL         ","   72"," 2.400"
"32","POLAND         ","   69"," 3.450"
"33","RUSSIA         ","   69"," 1.568"
"34","EGYPT          ","   68"," 7.556"
"35","HONG KONG      ","   66","33.000"
"36","THAILAND       ","   65","13.000"
"37","ETHIOPIA       ","   46","11.500"
"38","CHILE          ","   44"," 3.385"
"39","SLOVENIA       ","   39"," 7.800"
"40","TANZANIA       ","   36","18.000"
"41","ICELAND        ","   31","10.333"
"42","CROATIA        ","   26"," 2.364"
"43","MEXICO         ","   26"," 2.889"
"44","GREECE         ","   25"," 2.500"
"45","MALAYSIA       ","   23"," 2.556"
"46","SRI LANKA      ","   23"," 7.667"
"47","SERBIA         ","   21"," 3.000"
"48","CZECH REPUBLIC ","   20"," 4.000"
"49","LITHUANIA      ","   18"," 3.000"
"50","ROMANIA        ","   18"," 3.000"
"51","CYPRUS         ","   17"," 5.667"
"52","HUNGARY        ","   17"," 2.429"
"53","NIGERIA        ","   17"," 1.545"
"54","QATAR          ","   16"," 8.000"
"55","BURKINA FASO   ","   15"," 7.500"
"56","GHANA          ","   15"," 2.500"
"57","NEPAL          ","   15"," 2.143"
"58","INDONESIA      ","   10"," 0.526"
"59","AZERBAIJAN     ","    9"," 3.000"
"60","BANGLADESH     ","    9"," 2.250"
"61","BOTSWANA       ","    7"," 7.000"
"62","OMAN           ","    7"," 3.500"
"63","UGANDA         ","    7"," 7.000"
"64","LEBANON        ","    6"," 2.000"
"65","GAMBIA         ","    4"," 4.000"
"66","MALAWI         ","    4"," 4.000"
"67","PERU           ","    4"," 2.000"
"68","SLOVAKIA       ","    4"," 1.000"
"69","KENYA          ","    3"," 1.000"
"70","MOROCCO        ","    3"," 3.000"
"71","SYRIA          ","    3"," 1.500"
"72","BAHRAIN        ","    2"," 2.000"
"73","MONTENEGRO     ","    2"," 2.000"
"74","RWANDA         ","    2"," 2.000"
"75","SOMALIA        ","    2"," 2.000"
"76","U ARAB EMIRATES","    2"," 1.000"
"77","UKRAINE        ","    2"," 0.286"
"78","ARGENTINA      ","    1"," 0.250"
"79","ARMENIA        ","    1"," 0.500"
"80","BENIN          ","    1"," 1.000"
"81","BOSNIA         ","    1"," 0.333"
"82","ESTONIA        ","    1"," 0.500"
"83","JORDAN         ","    1"," 0.333"
"84","PHILIPPINES    ","    1"," 0.250"
"85","TUNISIA        ","    1"," 0.333"
"86","VIETNAM        ","    1"," 1.000"
"87","BULGARIA       ","    0"," 0.000"
"88","CAMEROON       ","    0"," 0.000"
"89","COLOMBIA       ","    0"," 0.000"
"90","JAMAICA        ","    0"," 0.000"
"91","KAZAKHSTAN     ","    0"," 0.000"
"92","MACEDONIA      ","    0"," 0.000"
"93","SUDAN          ","    0"," 0.000"
"94","URUGUAY        ","    0"," 0.000"
"95","VENEZUELA      ","    0"," 0.000"
