"Year","Articles","MeanTCperArt","MeanTCperYear"
1979,1,0,0
1980,0,0,0
1981,0,0,0
1982,2,100.5,2.39285714285714
1983,1,1,0.024390243902439
1984,3,5.66666666666667,0.141666666666667
1985,0,0,0
1986,2,0,0
1987,1,0,0
1988,0,0,0
1989,0,0,0
1990,5,6.8,0.2
1991,13,56,1.6969696969697
1992,22,23.5,0.734375
1993,14,15.6428571428571,0.504608294930876
1994,17,37,1.23333333333333
1995,24,22.375,0.771551724137931
1996,29,64.0689655172414,2.28817733990148
1997,28,35.25,1.30555555555556
1998,30,31.0333333333333,1.19358974358974
1999,26,31.1153846153846,1.24461538461538
2000,47,39.0425531914894,1.62677304964539
2001,41,30.1951219512195,1.31283138918346
2002,22,68.2727272727273,3.10330578512397
2003,36,39.4166666666667,1.87698412698413
2004,40,49.25,2.4625
2005,36,31.3333333333333,1.64912280701754
2006,36,57.6944444444444,3.20524691358025
2007,47,26.3191489361702,1.54818523153942
2008,58,24.4655172413793,1.52909482758621
2009,72,20.1666666666667,1.34444444444444
2010,66,25.2121212121212,1.8008658008658
2011,97,15.6288659793814,1.20222045995242
2012,97,21.7319587628866,1.81099656357388
2013,100,18.66,1.69636363636364
2014,104,14.7115384615385,1.47115384615385
2015,119,14.8319327731092,1.64799253034547
2016,109,13.1284403669725,1.64105504587156
2017,138,11.8188405797101,1.68840579710145
2018,138,13.8405797101449,2.30676328502415
2019,185,8.67027027027027,1.73405405405405
2020,232,7.42672413793103,1.85668103448276
2021,230,5.2,1.73333333333333
2022,250,2.304,1.152
2023,260,0.830769230769231,0.830769230769231
