"","TC_rank","Country","TC","AvgArtCit","Articles","SCP","MCP","MCP_Ratio"
"1",6,"NETHERLANDS    ",1805,50.139,36,21,15,0.4167
"2",13,"BELGIUM        ",656,41,16,11,5,0.3125
"3",2,"AUSTRALIA      ",2530,38.923,65,48,17,0.2615
"4",16,"NORWAY         ",341,34.1,10,6,4,0.4
"5",35,"HONG KONG      ",66,33,2,2,0,0
"6",14,"SWITZERLAND    ",503,31.438,16,8,8,0.5
"7",1,"USA            ",17428,30.205,577,532,45,0.078
"8",9,"SPAIN          ",1410,29.375,48,40,8,0.1667
"9",18,"DENMARK        ",314,28.545,11,7,4,0.3636
"10",19,"IRELAND        ",270,27,10,4,6,0.6
"11",20,"SINGAPORE      ",237,23.7,10,9,1,0.1
"12",3,"CANADA         ",2510,23.028,109,95,14,0.1284
"13",17,"SWEDEN         ",319,18.765,17,13,4,0.2353
"14",26,"FINLAND        ",148,18.5,8,7,1,0.125
"15",28,"NEW ZEALAND    ",127,18.143,7,5,2,0.2857
"16",40,"TANZANIA       ",36,18,2,1,1,0.5
"17",8,"ITALY          ",1435,16.882,85,65,20,0.2353
"18",5,"UNITED KINGDOM ",1965,16.513,119,97,22,0.1849
"19",10,"GERMANY        ",1314,14.283,92,74,18,0.1957
"20",23,"AUSTRIA        ",195,13.929,14,7,7,0.5
"21",36,"THAILAND       ",65,13,5,5,0,0
"22",24,"ISRAEL         ",174,12.429,14,11,3,0.2143
"23",37,"ETHIOPIA       ",46,11.5,4,4,0,0
"24",15,"FRANCE         ",438,11.231,39,33,6,0.1538
"25",41,"ICELAND        ",31,10.333,3,2,1,0.3333
"26",12,"KOREA          ",678,9.686,70,67,3,0.0429
"27",7,"JAPAN          ",1700,8.374,203,198,5,0.0246
"28",11,"TURKEY         ",802,8.02,100,96,4,0.04
"29",54,"QATAR          ",16,8,2,1,1,0.5
"30",39,"SLOVENIA       ",39,7.8,5,5,0,0
"31",46,"SRI LANKA      ",23,7.667,3,3,0,0
"32",34,"EGYPT          ",68,7.556,9,8,1,0.1111
"33",55,"BURKINA FASO   ",15,7.5,2,2,0,0
"34",61,"BOTSWANA       ",7,7,1,0,1,1
"35",63,"UGANDA         ",7,7,1,1,0,0
"36",29,"PORTUGAL       ",111,6.529,17,13,4,0.2353
"37",27,"SOUTH AFRICA   ",133,6.333,21,17,4,0.1905
"38",4,"CHINA          ",2366,5.828,406,379,27,0.0665
"39",51,"CYPRUS         ",17,5.667,3,2,1,0.3333
