"","Paper         ","DOI","TC","TCperYear","NTC"
"1","EDELMAN M, 2014, J PEASANT STUD                                                                                    ","10.1080/03066150.2013.876998    ","190","17.2727","5.5072"
"2","FARKAS J, 2018, JAVNOST-PUBLIC                                                                                     ","10.1080/13183222.2018.1463047   ","148","21.1429","8.2222"
"3","VAN BOMMEL K, 2011, ORGAN STUD                                                                                     ","10.1177/0170840611425722        ","114"," 8.1429","1.9826"
"4","SIN C, 2016, STUD HIGH EDUC                                                                                        ","10.1080/03075079.2014.977859    "," 86"," 9.5556","4.2232"
"5","ANDREWS DL, 1996, SOCIOL SPORT J                                                                                   ","10.1123/ssj.13.2.125            "," 81"," 2.7931","1.0000"
"6","TUTERS M, 2020, NEW MEDIA SOC                                                                                      ","10.1177/1461444819888746        "," 66","13.2000","4.9346"
"7","MUMBY DK, 2016, ORGANIZATION                                                                                       ","10.1177/1350508416631164        "," 66"," 7.3333","3.2411"
"8","RIACH K, 2015, HUM RELAT                                                                                           ","10.1177/0018726714545387        "," 54"," 5.4000","3.5660"
"9","CRESPY A, 2019, COMP EUR POLIT                                                                                     ","10.1057/s41295-017-0111-0       "," 51"," 8.5000","6.9545"
"10","HANSSON AG, 2019, HOUS THEORY SOC                                                                                  ","10.1080/14036096.2018.1459826   "," 35"," 5.8333","4.7727"
"11","DEY P, 2016, ORGAN STUD                                                                                            ","10.1177/0170840616634133        "," 34"," 3.7778","1.6696"
"12","NISKANEN J, 2020, J CLEAN PROD                                                                                     ","10.1016/j.jclepro.2020.121117   "," 28"," 5.6000","2.0935"
"13","HERKMAN J, 2017, CULT STUD                                                                                         ","10.1080/09502386.2016.1232421   "," 26"," 3.2500","2.2414"
"14","HOFFERBERTH M, 2015, MILLENNIUM-J INT ST                                                                           ","10.1177/0305829814561539        "," 25"," 2.5000","1.6509"
"15","ISOAHO K, 2019, POLITICS GOV                                                                                       ","10.17645/pag.v7i1.1731          "," 24"," 4.0000","3.2727"
"16","CSERNATONI R, 2022, EUR SECUR                                                                                      ","10.1080/09662839.2022.2103370   "," 21"," 7.0000","4.7935"
"17","KREJSLER JB, 2013, SCAND J EDUC RES                                                                                ","10.1080/00313831.2011.621141    "," 19"," 1.5833","2.9688"
"18","MARTIN A, 2021, LAND USE POLICY                                                                                    ","10.1016/j.landusepol.2021.105677"," 19"," 4.7500","4.4568"
"19","BISHOP K, 2018, GENDER SOC                                                                                         ","10.1177/0891243218756010        "," 18"," 2.5714","1.0000"
"20","NYGREN KG, 2018, SOC INCL                                                                                          ","10.17645/si.v6i4.1799           "," 16"," 2.2857","0.8889"
"21","LEISSLE K, 2017, FOOD CULT SOC                                                                                     ","10.1080/15528014.2016.1272201   "," 15"," 1.8750","1.2931"
"22","KLAPEER CM, 2018, IDENTITIES-GLOB STUD                                                                             ","10.1080/1070289X.2018.1507958   "," 15"," 2.1429","0.8333"
"23","JONES SS, 2016, MANAGE LEARN                                                                                       ","10.1177/1350507616631926        "," 15"," 1.6667","0.7366"
"24","MACKILLOP E, 2018, CRIT POLICY STUD                                                                                ","10.1080/19460171.2016.1236740   "," 14"," 2.0000","0.7778"
"25","SCHULTZ WJ, 2021, CRIM JUSTICE BEHAV                                                                               ","10.1177/0093854820969749        "," 14"," 3.5000","3.2840"
"26","BRONSON K, 2019, J RURAL STUD                                                                                      ","10.1016/j.jrurstud.2019.01.003  "," 13"," 2.1667","1.7727"
"27","DECOOK JR, 2022, POLICY INTERNET                                                                                   ","10.1002/poi3.290                "," 13"," 4.3333","2.9674"
"28","MERLÍN-ESCORZA CE, 2021, THIRD WORLD Q                                                                             ","10.1080/01436597.2020.1794806   "," 12"," 3.0000","2.8148"
"29","THURLOW C, 2021, LANG SOC                                                                                          ","10.1017/S0047404519001015       "," 11"," 2.7500","2.5802"
"30","JENSEN SQ, 2022, CRIME MEDIA CULT                                                                                  ","10.1177/17416590211025573       "," 11"," 3.6667","2.5109"
"31","KIM MJ, 2023, COMP EDUC                                                                                            ","10.1080/03050068.2022.2147633   "," 10"," 5.0000","6.6667"
"32","ROBERTS AF, 2008, MATER RELIG                                                                                      ","10.2752/175183408X288113        ","  9"," 0.5294","1.4211"
"33","GRDESIC M, 2016, COMP STUD SOC HIST                                                                                ","10.1017/S0010417516000359       ","  9"," 1.0000","0.4420"
"34","GRIGGS S, 2017, POLIT GEOGR                                                                                        ","10.1016/j.polgeo.2017.02.007    ","  9"," 1.1250","0.7759"
"35","LARSEN SE, 2014, J ETHN MIGR STUD                                                                                  ","10.1080/1369183X.2013.851471    ","  9"," 0.8182","0.2609"
"36","SAWCHUK P, 2008, ASIA PAC EDUC REV                                                                                 ","10.1007/BF03025825              ","  9"," 0.5294","1.4211"
"37","KÖGL I, 2013, ROUTL ADV EUR POLIT                                                                                  ","NA                              ","  9"," 0.7500","1.4062"
"38","TESFAYE LA, 2022, J BUS ETHICS                                                                                     ","10.1007/s10551-021-04883-4      ","  8"," 2.6667","1.8261"
"39","MACKILLOP E, 2018, ORGANIZATION                                                                                    ","10.1177/1350508417733137        ","  8"," 1.1429","0.4444"
"40","LOWE J, 2015, ASIAN PAC MIGR J                                                                                     ","10.1177/0117196815579955        ","  8"," 0.8000","0.5283"
"41","ELEVELD A, 2016, POLIT STUD-LONDON                                                                                 ","10.1111/1467-9248.12207         ","  8"," 0.8889","0.3929"
"42","BROWN MEL, 2022, TEACH LEARN MED                                                                                   ","10.1080/10401334.2021.1897598   ","  8"," 2.6667","1.8261"
"43","RÖDL MB, 2022, J CLEAN PROD                                                                                        ","10.1016/j.jclepro.2022.132144   ","  7"," 2.3333","1.5978"
"44","MAGALHAES A, 2015, THEOR METH HIGH EDUC                                                                            ","10.1108/S2056-375220150000001015","  7"," 0.7000","0.4623"
"45","PECHMANN P, 2022, SCAND J EDUC RES                                                                                 ","10.1080/00313831.2020.1869081   ","  7"," 2.3333","1.5978"
"46","LINDELL J, 2014, SOCIOL RES ONLINE                                                                                 ","10.5153/sro.3418                ","  7"," 0.6364","0.2029"
"47","BLANC A, 2019, IND MARKET MANAG                                                                                    ","10.1016/j.indmarman.2018.06.004 ","  6"," 1.0000","0.8182"
"48","NYÍRI P, 2017, DEV CHANGE                                                                                          ","10.1111/dech.12312              ","  6"," 0.7500","0.5172"
"49","DUDEK D, 2006, ARIEL-REV INT ENGL                                                                                  ","NA                              ","  6"," 0.3158","1.0000"
"50","NEUMANN IB, 2004, CULT RELIG INT RELAT                                                                             ","NA                              ","  6"," 0.2857","2.0000"
"51","COLLEONI E, 2021, J ASSOC CONSUM RES                                                                               ","10.1086/716067                  ","  5"," 1.2500","1.1728"
"52","LIPPENS R, 1998, CRIME LAW SOCIAL CH                                                                               ","10.1023/A:1008200218895         ","  5"," 0.1852","1.0000"
"53","IVKOVIC D, 2015, SEMIOTICA                                                                                         ","10.1515/sem-2015-0051           ","  5"," 0.5000","0.3302"
"54","FORS P, 2021, REV SOCIONETWORK STR                                                                                 ","10.1007/s12626-021-00070-z      ","  5"," 1.2500","1.1728"
"55","COLE R, 2018, POP MUSIC                                                                                            ","10.1017/S0261143018000247       ","  5"," 0.7143","0.2778"
"56","WILLIS P, 2010, ETHNOGRAPHY                                                                                        ","10.1177/1466138109347008        ","  5"," 0.3333","1.8750"
"57","CARTER D, 2019, CRIT POLICY STUD                                                                                   ","10.1080/19460171.2018.1437460   ","  5"," 0.8333","0.6818"
"58","VAN GORP B, 2021, VISUAL STUD                                                                                      ","10.1080/1472586X.2021.1915703   ","  4"," 1.0000","0.9383"
