"","Authors       ","Articles","Authors       ","Articles Fractionalized"
"1","DUDEK D          ","2","DUDEK D           ","2.000"
"2","FARKAS J         ","2","MACKILLOP E       ","2.000"
"3","GHEYTASI S       ","2","FARKAS J          ","1.500"
"4","MACKILLOP E      ","2","ALSOOS I          ","1.000"
"5","SCHULTZ WJ       ","2","ANDREWS DL        ","1.000"
"6","ALASUUTARI P     ","1","ANISIN A          ","1.000"
"7","ALBARRAN-TORRES C","1","BARAN D           ","1.000"
"8","ALSOOS I         ","1","BUCH E            ","1.000"
"9","ALVELOS H        ","1","BURGOS RB         ","1.000"
"10","ANDREWS DL       ","1","BYRNE J           ","1.000"
"11","ANISIN A         ","1","CALL L            ","1.000"
"12","ANSHELM J        ","1","CASADO JAR        ","1.000"
"13","BARAN D          ","1","CLOAREC N         ","1.000"
"14","BASIC G          ","1","COLE R            ","1.000"
"15","BENGTSSON T      ","1","CONRADIE MS       ","1.000"
"16","BERGEÅ H         ","1","CSERNATONI R      ","1.000"
"17","BERGNEHR D       ","1","DALE A            ","1.000"
"18","BISHOP K         ","1","DAMGAARD CS       ","1.000"
"19","BLANC A          ","1","DANG QA           ","1.000"
"20","BOHM S           ","1","DANIELS G         ","1.000"
"21","BRONFEN E        ","1","DE OLIVEIRA EJ    ","1.000"
"22","BRONSON K        ","1","DUTTON J          ","1.000"
"23","BROWN MEL        ","1","EDELMAN M         ","1.000"
"24","BUCERIUS SM      ","1","ELEVELD A         ","1.000"
"25","BUCH E           ","1","EMERSON C         ","1.000"
"26","BURGOS RB        ","1","ENSEL R           ","1.000"
"27","BURNS SL         ","1","FOSTER MD         ","1.000"
"28","BYRNE J          ","1","GARCIA-MARTIN L   ","1.000"
"29","CALL L           ","1","GECZY A           ","1.000"
"30","CAO L            ","1","GRADINARU C       ","1.000"
"31","CARTER D         ","1","GRDESIC M         ","1.000"
"32","CASADO JAR       ","1","HEIM J            ","1.000"
"33","CASHIN A         ","1","HENNELLY MM       ","1.000"
"34","CEGINSKAS VLA    ","1","HERKMAN J         ","1.000"
"35","CHANDIR H        ","1","HEWER RMF         ","1.000"
"36","CHESHER C        ","1","HJORT K           ","1.000"
"37","CLEMENT C        ","1","HOFFERBERTH M     ","1.000"
"38","CLOAREC N        ","1","HOOGLAND RC       ","1.000"
"39","COFFEY S         ","1","IVKOVIC D         ","1.000"
"40","COLE R           ","1","KAJSIU B          ","1.000"
"41","COLLEONI E       ","1","KENNEDY L         ","1.000"
"42","CONRADIE MS      ","1","KIM MJ            ","1.000"
"43","CORDELIER B      ","1","KREJSLER JB       ","1.000"
"44","COTTER K         ","1","KUHLING CL        ","1.000"
"45","CRESPY A         ","1","LABOTKA L         ","1.000"
"46","CSERNATONI R     ","1","LACBAWAN MB       ","1.000"
"47","CUSTERS B        ","1","LAEHDESMAEKI T    ","1.000"
"48","DA SILVA FC      ","1","LARSEN SE         ","1.000"
"49","DALE A           ","1","LEISSLE K         ","1.000"
"50","DAMGAARD CS      ","1","LINDELL J         ","1.000"
"51","DANG QA          ","1","LINDEN FR         ","1.000"
"52","DANIELS G        ","1","LIPPENS R         ","1.000"
"53","DAVIDS T         ","1","MACK AN           ","1.000"
"54","DAVIS RC         ","1","MARTELLI JT       ","1.000"
"55","DE OLIVEIRA EJ   ","1","MAURO S           ","1.000"
"56","DECOOK JR        ","1","METRICK-CHEN L    ","1.000"
"57","DESSEWFFY T      ","1","MINAHEN CD        ","1.000"
"58","DEY P            ","1","MIRSKY J          ","1.000"
"59","DIKEN B          ","1","MONSEES L         ","1.000"
"60","DOMINGUES A      ","1","MORAÑA M          ","1.000"
"61","DUTTON J         ","1","MUMBY DK          ","1.000"
"62","EDELMAN M        ","1","MZIA JK           ","1.000"
"63","ELEVELD A        ","1","MÄNNIG M          ","1.000"
"64","EMERSON C        ","1","MÜLLER F          ","1.000"
"65","ENSEL R          ","1","NEUMANN IB        ","1.000"
"66","EVANS M          ","1","NITZGEN D         ","1.000"
"67","FERRER LP        ","1","OSTERWALDER H     ","1.000"
"68","FETZER T         ","1","PANDEY A          ","1.000"
"69","FINN GM          ","1","PANOTTO N         ","1.000"
"70","FISCHER A        ","1","PERTIERRA R       ","1.000"
"71","FORS P           ","1","PUUKKO O          ","1.000"
"72","FOSTER MD        ","1","RANKER J          ","1.000"
"73","FOUGÈRE M        ","1","REYES MLT         ","1.000"
"74","FOX B            ","1","REZNIK AV         ","1.000"
"75","FOYLE K          ","1","RODRÍGUEZ CJF     ","1.000"
"76","GARCIA-MARTIN L  ","1","ROUDOMETOF V      ","1.000"
"77","GECZY A          ","1","SAGER V           ","1.000"
"78","GHAILL MM        ","1","SANCHES D         ","1.000"
"79","GHANBARI S       ","1","SANTAMARÍA E      ","1.000"
"80","GILGRIST J       ","1","SARVAN C          ","1.000"
"81","GRADINARU C      ","1","SAWCHUK P         ","1.000"
"82","GRANCAYOVÁ M     ","1","SCIAMARELLE D     ","1.000"
"83","GRDESIC M        ","1","SLETHAUG GE       ","1.000"
"84","GRIGGS S         ","1","SUNDMARK B        ","1.000"
"85","GRINT K          ","1","THURLOW C         ","1.000"
"86","GRUBISIC AB      ","1","TOSIC J           ","1.000"
"87","GRUYS K          ","1","VAN GORP B        ","1.000"
"88","HAASE S          ","1","VARGAS-IGLESIAS JJ","1.000"
"89","HAGEN S          ","1","VELTHEIM EA       ","1.000"
