"","Country","Articles","Freq","SCP","MCP","MCP_Ratio"
"1","USA           ","25","0.16447","25","0","0.000"
"2","UNITED KINGDOM","18","0.11842","15","3","0.167"
"3","SWEDEN        ","11","0.07237"," 7","4","0.364"
"4","CANADA        "," 9","0.05921"," 9","0","0.000"
"5","AUSTRALIA     "," 8","0.05263"," 6","2","0.250"
"6","FINLAND       "," 7","0.04605"," 7","0","0.000"
"7","DENMARK       "," 6","0.03947"," 5","1","0.167"
"8","NETHERLANDS   "," 6","0.03947"," 5","1","0.167"
"9","CHINA         "," 5","0.03289"," 4","1","0.200"
"10","GERMANY       "," 5","0.03289"," 4","1","0.200"
"11","PORTUGAL      "," 5","0.03289"," 4","1","0.200"
"12","SWITZERLAND   "," 5","0.03289"," 4","1","0.200"
"13","ARGENTINA     "," 4","0.02632"," 2","2","0.500"
"14","BELGIUM       "," 4","0.02632"," 4","0","0.000"
"15","SPAIN         "," 4","0.02632"," 4","0","0.000"
"16","FRANCE        "," 3","0.01974"," 3","0","0.000"
"17","IRELAND       "," 3","0.01974"," 3","0","0.000"
"18","CZECH REPUBLIC"," 2","0.01316"," 2","0","0.000"
"19","HUNGARY       "," 2","0.01316"," 1","1","0.500"
"20","IRAN          "," 2","0.01316"," 1","1","0.500"
"21","PHILIPPINES   "," 2","0.01316"," 2","0","0.000"
"22","RUSSIA        "," 2","0.01316"," 2","0","0.000"
"23","SOUTH AFRICA  "," 2","0.01316"," 2","0","0.000"
"24","AUSTRIA       "," 1","0.00658"," 0","1","1.000"
"25","BAHRAIN       "," 1","0.00658"," 1","0","0.000"
"26","BRAZIL        "," 1","0.00658"," 1","0","0.000"
"27","CHILE         "," 1","0.00658"," 1","0","0.000"
"28","CYPRUS        "," 1","0.00658"," 1","0","0.000"
"29","INDIA         "," 1","0.00658"," 1","0","0.000"
"30","ITALY         "," 1","0.00658"," 0","1","1.000"
"31","MEXICO        "," 1","0.00658"," 1","0","0.000"
"32","ROMANIA       "," 1","0.00658"," 1","0","0.000"
"33","SERBIA        "," 1","0.00658"," 1","0","0.000"
"34","SLOVAKIA      "," 1","0.00658"," 0","1","1.000"
"35","SLOVENIA      "," 1","0.00658"," 1","0","0.000"
