"Year","Articles","MeanTCperArt","MeanTCperYear"
1987,1,2,0.0540540540540541
1988,0,0,0
1989,0,0,0
1990,0,0,0
1991,1,0,0
1992,0,0,0
1993,0,0,0
1994,0,0,0
1995,0,0,0
1996,1,81,2.89285714285714
1997,1,1,0.037037037037037
1998,1,5,0.192307692307692
1999,2,1,0.04
2000,0,0,0
2001,1,0,0
2002,0,0,0
2003,1,4,0.19047619047619
2004,3,3,0.15
2005,0,0,0
2006,1,6,0.333333333333333
2007,0,0,0
2008,3,6.33333333333333,0.395833333333333
2009,1,3,0.2
2010,3,2.66666666666667,0.19047619047619
2011,2,57.5,4.42307692307692
2012,0,0,0
2013,5,6.4,0.581818181818182
2014,6,34.5,3.45
2015,7,15.1428571428571,1.68253968253968
2016,11,20.3636363636364,2.54545454545455
2017,5,11.6,1.65714285714286
2018,13,18,3
2019,21,7.33333333333333,1.46666666666667
2020,8,13.375,3.34375
2021,19,4.26315789473684,1.42105263157895
2022,21,4.38095238095238,2.19047619047619
2023,24,1.5,1.5
