"","Year   ","Articles"
"1","1974",1
"2","1977",2
"3","1982",1
"4","1984",2
"5","1985",1
"6","1986",3
"7","1987",2
"8","1988",3
"9","1989",2
"10","1990",1
"11","1991",17
"12","1992",17
"13","1993",22
"14","1994",18
"15","1995",22
"16","1996",25
"17","1997",68
"18","1998",47
"19","1999",34
"20","2000",52
"21","2001",54
"22","2002",61
"23","2003",70
"24","2004",86
"25","2005",106
"26","2006",68
"27","2007",207
"28","2008",134
"29","2009",198
"30","2010",120
"31","2011",209
"32","2012",155
"33","2013",166
"34","2014",210
"35","2015",274
"36","2016",275
"37","2017",266
"38","2018",306
"39","2019",350
"40","2020",277
"41","2021",339
"42","2022",398
"43","2023",315
