"","Description","Results"
"1","MAIN INFORMATION ABOUT DATA",""
"2","Timespan","1974:2023"
"3","Sources (Journals, Books, etc)","2655"
"4","Documents","4984"
"5","Annual Growth Rate %","12.46"
"6","Document Average Age","10.2"
"7","Average citations per doc","13.78"
"8","Average citations per year per doc","1.295"
"9","References","125606"
"10","DOCUMENT TYPES",""
"11","article","1650"
"12","article; book chapter","1"
"13","article; data paper","1"
"14","article; early access","89"
"15","article; proceedings paper","151"
"16","article; retracted publication","1"
"17","biographical-item","1"
"18","book review","25"
"19","editorial material","59"
"20","meeting abstract","2"
"21","note","2"
"22","proceedings paper","2861"
"23","proceedings paper; retracted publication","1"
"24","review","132"
"25","review; early access","7"
"26","review; retracted publication","1"
"27","DOCUMENT CONTENTS",""
"28","Keywords Plus (ID)","3040"
"29","Author's Keywords (DE)","10655"
"30","AUTHORS",""
"31","Authors","12911"
"32","Author Appearances","16892"
"33","Authors of single-authored docs","644"
"34","AUTHORS COLLABORATION",""
"35","Single-authored docs","715"
"36","Documents per Author","0.386"
"37","Co-Authors per Doc","3.39"
"38","International co-authorships %","18.44"
"39","",""
