"","Paper         ","DOI","TC","TCperYear","NTC"
"1","PARASURAMAN R, 2000, IEEE T SYST MAN CY A                                                                                        ","10.1109/3468.844354               ","1632"," 65.28","20.30"
"2","AGGARWAL JK, 2011, ACM COMPUT SURV                                                                                               ","10.1145/1922649.1922653           ","1419","101.36","71.98"
"3","COWIE R, 2001, IEEE SIGNAL PROC MAG                                                                                              ","10.1109/79.911197                 ","1287"," 53.62","23.27"
"4","OLIVER NM, 2000, IEEE T PATTERN ANAL                                                                                             ","10.1109/34.868684                 ","1154"," 46.16","14.36"
"5","PAVLOVIC VI, 1997, IEEE T PATTERN ANAL                                                                                           ","10.1109/34.598226                 "," 910"," 32.50","34.63"
"6","RAUTARAY SS, 2015, ARTIF INTELL REV                                                                                              ","10.1007/s10462-012-9356-9         "," 850"," 85.00","76.11"
"7","KREIJNS K, 2003, COMPUT HUM BEHAV                                                                                                ","10.1016/S0747-5632(02)00057-2     "," 816"," 37.09","18.95"
"8","WEBSTER J, 1993, COMPUT HUM BEHAV                                                                                                ","10.1016/0747-5632(93)90032-N      "," 630"," 19.69","14.81"
"9","DAUTENHAHN K, 2007, PHILOS T R SOC B                                                                                             ","10.1098/rstb.2006.2004            "," 555"," 30.83","29.87"
"10","GHANI JA, 1994, J PSYCHOL                                                                                                        ","10.1080/00223980.1994.9712742     "," 532"," 17.16","10.53"
"11","POPPE R, 2007, COMPUT VIS IMAGE UND                                                                                              ","10.1016/j.cviu.2006.10.016        "," 520"," 28.89","27.99"
"12","PANTIC M, 2003, P IEEE                                                                                                           ","10.1109/JPROC.2003.817122         "," 465"," 21.14","10.80"
"13","CASPER J, 2003, IEEE T SYST MAN CY B                                                                                             ","10.1109/TSMCB.2003.811794         "," 462"," 21.00","10.73"
"14","BROWN KR, 2005, BIOINFORMATICS                                                                                                   ","10.1093/bioinformatics/bti273     "," 442"," 22.10","22.00"
"15","WALTHER JB, 1992, HUM COMMUN RES                                                                                                 ","10.1111/j.1468-2958.1992.tb00295.x"," 439"," 13.30","13.82"
