"","Authors       ","Articles","Authors       ","Articles Fractionalized"
"1","WANG Y         ","17","CARROLL JM     ","6.20"
"2","DAUTENHAHN K   ","16","NIJHOLT A      ","5.67"
"3","WANG C         ","16","LIU Y          ","5.40"
"4","NIJHOLT A      ","15","DAUTENHAHN K   ","4.82"
"5","WANG L         ","15","WANG Y         ","4.77"
"6","ZHANG Y        ","15","WANG C         ","4.46"
"7","HUANG TS       ","14","HUANG TS       ","4.32"
"8","LEE S          ","14","WANG L         ","4.15"
"9","PARK J         ","13","ZHANG Y        ","4.07"
"10","LIU Y          ","12","GRUDIN J       ","4.00"
"11","MUTLU B        ","12","LEE EJ         ","4.00"
"12","TSCHELIGI M    ","12","LONG J         ","4.00"
"13","LI Y           ","11","WATANABE T     ","4.00"
"14","SEBE N         ","11","RAPP A         ","3.78"
"15","ABOU KHALED O  ","10","MUTLU B        ","3.73"
"16","KIM J          ","10","LEE S          ","3.66"
"17","KIM JH         ","10","JACOB RJK      ","3.64"
"18","MUGELLINI E    ","10","FICARRA FVC    ","3.58"
"19","WANG Z         ","10","AGAH A         ","3.50"
"20","ZHANG X        ","10","HERCEGFI K     ","3.50"
"21","JALAL A        "," 9","SEBE N         ","3.27"
"22","KOLSKI C       "," 9","MCKAY E        ","3.25"
"23","LAMAS D        "," 9","BABER C        ","3.20"
"24","LIU J          "," 9","SHNEIDERMAN B  ","3.14"
"25","NOVAIS P       "," 9","MURPHY RR      ","3.08"
"26","WANG H         "," 9","PARK J         ","3.06"
"27","ZHANG H        "," 9","ANDRES J       ","3.05"
"28","ZHANG P        "," 9","KAINDL H       ","3.00"
"29","ANDRES J       "," 8","KRÓLAK A       ","3.00"
"30","KIM S          "," 8","SHACKEL B      ","3.00"
"31","LI C           "," 8","SHANK DB       ","3.00"
"32","LI J           "," 8","[ANONYMOUS]    ","3.00"
"33","LI X           "," 8","WANG F         ","2.98"
"34","LIU H          "," 8","KIM JH         ","2.94"
"35","LIU HH         "," 8","WANG Z         ","2.92"
"36","SURAKKA V      "," 8","LI X           ","2.89"
"37","WANG F         "," 8","ADAMS JA       ","2.83"
"38","WANG J         "," 8","LAMAS D        ","2.83"
"39","WANG K         "," 8","NOYES J        ","2.83"
"40","WANG P         "," 8","WANG XJ        ","2.83"
"41","WANG ZH        "," 8","KIM J          ","2.82"
"42","BABER C        "," 7","ORTEGA M       ","2.73"
"43","BARANAUSKAS MCC"," 7","LIU J          ","2.71"
"44","CARNEIRO D     "," 7","ZHANG P        ","2.71"
"45","CARROLL JM     "," 7","PORTA M        ","2.67"
"46","CHEN J         "," 7","REN XS         ","2.67"
"47","CLEMMENSEN T   "," 7","ROGERS Y       ","2.59"
"48","DE OLIVEIRA KM "," 7","LI J           ","2.59"
"49","FENG ZQ        "," 7","BARANAUSKAS MCC","2.58"
"50","GHADI YY       "," 7","NASS C         ","2.57"
"51","JACOB RJK      "," 7","ZHANG ZY       ","2.57"
"52","JU ZJ          "," 7","TSCHELIGI M    ","2.53"
"53","LI N           "," 7","ZHANG X        ","2.52"
"54","LI S           "," 7","ACKOVSKA N     ","2.50"
"55","MUELLER F      "," 7","ASPLING F      ","2.50"
"56","MURPHY RR      "," 7","MCFARLANE DC   ","2.50"
"57","NASS C         "," 7","PREECE J       ","2.50"
"58","OBRIST M       "," 7","ZHANG H        ","2.41"
"59","ORTEGA M       "," 7","RIGOLL G       ","2.41"
"60","SARKAR N       "," 7","NOVAIS P       ","2.40"
"61","SCHMIDT A      "," 7","NIGAY L        ","2.38"
"62","TAKEUCHI Y     "," 7","LI Y           ","2.35"
"63","WANG X         "," 7","CLAVEL C       ","2.33"
"64","WANG ZL        "," 7","PANTIC M       ","2.33"
"65","WATANABE T     "," 7","POPPE R        ","2.33"
"66","ZHANG J        "," 7","SHAFIVULLA M   ","2.33"
"67","ZHANG ZY       "," 7","STREITZ NA     ","2.33"
"68","AGAH A         "," 6","SURAKKA V      ","2.32"
"69","BARRETO A      "," 6","KOLSKI C       ","2.32"
"70","BERNS K        "," 6","ABOU KHALED O  ","2.31"
"71","CASIEZ G       "," 6","MUGELLINI E    ","2.31"
"72","CAUCHARD JR    "," 6","LI YF          ","2.29"
