"","Country","Articles","Freq","SCP","MCP","MCP_Ratio"
"1","USA            ","944","0.194760","836","108","0.1144"
"2","CHINA          ","879","0.181349","758","121","0.1377"
"3","GERMANY        ","352","0.072622","287"," 65","0.1847"
"4","UNITED KINGDOM ","312","0.064370","230"," 82","0.2628"
"5","JAPAN          ","162","0.033423","147"," 15","0.0926"
"6","KOREA          ","146","0.030122","109"," 37","0.2534"
"7","ITALY          ","144","0.029709","115"," 29","0.2014"
"8","FRANCE         ","141","0.029090","105"," 36","0.2553"
"9","INDIA          ","128","0.026408","112"," 16","0.1250"
"10","SPAIN          ","128","0.026408","104"," 24","0.1875"
"11","AUSTRALIA      ","109","0.022488"," 84"," 25","0.2294"
"12","BRAZIL         ","100","0.020631"," 84"," 16","0.1600"
"13","CANADA         "," 99","0.020425"," 81"," 18","0.1818"
"14","NETHERLANDS    "," 84","0.017330"," 59"," 25","0.2976"
"15","PORTUGAL       "," 70","0.014442"," 48"," 22","0.3143"
"16","SWITZERLAND    "," 63","0.012998"," 46"," 17","0.2698"
"17","TURKEY         "," 61","0.012585"," 54","  7","0.1148"
"18","POLAND         "," 59","0.012172"," 51","  8","0.1356"
"19","AUSTRIA        "," 57","0.011760"," 39"," 18","0.3158"
"20","GREECE         "," 56","0.011554"," 50","  6","0.1071"
"21","SWEDEN         "," 54","0.011141"," 36"," 18","0.3333"
"22","FINLAND        "," 52","0.010728"," 36"," 16","0.3077"
"23","DENMARK        "," 51","0.010522"," 35"," 16","0.3137"
"24","MALAYSIA       "," 36","0.007427"," 29","  7","0.1944"
"25","SINGAPORE      "," 31","0.006396"," 19"," 12","0.3871"
"26","IRELAND        "," 30","0.006189"," 20"," 10","0.3333"
"27","ROMANIA        "," 30","0.006189"," 29","  1","0.0333"
"28","RUSSIA         "," 29","0.005983"," 23","  6","0.2069"
"29","NORWAY         "," 28","0.005777"," 15"," 13","0.4643"
"30","MEXICO         "," 26","0.005364"," 23","  3","0.1154"
"31","SAUDI ARABIA   "," 26","0.005364"," 13"," 13","0.5000"
"32","NEW ZEALAND    "," 25","0.005158"," 18","  7","0.2800"
"33","PAKISTAN       "," 22","0.004539"," 14","  8","0.3636"
"34","ISRAEL         "," 18","0.003714"," 14","  4","0.2222"
"35","BANGLADESH     "," 17","0.003507"," 15","  2","0.1176"
"36","INDONESIA      "," 15","0.003095"," 12","  3","0.2000"
"37","SLOVENIA       "," 15","0.003095"," 13","  2","0.1333"
"38","HUNGARY        "," 14","0.002888"," 12","  2","0.1429"
"39","IRAN           "," 14","0.002888","  8","  6","0.4286"
"40","BELGIUM        "," 12","0.002476","  9","  3","0.2500"
"41","COLOMBIA       "," 12","0.002476","  7","  5","0.4167"
"42","THAILAND       "," 12","0.002476"," 10","  2","0.1667"
"43","CHILE          "," 11","0.002269","  7","  4","0.3636"
"44","JORDAN         "," 10","0.002063","  7","  3","0.3000"
"45","SOUTH AFRICA   "," 10","0.002063","  8","  2","0.2000"
"46","CZECH REPUBLIC ","  9","0.001857","  6","  3","0.3333"
"47","ESTONIA        ","  9","0.001857","  7","  2","0.2222"
"48","SLOVAKIA       ","  9","0.001857","  8","  1","0.1111"
"49","U ARAB EMIRATES","  9","0.001857","  6","  3","0.3333"
"50","CYPRUS         ","  8","0.001651","  4","  4","0.5000"
"51","ECUADOR        ","  8","0.001651","  2","  6","0.7500"
"52","CROATIA        ","  7","0.001444","  4","  3","0.4286"
"53","EGYPT          ","  7","0.001444","  5","  2","0.2857"
"54","LITHUANIA      ","  7","0.001444","  6","  1","0.1429"
"55","ARGENTINA      ","  6","0.001238","  3","  3","0.5000"
"56","TUNISIA        ","  6","0.001238","  4","  2","0.3333"
"57","ALGERIA        ","  5","0.001032","  3","  2","0.4000"
"58","MACEDONIA      ","  5","0.001032","  1","  4","0.8000"
"59","SERBIA         ","  5","0.001032","  4","  1","0.2000"
"60","VIETNAM        ","  5","0.001032","  4","  1","0.2000"
"61","KAZAKHSTAN     ","  4","0.000825","  2","  2","0.5000"
"62","LATVIA         ","  4","0.000825","  4","  0","0.0000"
"63","LUXEMBOURG     ","  4","0.000825","  3","  1","0.2500"
"64","PERU           ","  3","0.000619","  3","  0","0.0000"
"65","SRI LANKA      ","  3","0.000619","  2","  1","0.3333"
"66","BHUTAN         ","  2","0.000413","  0","  2","1.0000"
"67","BULGARIA       ","  2","0.000413","  2","  0","0.0000"
"68","COSTA RICA     ","  2","0.000413","  2","  0","0.0000"
"69","ETHIOPIA       ","  2","0.000413","  0","  2","1.0000"
"70","LEBANON        ","  2","0.000413","  1","  1","0.5000"
"71","MOROCCO        ","  2","0.000413","  1","  1","0.5000"
"72","NIGERIA        ","  2","0.000413","  1","  1","0.5000"
"73","QATAR          ","  2","0.000413","  1","  1","0.5000"
"74","UKRAINE        ","  2","0.000413","  2","  0","0.0000"
"75","BELARUS        ","  1","0.000206","  1","  0","0.0000"
"76","BOSNIA         ","  1","0.000206","  0","  1","1.0000"
"77","GEORGIA        ","  1","0.000206","  1","  0","0.0000"
"78","ICELAND        ","  1","0.000206","  1","  0","0.0000"
"79","IRAQ           ","  1","0.000206","  0","  1","1.0000"
"80","KUWAIT         ","  1","0.000206","  1","  0","0.0000"
"81","LIECHTENSTEIN  ","  1","0.000206","  0","  1","1.0000"
"82","MADAGASCAR     ","  1","0.000206","  1","  0","0.0000"
"83","OMAN           ","  1","0.000206","  1","  0","0.0000"
"84","PANAMA         ","  1","0.000206","  1","  0","0.0000"
"85","PHILIPPINES    ","  1","0.000206","  1","  0","0.0000"
"86","SYRIA          ","  1","0.000206","  1","  0","0.0000"
