"","Author Keywords (DE)     ","Articles","Keywords-Plus (ID)    ","Articles"
"1","HUMAN-COMPUTER INTERACTION      ","1195","DESIGN                    ","181"
"2","HUMAN-ROBOT INTERACTION         "," 420","RECOGNITION               ","129"
"3","HUMAN COMPUTER INTERACTION      "," 329","MODEL                     ","127"
"4","COMPUTER VISION                 "," 133","SYSTEM                    ","126"
"5","VIRTUAL REALITY                 "," 129","PERFORMANCE               ","101"
"6","INTERACTION DESIGN              "," 114","INFORMATION               "," 82"
"7","GESTURE RECOGNITION             "," 113","SYSTEMS                   "," 77"
"8","HCI                             "," 109","BEHAVIOR                  "," 74"
"9","USABILITY                       ","  99","COMMUNICATION             "," 72"
"10","ARTIFICIAL INTELLIGENCE         ","  96","INTERFACE                 "," 69"
"11","INTERACTION                     ","  94","TECHNOLOGY                "," 63"
"12","HUMAN-MACHINE INTERACTION       ","  79","TRACKING                  "," 61"
"13","HUMAN-COMPUTER INTERACTION (HCI)","  76","SPEECH                    "," 59"
"14","MACHINE LEARNING                ","  73","FRAMEWORK                 "," 53"
"15","DEEP LEARNING                   ","  69","PERCEPTION                "," 52"
"16","AFFECTIVE COMPUTING             ","  65","EXPERIENCE                "," 48"
"17","USER EXPERIENCE                 ","  65","RESPONSES                 "," 46"
"18","AUGMENTED REALITY               ","  64","USABILITY                 "," 43"
"19","HUMAN COMPUTER INTERACTION (HCI)","  59","CLASSIFICATION            "," 41"
"20","HUMAN FACTORS                   ","  57","EMOTION                   "," 41"
"21","HUMAN-COMPUTER INTERFACE        ","  55","ATTENTION                 "," 40"
"22","DESIGN                          ","  53","IMPACT                    "," 40"
"23","MULTIMODAL INTERACTION          ","  52","PEOPLE                    "," 39"
"24","HUMAN ROBOT INTERACTION         ","  46","AUTOMATION                "," 38"
"25","EYE TRACKING                    ","  45","LANGUAGE                  "," 33"
"26","HUMAN-OBJECT INTERACTION        ","  41","MODELS                    "," 33"
"27","USER INTERFACE                  ","  41","TRUST                     "," 33"
