"","Sources       ","Articles"
"1","COMPUTERS IN HUMAN BEHAVIOR                                                                                              ","79"
"2","INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION                                                                      ","72"
"3","INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES                                                                          ","66"
"4","INTERACTING WITH COMPUTERS                                                                                               ","42"
"5","IEEE ACCESS                                                                                                              ","41"
"6","APPLIED SCIENCES-BASEL                                                                                                   ","31"
"7","FRONTIERS IN PSYCHOLOGY                                                                                                  ","31"
"8","SENSORS                                                                                                                  ","29"
"9","MULTIMEDIA TOOLS AND APPLICATIONS                                                                                        ","26"
"10","ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION                                                                           ","25"
"11","INTERNATIONAL JOURNAL OF SOCIAL ROBOTICS                                                                                 ","23"
"12","HUMAN-COMPUTER INTERACTION                                                                                               ","22"
"13","HUMAN FACTORS                                                                                                            ","20"
"14","BEHAVIOUR & INFORMATION TECHNOLOGY                                                                                       ","19"
"15","HUMAN-COMPUTER INTERACTION: ADVANCED INTERACTION MODALITIES AND TECHNIQUES PT II                                         ","19"
"16","HUMAN-COMPUTER INTERACTION PT 2 PROCEEDINGS                                                                              ","17"
"17","IEEE TRANSACTIONS ON HUMAN-MACHINE SYSTEMS                                                                               ","17"
"18","ELECTRONICS                                                                                                              ","16"
"19","HUMAN-COMPUTER INTERACTION: INTERACTION TECHNIQUES AND ENVIRONMENTS PT II                                                ","16"
"20","HRI '19: 2019 14TH ACM/IEEE INTERNATIONAL CONFERENCE ON HUMAN-ROBOT INTERACTION                                          ","15"
"21","HUMAN-COMPUTER INTERACTION - INTERACT '97                                                                                ","15"
"22","CHI 2018: EXTENDED ABSTRACTS OF THE 2018 CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS                            ","14"
"23","FRONTIERS IN COMPUTER SCIENCE                                                                                            ","14"
"24","HUMAN-COMPUTER INTERACTION PT 3 PROCEEDINGS                                                                              ","13"
"25","JOURNAL ON MULTIMODAL USER INTERFACES                                                                                    ","13"
"26","COMPUTERS & ELECTRICAL ENGINEERING                                                                                       ","12"
"27","FRONTIERS IN ROBOTICS AND AI                                                                                             ","12"
"28","HUMAN-COMPUTER INTERACTION - INTERACT'01                                                                                 ","12"
"29","4TH INTERNATIONAL CONFERENCE ON INTELLIGENT HUMAN COMPUTER INTERACTION (IHCI 2012)                                       ","11"
"30","ACTES DE LA 27EME CONFERENCE FRANCOPHONE SUR L'INTERACTION HOMME-MACHINE (IHM 2015)                                      ","11"
"31","ERGONOMICS                                                                                                               ","11"
"32","HRI'12: PROCEEDINGS OF THE SEVENTH ANNUAL ACM/IEEE INTERNATIONAL CONFERENCE ON HUMAN-ROBOT INTERACTION                   ","11"
"33","IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE                                                           ","11"
"34","IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS                                                                 ","11"
"35","2005 IEEE INTERNATIONAL WORKSHOP ON ROBOT AND HUMAN INTERACTIVE COMMUNICATION (RO-MAN)                                   ","10"
"36","CHI EA '19 EXTENDED ABSTRACTS: EXTENDED ABSTRACTS OF THE 2019 CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS       ","10"
"37","COMPUTER VISION AND IMAGE UNDERSTANDING                                                                                  ","10"
"38","HUMAN-COMPUTER INTERACTION - INTERACT 2009 PT II PROCEEDINGS                                                             ","10"
"39","HUMAN-COMPUTER INTERACTION PT I                                                                                          ","10"
"40","IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY                                                           ","10"
"41","MULTIMODAL TECHNOLOGIES AND INTERACTION                                                                                  ","10"
"42","NEURAL COMPUTING & APPLICATIONS                                                                                          ","10"
"43","NEUROCOMPUTING                                                                                                           ","10"
"44","PROCEEDINGS OF THE IEEE                                                                                                  ","10"
"45","ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING                                                                           ","10"
"46","ACM COMPUTING SURVEYS                                                                                                    "," 9"
"47","CHI 2019: PROCEEDINGS OF THE 2019 CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS                                   "," 9"
"48","DESIGN OF COMPUTING SYSTEMS: SOCIAL AND ERGONOMIC CONSIDERATIONS                                                         "," 9"
"49","EXTENDED ABSTRACTS OF THE 2021 CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS (CHI'21)                             "," 9"
"50","HRI'20: COMPANION OF THE 2020 ACM/IEEE INTERNATIONAL CONFERENCE ON HUMAN-ROBOT INTERACTION                               "," 9"
"51","HUMAN-COMPUTER INTERACTION - INTERACT 2019 PT IV                                                                         "," 9"
"52","HUMAN-COMPUTER INTERACTION PT 1 PROCEEDINGS: INTERACTION DESIGN AND USABILITY                                            "," 9"
"53","HUMAN-COMPUTER INTERACTION PT II: NOVEL INTERACTION METHODS AND TECHNIQUES                                               "," 9"
"54","IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART A-SYSTEMS AND HUMANS                                               "," 9"
"55","IHM'19: PROCEEDINGS OF THE 31ST CONFERENCE ON L'INTERACTION HOMME-MACHINE                                                "," 9"
"56","IMAGE AND VISION COMPUTING                                                                                               "," 9"
"57","INTERACTION STUDIES                                                                                                      "," 9"
"58","JOURNAL OF UNIVERSAL COMPUTER SCIENCE                                                                                    "," 9"
"59","PROCEEDINGS OF THE 6TH ACM/IEEE INTERNATIONAL CONFERENCE ON HUMAN-ROBOT INTERACTIONS (HRI 2011)                          "," 9"
"60","UNIVERSAL ACCESS IN HUMAN-COMPUTER INTERACTION: AMBIENT INTERACTION PT 2 PROCEEDINGS                                     "," 9"
"61","ACM TRANSACTIONS ON HUMAN-ROBOT INTERACTION                                                                              "," 8"
"62","ARTIFICIAL INTELLIGENCE REVIEW                                                                                           "," 8"
"63","COMPUTATIONAL INTELLIGENCE AND NEUROSCIENCE                                                                              "," 8"
"64","COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE                                                                             "," 8"
"65","HUMAN-COMPUTER INTERACTION - INTERACT '99                                                                                "," 8"
"66","IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING                                                       "," 8"
"67","IEEE TRANSACTIONS ON ROBOTICS                                                                                            "," 8"
"68","IFAC PAPERSONLINE                                                                                                        "," 8"
"69","INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS                                                      "," 8"
"70","PATTERN RECOGNITION                                                                                                      "," 8"
"71","PATTERN RECOGNITION LETTERS                                                                                              "," 8"
"72","PROCEEDINGS OF THE 31ST AUSTRALIAN CONFERENCE ON HUMAN-COMPUTER-INTERACTION (OZCHI'19)                                   "," 8"
"73","PROCEEDINGS OF THE NORDICHI '16: THE 9TH NORDIC CONFERENCE ON HUMAN-COMPUTER INTERACTION - GAME CHANGING DESIGN          "," 8"
"74","PROCEEDINGS OF THE NORDICHI'14: THE 8TH NORDIC CONFERENCE ON HUMAN-COMPUTER INTERACTION: FUN FAST FOUNDATIONAL           "," 8"
"75","2023 IEEE CONFERENCE ON VIRTUAL REALITY AND 3D USER INTERFACES ABSTRACTS AND WORKSHOPS VRW                               "," 7"
"76","APPLIED ERGONOMICS                                                                                                       "," 7"
"77","COMPUTERS & EDUCATION                                                                                                    "," 7"
"78","COMPUTERS & GRAPHICS-UK                                                                                                  "," 7"
"79","HCI INTERNATIONAL 2015 - POSTERS' EXTENDED ABSTRACTS PT I                                                                "," 7"
"80","HUMAN-COMPUTER INTERACTION - INTERACT 2011 PT IV                                                                         "," 7"
"81","HUMAN-COMPUTER INTERACTION - INTERACT 2015 PT IV                                                                         "," 7"
"82","HUMAN-COMPUTER INTERACTION PT III: AMBIENT UBIQUITOUS AND INTELLIGENT INTERACTION                                        "," 7"
