"","Country     ","Total Citations","Average Article Citations"
"1","USA            ","27126","28.735"
"2","UNITED KINGDOM "," 5976","19.154"
"3","CHINA          "," 5169"," 5.881"
"4","GERMANY        "," 3862","10.972"
"5","NETHERLANDS    "," 3316","39.476"
"6","FRANCE         "," 1879","13.326"
"7","INDIA          "," 1672","13.062"
"8","IRELAND        "," 1612","53.733"
"9","SPAIN          "," 1412","11.031"
"10","ITALY          "," 1322"," 9.181"
"11","CANADA         "," 1321","13.343"
"12","KOREA          "," 1237"," 8.473"
"13","SWITZERLAND    "," 1178","18.698"
"14","AUSTRALIA      "," 1118","10.257"
"15","JAPAN          "," 1069"," 6.599"
"16","DENMARK        ","  629","12.333"
"17","POLAND         ","  629","10.661"
"18","BRAZIL         ","  597"," 5.970"
"19","FINLAND        ","  574","11.038"
"20","GREECE         ","  540"," 9.643"
"21","PORTUGAL       ","  520"," 7.429"
"22","TURKEY         ","  465"," 7.623"
"23","NEW ZEALAND    ","  455","18.200"
"24","AUSTRIA        ","  453"," 7.947"
"25","SWEDEN         ","  416"," 7.704"
"26","ROMANIA        ","  303","10.100"
"27","SINGAPORE      ","  291"," 9.387"
"28","ISRAEL         ","  251","13.944"
"29","MALAYSIA       ","  161"," 4.472"
"30","NORWAY         ","  161"," 5.750"
"31","ALGERIA        ","  151","30.200"
"32","HUNGARY        ","  141","10.071"
"33","PAKISTAN       ","  102"," 4.636"
"34","SOUTH AFRICA   ","  100","10.000"
"35","RUSSIA         ","   87"," 3.000"
"36","SAUDI ARABIA   ","   85"," 3.269"
"37","ESTONIA        ","   83"," 9.222"
"38","SLOVENIA       ","   80"," 5.333"
"39","MEXICO         ","   68"," 2.615"
"40","SLOVAKIA       ","   57"," 6.333"
"41","IRAN           ","   55"," 3.929"
"42","JORDAN         ","   55"," 5.500"
"43","BELGIUM        ","   53"," 4.417"
"44","CZECH REPUBLIC ","   51"," 5.667"
"45","CROATIA        ","   48"," 6.857"
"46","COLOMBIA       ","   42"," 3.500"
"47","LITHUANIA      ","   39"," 5.571"
"48","BHUTAN         ","   36","18.000"
"49","BANGLADESH     ","   32"," 1.882"
"50","QATAR          ","   30","15.000"
"51","IRAQ           ","   28","28.000"
"52","CHILE          ","   26"," 2.364"
"53","PHILIPPINES    ","   25","25.000"
"54","KAZAKHSTAN     ","   22"," 5.500"
"55","THAILAND       ","   19"," 1.583"
"56","INDONESIA      ","   18"," 1.200"
"57","TUNISIA        ","   16"," 2.667"
"58","CYPRUS         ","   15"," 1.875"
"59","OMAN           ","   11","11.000"
"60","EGYPT          ","   10"," 1.429"
"61","GEORGIA        ","    9"," 9.000"
"62","LATVIA         ","    9"," 2.250"
"63","SERBIA         ","    9"," 1.800"
"64","MACEDONIA      ","    8"," 1.600"
"65","ECUADOR        ","    5"," 0.625"
"66","ARGENTINA      ","    4"," 0.667"
"67","ICELAND        ","    4"," 4.000"
"68","SRI LANKA      ","    4"," 1.333"
"69","ETHIOPIA       ","    3"," 1.500"
"70","MADAGASCAR     ","    3"," 3.000"
"71","MOROCCO        ","    3"," 1.500"
"72","NIGERIA        ","    3"," 1.500"
"73","VIETNAM        ","    3"," 0.600"
"74","BOSNIA         ","    2"," 2.000"
"75","COSTA RICA     ","    2"," 1.000"
"76","LUXEMBOURG     ","    2"," 0.500"
"77","PERU           ","    2"," 0.667"
"78","UKRAINE        ","    2"," 1.000"
"79","BELARUS        ","    1"," 1.000"
"80","BULGARIA       ","    1"," 0.500"
"81","SYRIA          ","    1"," 1.000"
"82","U ARAB EMIRATES","    1"," 0.111"
"83","KUWAIT         ","    0"," 0.000"
"84","LEBANON        ","    0"," 0.000"
"85","LIECHTENSTEIN  ","    0"," 0.000"
"86","PANAMA         ","    0"," 0.000"
