"Year","Articles","MeanTCperArt","MeanTCperYear"
1974,1,15,0.3
1975,0,0,0
1976,0,0,0
1977,2,39.5,0.840425531914894
1978,0,0,0
1979,0,0,0
1980,0,0,0
1981,0,0,0
1982,1,2,0.0476190476190476
1983,0,0,0
1984,2,16.5,0.4125
1985,1,0,0
1986,3,33,0.868421052631579
1987,2,0.5,0.0135135135135135
1988,3,9.66666666666667,0.268518518518519
1989,2,8.5,0.242857142857143
1990,1,6,0.176470588235294
1991,17,35,1.06060606060606
1992,17,31.7647058823529,0.99264705882353
1993,22,42.5454545454545,1.37243401759531
1994,18,50.5,1.68333333333333
1995,22,27.7727272727273,0.957680250783699
1996,25,16.68,0.595714285714286
1997,68,26.2794117647059,0.97331154684096
1998,47,16.1063829787234,0.619476268412439
1999,34,16.6764705882353,0.667058823529412
2000,52,80.3846153846154,3.34935897435897
2001,54,55.3148148148148,2.40499194847021
2002,61,22.2786885245902,1.01266766020864
2003,70,43.0571428571429,2.05034013605442
2004,86,26.7674418604651,1.33837209302326
2005,106,20.0943396226415,1.05759682224429
2006,68,20.1029411764706,1.11683006535948
2007,207,18.5797101449275,1.09292412617221
2008,134,17.3283582089552,1.0830223880597
2009,198,8.53535353535354,0.569023569023569
2010,120,15.4,1.1
2011,209,19.7129186602871,1.51637835848362
2012,155,11.6838709677419,0.973655913978494
2013,166,11.9277108433735,1.08433734939759
2014,210,13.9571428571429,1.39571428571429
2015,274,11.1678832116788,1.24087591240876
2016,275,11.0618181818182,1.38272727272727
2017,266,12.1691729323308,1.73845327604726
2018,306,9.72875816993464,1.62145969498911
2019,350,11.2257142857143,2.24514285714286
2020,277,9.90974729241877,2.47743682310469
2021,339,7.85545722713865,2.61848574237955
2022,398,3.21356783919598,1.60678391959799
2023,315,1.38730158730159,1.38730158730159
