"","TC_rank","Country","TC","AvgArtCit","Articles","SCP","MCP","MCP_Ratio"
"1",8,"IRELAND        ",1612,53.733,30,20,10,0.3333
"2",5,"NETHERLANDS    ",3316,39.476,84,59,25,0.2976
"3",31,"ALGERIA        ",151,30.2,5,3,2,0.4
"4",1,"USA            ",27126,28.735,944,836,108,0.1144
"5",51,"IRAQ           ",28,28,1,0,1,1
"6",53,"PHILIPPINES    ",25,25,1,1,0,0
"7",2,"UNITED KINGDOM ",5976,19.154,312,230,82,0.2628
"8",13,"SWITZERLAND    ",1178,18.698,63,46,17,0.2698
"9",23,"NEW ZEALAND    ",455,18.2,25,18,7,0.28
"10",48,"BHUTAN         ",36,18,2,0,2,1
"11",50,"QATAR          ",30,15,2,1,1,0.5
"12",28,"ISRAEL         ",251,13.944,18,14,4,0.2222
"13",11,"CANADA         ",1321,13.343,99,81,18,0.1818
"14",6,"FRANCE         ",1879,13.326,141,105,36,0.2553
"15",7,"INDIA          ",1672,13.062,128,112,16,0.125
"16",16,"DENMARK        ",629,12.333,51,35,16,0.3137
"17",19,"FINLAND        ",574,11.038,52,36,16,0.3077
"18",9,"SPAIN          ",1412,11.031,128,104,24,0.1875
"19",59,"OMAN           ",11,11,1,1,0,0
"20",4,"GERMANY        ",3862,10.972,352,287,65,0.1847
"21",17,"POLAND         ",629,10.661,59,51,8,0.1356
"22",14,"AUSTRALIA      ",1118,10.257,109,84,25,0.2294
"23",26,"ROMANIA        ",303,10.1,30,29,1,0.0333
"24",32,"HUNGARY        ",141,10.071,14,12,2,0.1429
"25",34,"SOUTH AFRICA   ",100,10,10,8,2,0.2
"26",20,"GREECE         ",540,9.643,56,50,6,0.1071
"27",27,"SINGAPORE      ",291,9.387,31,19,12,0.3871
"28",37,"ESTONIA        ",83,9.222,9,7,2,0.2222
"29",10,"ITALY          ",1322,9.181,144,115,29,0.2014
"30",61,"GEORGIA        ",9,9,1,1,0,0
"31",12,"KOREA          ",1237,8.473,146,109,37,0.2534
"32",24,"AUSTRIA        ",453,7.947,57,39,18,0.3158
"33",25,"SWEDEN         ",416,7.704,54,36,18,0.3333
"34",22,"TURKEY         ",465,7.623,61,54,7,0.1148
"35",21,"PORTUGAL       ",520,7.429,70,48,22,0.3143
"36",45,"CROATIA        ",48,6.857,7,4,3,0.4286
"37",15,"JAPAN          ",1069,6.599,162,147,15,0.0926
"38",40,"SLOVAKIA       ",57,6.333,9,8,1,0.1111
"39",18,"BRAZIL         ",597,5.97,100,84,16,0.16
"40",3,"CHINA          ",5169,5.881,879,758,121,0.1377
"41",30,"NORWAY         ",161,5.75,28,15,13,0.4643
"42",44,"CZECH REPUBLIC ",51,5.667,9,6,3,0.3333
"43",47,"LITHUANIA      ",39,5.571,7,6,1,0.1429
"44",42,"JORDAN         ",55,5.5,10,7,3,0.3
"45",54,"KAZAKHSTAN     ",22,5.5,4,2,2,0.5
"46",38,"SLOVENIA       ",80,5.333,15,13,2,0.1333
"47",33,"PAKISTAN       ",102,4.636,22,14,8,0.3636
"48",29,"MALAYSIA       ",161,4.472,36,29,7,0.1944
"49",43,"BELGIUM        ",53,4.417,12,9,3,0.25
"50",67,"ICELAND        ",4,4,1,1,0,0
"51",41,"IRAN           ",55,3.929,14,8,6,0.4286
"52",46,"COLOMBIA       ",42,3.5,12,7,5,0.4167
"53",36,"SAUDI ARABIA   ",85,3.269,26,13,13,0.5
"54",35,"RUSSIA         ",87,3,29,23,6,0.2069
"55",70,"MADAGASCAR     ",3,3,1,1,0,0
"56",57,"TUNISIA        ",16,2.667,6,4,2,0.3333
"57",39,"MEXICO         ",68,2.615,26,23,3,0.1154
"58",52,"CHILE          ",26,2.364,11,7,4,0.3636
"59",62,"LATVIA         ",9,2.25,4,4,0,0
"60",74,"BOSNIA         ",2,2,1,0,1,1
"61",49,"BANGLADESH     ",32,1.882,17,15,2,0.1176
"62",58,"CYPRUS         ",15,1.875,8,4,4,0.5
"63",63,"SERBIA         ",9,1.8,5,4,1,0.2
"64",64,"MACEDONIA      ",8,1.6,5,1,4,0.8
"65",55,"THAILAND       ",19,1.583,12,10,2,0.1667
"66",69,"ETHIOPIA       ",3,1.5,2,0,2,1
"67",71,"MOROCCO        ",3,1.5,2,1,1,0.5
"68",72,"NIGERIA        ",3,1.5,2,1,1,0.5
"69",60,"EGYPT          ",10,1.429,7,5,2,0.2857
"70",68,"SRI LANKA      ",4,1.333,3,2,1,0.3333
"71",56,"INDONESIA      ",18,1.2,15,12,3,0.2
"72",75,"COSTA RICA     ",2,1,2,2,0,0
"73",78,"UKRAINE        ",2,1,2,2,0,0
"74",79,"BELARUS        ",1,1,1,1,0,0
"75",81,"SYRIA          ",1,1,1,1,0,0
"76",66,"ARGENTINA      ",4,0.667,6,3,3,0.5
"77",77,"PERU           ",2,0.667,3,3,0,0
"78",65,"ECUADOR        ",5,0.625,8,2,6,0.75
"79",73,"VIETNAM        ",3,0.6,5,4,1,0.2
"80",76,"LUXEMBOURG     ",2,0.5,4,3,1,0.25
"81",80,"BULGARIA       ",1,0.5,2,2,0,0
"82",82,"U ARAB EMIRATES",1,0.111,9,6,3,0.3333
"83",83,"KUWAIT         ",0,0,1,1,0,0
"84",84,"LEBANON        ",0,0,2,1,1,0.5
"85",85,"LIECHTENSTEIN  ",0,0,1,0,1,1
"86",86,"PANAMA         ",0,0,1,1,0,0
