"","Description","Results"
"1","MAIN INFORMATION ABOUT DATA",""
"2","Timespan","1960:2023"
"3","Sources (Journals, Books, etc)","1769"
"4","Documents","4872"
"5","Annual Growth Rate %","8.23"
"6","Document Average Age","14"
"7","Average citations per doc","12.83"
"8","Average citations per year per doc","1.244"
"9","References","118208"
"10","DOCUMENT TYPES",""
"11","article","2645"
"12","article; book","1"
"13","article; book chapter","216"
"14","article; data paper","2"
"15","article; early access","49"
"16","article; proceedings paper","61"
"17","article; retracted publication","7"
"18","bibliography","13"
"19","book","8"
"20","book review","139"
"21","correction","3"
"22","discussion","1"
"23","editorial material","54"
"24","editorial material; book chapter","13"
"25","letter","3"
"26","meeting abstract","33"
"27","note","4"
"28","proceedings paper","1454"
"29","proceedings paper; retracted publication","2"
"30","reprint","2"
"31","review","155"
"32","review; early access","6"
"33","software review","1"
"34","DOCUMENT CONTENTS",""
"35","Keywords Plus (ID)","2473"
"36","Author's Keywords (DE)","7965"
"37","AUTHORS",""
"38","Authors","10331"
"39","Author Appearances","12497"
"40","Authors of single-authored docs","1327"
"41","AUTHORS COLLABORATION",""
"42","Single-authored docs","1507"
"43","Documents per Author","0.472"
"44","Co-Authors per Doc","2.57"
"45","International co-authorships %","9.647"
"46","",""
