"","Paper         ","DOI","TC","TCperYear","NTC"
"1","COOK DA, 2011, JAMA-J AM MED ASSOC      ","10.1001/jama.2011.1234            ","1231","87.93","55.78"
"2","WU HK, 2013, COMPUT EDUC                ","10.1016/j.compedu.2012.10.024     ","1056","88.00","45.52"
"3","SPRINGER L, 1999, REV EDUC RES          ","10.3102/00346543069001021         "," 958","36.85","33.94"
"4","HEW KF, 2007, ETR&D-EDUC TECH RES       ","10.1007/s11423-006-9022-5         "," 863","47.94","26.01"
"5","JONASSEN DH, 1997, ETR&D-EDUC TECH RES  ","10.1007/BF02299613                "," 740","26.43","24.34"
"6","ROBLYER MD, 2010, INTERNET HIGH EDUC    ","10.1016/j.iheduc.2010.03.002      "," 627","41.80","31.88"
"7","ZHANG DS, 2006, INFORM MANAGE-AMSTER    ","10.1016/j.im.2005.01.004          "," 576","30.32","19.30"
"8","GREENHOW C, 2009, EDUC RESEARCHER       ","10.3102/0013189X09336671          "," 566","35.38","28.34"
"9","HERRINGTON J, 2000, ETR&D-EDUC TECH RES ","10.1007/BF02319856                "," 537","21.48","24.46"
"10","DAVIES RS, 2013, ETR&D-EDUC TECH RES    ","10.1007/s11423-013-9305-6         "," 489","40.75","21.08"
"11","HENDERSON C, 2011, J RES SCI TEACH      ","10.1002/tea.20439                 "," 466","33.29","21.12"
"12","THEOBALD EJ, 2020, P NATL ACAD SCI USA  ","10.1073/pnas.1916903117           "," 461","92.20","38.77"
"13","TAMIM RM, 2011, REV EDUC RES            ","10.3102/0034654310393361          "," 459","32.79","20.80"
"14","MCNEILL KL, 2006, J LEARN SCI           ","10.1207/s15327809jls1502_1        "," 408","21.47","13.67"
"15","HENRIE CR, 2015, COMPUT EDUC            ","10.1016/j.compedu.2015.09.005     "," 402","40.20","28.74"
"16","COOK DA, 2013, MED TEACH                ","10.3109/0142159X.2012.714886      "," 395","32.92","17.03"
"17","PARK Y, 2011, INT REV RES OPEN DIS      ","10.19173/irrodl.v12i2.791         "," 351","25.07","15.91"
"18","GASEVIC D, 2016, INTERNET HIGH EDUC     ","10.1016/j.iheduc.2015.10.002      "," 343","38.11","33.10"
"19","CLEMENTS DH, 2007, J RES MATH EDUC      ","10.2307/30034954                  "," 326","18.11"," 9.82"
"20","LAI ML, 2013, EDUC RES REV-NETH         ","10.1016/j.edurev.2013.10.001      "," 323","26.92","13.92"
"21","KOZMA R, 2003, LEARN INSTR              ","10.1016/S0959-4752(02)00021-X     "," 314","14.27","10.18"
"22","ALAVI M, 2001, INFORM SYST RES          ","10.1287/isre.12.1.1.9720          "," 308","12.83","12.87"
"23","DZIUBAN C, 2018, INT J EDUC TECHNOL H   ","10.1186/s41239-017-0087-5         "," 303","43.29","33.27"
"24","DICKEY MD, 2005, ETR&D-EDUC TECH RES    ","10.1007/BF02504866                "," 301","15.05","10.22"
"25","MARTIN F, 2013, COMPUT EDUC             ","10.1016/j.compedu.2013.04.021     "," 298","24.83","12.85"
"26","GLASER R, 1963, AM PSYCHOL              ","10.1037/h0049294                  "," 292"," 4.71"," 1.99"
"27","BINDER C, 1996, BEHAV ANALYST           ","10.1007/BF03393163                "," 265"," 9.14","21.18"
"28","RUSSELL M, 2003, J TEACH EDUC           ","10.1177/0022487103255985          "," 262","11.91"," 8.50"
"29","RUMMEL N, 2005, J LEARN SCI             ","10.1207/s15327809jls1402_2        "," 259","12.95"," 8.79"
"30","WINDSCHITL M, 2002, AM EDUC RES J       ","10.3102/00028312039001165         "," 254","11.04","11.40"
"31","CHENG A, 2014, MED EDUC                 ","10.1111/medu.12432                "," 251","22.82","17.54"
"32","COOK DA, 2007, CLIN MED                 ","10.7861/clinmedicine.7-1-37       "," 248","13.78"," 7.47"
"33","BOELENS R, 2017, EDUC RES REV-NETH      ","10.1016/j.edurev.2017.06.001      "," 239","29.88","28.02"
"34","ALONSO F, 2005, BRIT J EDUC TECHNOL     ","10.1111/j.1467-8535.2005.00454.x  "," 234","11.70"," 7.94"
"35","KOPCHA TJ, 2012, COMPUT EDUC            ","10.1016/j.compedu.2012.05.014     "," 231","17.77","16.58"
"36","HANNAFIN MJ, 1997, INSTR SCI            ","10.1023/A:1002997414652           "," 230"," 8.21"," 7.57"
"37","COOK DA, 2013, ACAD MED                 ","10.1097/ACM.0b013e31829a365d      "," 227","18.92"," 9.79"
"38","JONASSEN DH, 2002, ETR&D-EDUC TECH RES  ","10.1007/BF02504994                "," 226"," 9.83","10.15"
"39","FROYD JE, 2012, P IEEE                  ","10.1109/JPROC.2012.2190167        "," 217","16.69","15.57"
"40","BLUMENFELD P, 2000, EDUC PSYCHOL        ","10.1207/S15326985EP3503_2         "," 215"," 8.60"," 9.79"
"41","CHENG L, 2019, ETR&D-EDUC TECH RES      ","10.1007/s11423-018-9633-7         "," 212","35.33","19.93"
"42","COOK DA, 2012, SIMUL HEALTHC            ","10.1097/SIH.0b013e3182614f95      "," 210","16.15","15.07"
"43","TAKACS ZK, 2015, REV EDUC RES           ","10.3102/0034654314566989          "," 205","20.50","14.66"
"44","YOUNG MF, 1993, ETR&D-EDUC TECH RES     ","10.1007/BF02297091                "," 201"," 6.28"," 8.98"
"45","NIEDERHAUSER DS, 2001, TEACH TEACH EDUC ","10.1016/S0742-051X(00)00036-6     "," 197"," 8.21"," 8.23"
"46","SWELLER J, 2020, ETR&D-EDUC TECH RES    ","10.1007/s11423-019-09701-3        "," 192","38.40","16.15"
"47","BELL BS, 2002, PERS PSYCHOL             ","10.1111/j.1744-6570.2002.tb00111.x"," 180"," 7.83"," 8.08"
"48","KIRKWOOD A, 2005, STUD HIGH EDUC        ","10.1080/03075070500095689         "," 176"," 8.80"," 5.97"
"49","POLLY D, 2010, TEACH TEACH EDUC         ","10.1016/j.tate.2009.10.024        "," 175","11.67"," 8.90"
"50","CHANG CW, 2010, EDUC TECHNOL SOC        ","NA                                "," 174","11.60"," 8.85"
"51","ABRAMI PC, 2011, J COMPUT HIGH EDUC     ","10.1007/s12528-011-9043-x         "," 171","12.21"," 7.75"
"52","LIM DH, 2009, EDUC TECHNOL SOC          ","NA                                "," 168","10.50"," 8.41"
"53","GUNTER GA, 2008, ETR&D-EDUC TECH RES    ","10.1007/s11423-007-9073-2         "," 163"," 9.59"," 8.58"
"54","SCHLAGER MS, 2003, INFORM SOC           ","10.1080/01972240309464            "," 162"," 7.36"," 5.25"
"55","BARAB SA, 2010, EDUC RESEARCHER         ","10.3102/0013189X10386593          "," 161","10.73"," 8.19"
"56","ANGELI C, 2005, J COMPUT ASSIST LEAR    ","10.1111/j.1365-2729.2005.00135.x  "," 160"," 8.00"," 5.43"
"57","TRIPP SD, 1990, ETR&D-EDUC TECH RES     ","10.1007/BF02298246                "," 153"," 4.37","15.87"
"58","LEBOW D, 1993, ETR&D-EDUC TECH RES      ","10.1007/BF02297354                "," 146"," 4.56"," 6.53"
"59","REISER RA, 2001, ETR&D-EDUC TECH RES-a  ","10.1007/BF02504506                "," 145"," 6.04"," 6.06"
"60","LEIDNER DE, 1993, INFORM SYST RES       ","10.1287/isre.4.1.24               "," 142"," 4.44"," 6.35"
"61","GUSTAVSSON I, 2009, IEEE T LEARN TECHNOL","10.1109/TLT.2009.42               "," 142"," 8.88"," 7.11"
