"","Authors       ","Articles","Authors       ","Articles Fractionalized"
"1","UNWIN D            ","18","UNWIN D            ","18.00"
"2","DYRUD MA           ","13","DYRUD MA           ","13.00"
"3","SPECTOR JM         ","13","SPECTOR JM         "," 9.75"
"4","COOK DA            ","11","NA                 "," 9.00"
"5","LIU TC             ","10","REIGELUTH CM       "," 6.00"
"6","PELLAS N           ","10","[ANONYMOUS]        "," 6.00"
"7","ROSS SM            ","10","CLARK RE           "," 5.50"
"8","VAN MERRIËNBOER JJG","10","HONEBEIN PC        "," 5.50"
"9","KENNEDY MJ         "," 9","MERRILL MD         "," 5.08"
"10","MORRISON GR        "," 9","JONASSEN DH        "," 5.00"
"11","NA                 "," 9","TENNYSON RD        "," 4.83"
"12","REIGELUTH CM       "," 9","CAMPBELL K         "," 4.75"
"13","WU HK              "," 9","REISER RA          "," 4.58"
"14","CAMPBELL K         "," 8","LIU TC             "," 4.55"
"15","ERTMER PA          "," 8","KLEIN JD           "," 4.53"
"16","HONEBEIN PC        "," 8","MORRISON GR        "," 4.33"
"17","HWANG FK           "," 8","ROSS SM            "," 4.33"
"18","KLEIN JD           "," 8","PELLAS N           "," 4.33"
"19","MARTIN F           "," 8","VAN MERRIËNBOER JJG"," 4.14"
"20","MERRILL MD         "," 8","KOH JHL            "," 4.00"
"21","PARK J             "," 8","RUSHBY N           "," 4.00"
"22","STEFANIAK J        "," 8","SAETTLER P         "," 4.00"
"23","TSAI CC            "," 8","ERTMER PA          "," 3.83"
"24","WEST RE            "," 8","ELEN J             "," 3.75"
"25","YANCHAR SC         "," 8","COOK DA            "," 3.64"
"26","BOUCK EC           "," 7","HEDBERG JG         "," 3.50"
"27","CLARK RE           "," 7","BODZIN AM          "," 3.46"
"28","ELEN J             "," 7","TRACEY MW          "," 3.42"
"29","LEE CJ             "," 7","ANGELI C           "," 3.33"
"30","LEE SWY            "," 7","BARAK M            "," 3.33"
"31","LIANG JC           "," 7","MCKAY E            "," 3.33"
"32","MCKAY E            "," 7","WEST RE            "," 3.32"
"33","PAAS F             "," 7","MARTIN F           "," 3.28"
"34","REISER RA          "," 7","ZHANG Y            "," 3.28"
"35","TRACEY MW          "," 7","YANCHAR SC         "," 3.23"
"36","VONGKULLUKSN VW    "," 7","LEE J              "," 3.20"
"37","XIE K              "," 7","MORENO R           "," 3.20"
