"","Country","Articles","Freq","SCP","MCP","MCP_Ratio"
"1","USA            ","2034","0.481306","1912","122","0.0600"
"2","CHINA          "," 473","0.111926"," 415"," 58","0.1226"
"3","TURKEY         "," 201","0.047563"," 190"," 11","0.0547"
"4","CANADA         "," 113","0.026739","  91"," 22","0.1947"
"5","AUSTRALIA      ","  86","0.020350","  71"," 15","0.1744"
"6","MALAYSIA       ","  75","0.017747","  67","  8","0.1067"
"7","SPAIN          ","  72","0.017037","  62"," 10","0.1389"
"8","UNITED KINGDOM ","  69","0.016327","  58"," 11","0.1594"
"9","INDONESIA      ","  68","0.016091","  61","  7","0.1029"
"10","GERMANY        ","  63","0.014908","  54","  9","0.1429"
"11","THAILAND       ","  56","0.013251","  51","  5","0.0893"
"12","NETHERLANDS    ","  54","0.012778","  37"," 17","0.3148"
"13","KOREA          ","  48","0.011358","  34"," 14","0.2917"
"14","SOUTH AFRICA   ","  48","0.011358","  46","  2","0.0417"
"15","INDIA          ","  45","0.010648","  43","  2","0.0444"
"16","GREECE         ","  43","0.010175","  35","  8","0.1860"
"17","CYPRUS         ","  40","0.009465","  30"," 10","0.2500"
"18","JAPAN          ","  40","0.009465","  33","  7","0.1750"
"19","BRAZIL         ","  37","0.008755","  35","  2","0.0541"
"20","FINLAND        ","  28","0.006626","  17"," 11","0.3929"
"21","ISRAEL         ","  27","0.006389","  23","  4","0.1481"
"22","RUSSIA         ","  25","0.005916","  23","  2","0.0800"
"23","PHILIPPINES    ","  24","0.005679","  23","  1","0.0417"
"24","BELGIUM        ","  23","0.005442","  18","  5","0.2174"
"25","SINGAPORE      ","  23","0.005442","  17","  6","0.2609"
"26","NIGERIA        ","  21","0.004969","  18","  3","0.1429"
"27","MEXICO         ","  20","0.004733","  16","  4","0.2000"
"28","FRANCE         ","  19","0.004496","  16","  3","0.1579"
"29","PORTUGAL       ","  18","0.004259","  14","  4","0.2222"
"30","ITALY          ","  17","0.004023","  14","  3","0.1765"
"31","SWEDEN         ","  17","0.004023","  15","  2","0.1176"
"32","NORWAY         ","  16","0.003786","  12","  4","0.2500"
"33","SAUDI ARABIA   ","  16","0.003786","  10","  6","0.3750"
"34","IRAN           ","  15","0.003549","  15","  0","0.0000"
"35","U ARAB EMIRATES","  15","0.003549","  11","  4","0.2667"
"36","ROMANIA        ","  14","0.003313","  13","  1","0.0714"
"37","NEW ZEALAND    ","  13","0.003076","   7","  6","0.4615"
"38","CHILE          ","  11","0.002603","   7","  4","0.3636"
"39","IRELAND        ","  10","0.002366","   9","  1","0.1000"
"40","SWITZERLAND    ","  10","0.002366","   9","  1","0.1000"
"41","AUSTRIA        ","   9","0.002130","   4","  5","0.5556"
"42","JORDAN         ","   9","0.002130","   7","  2","0.2222"
"43","GHANA          ","   8","0.001893","   5","  3","0.3750"
"44","COLOMBIA       ","   7","0.001656","   4","  3","0.4286"
"45","CROATIA        ","   7","0.001656","   7","  0","0.0000"
