"","Author Keywords (DE)     ","Articles","Keywords-Plus (ID)    ","Articles"
"1","INSTRUCTIONAL DESIGN             ","546","EDUCATION                    ","375"
"2","INSTRUCTIONAL TECHNOLOGY         ","290","STUDENTS                     ","302"
"3","TECHNOLOGY                       ","237","TECHNOLOGY                   ","264"
"4","EDUCATIONAL TECHNOLOGY           ","204","KNOWLEDGE                    ","184"
"5","TECHNOLOGY INTEGRATION           ","128","SCIENCE                      ","176"
"6","HIGHER EDUCATION                 ","114","DESIGN                       ","173"
"7","E-LEARNING                       ","108","PERFORMANCE                  ","155"
"8","BLENDED LEARNING                 "," 79","IMPACT                       ","134"
"9","ONLINE LEARNING                  "," 78","TEACHERS                     ","130"
"10","EDUCATION                        "," 77","MODEL                        ","128"
"11","PROFESSIONAL DEVELOPMENT         "," 72","FRAMEWORK                    ","113"
"12","INSTRUCTIONAL STRATEGIES         "," 69","BELIEFS                      ","109"
"13","LEARNING                         "," 69","SKILLS                       ","103"
"14","TEACHER EDUCATION                "," 63","INSTRUCTION                  "," 96"
"15","DISTANCE EDUCATION               "," 57","CLASSROOM                    "," 93"
"16","PEDAGOGY                         "," 55","ACHIEVEMENT                  "," 82"
"17","VIRTUAL REALITY                  "," 51","PERCEPTIONS                  "," 82"
"18","DISTANCE LEARNING                "," 50","PEDAGOGICAL CONTENT KNOWLEDGE"," 80"
"19","AUGMENTED REALITY                "," 45","HIGHER-EDUCATION             "," 71"
"20","INFORMATION TECHNOLOGY           "," 45","ONLINE                       "," 71"
"21","INSTRUCTIONAL TECHNOLOGIES       "," 44","ENGAGEMENT                   "," 70"
"22","TEACHING                         "," 43","INFORMATION                  "," 69"
"23","COLLABORATIVE LEARNING           "," 40","STRATEGIES                   "," 66"
"24","MOBILE LEARNING                  "," 39","MOTIVATION                   "," 65"
"25","ACTIVE LEARNING                  "," 38","MATHEMATICS                  "," 64"
"26","ICT                              "," 38","PROFESSIONAL-DEVELOPMENT     "," 64"
"27","INSTRUCTION                      "," 36","ICT                          "," 62"
"28","ASSESSMENT                       "," 35","CHILDREN                     "," 61"
"29","INNOVATION                       "," 35","INTEGRATION                  "," 60"
"30","CURRICULUM                       "," 34","METAANALYSIS                 "," 57"
"31","FLIPPED CLASSROOM                "," 32","ATTITUDES                    "," 56"
"32","SCIENCE EDUCATION                "," 32","IMPLEMENTATION               "," 55"
"33","TECHNOLOGY-ENHANCED LEARNING     "," 32","FEEDBACK                     "," 53"
"34","TPACK                            "," 32","SELF-EFFICACY                "," 50"
"35","CONSTRUCTIVISM                   "," 31","SCHOOL                       "," 48"
"36","MATHEMATICS                      "," 30","SYSTEM                       "," 48"
"37","TRAINING                         "," 30","ACCEPTANCE                   "," 46"
"38","ASSISTIVE TECHNOLOGY             "," 29","BARRIERS                     "," 46"
"39","PRE-SERVICE TEACHERS             "," 29","COGNITIVE LOAD               "," 46"
"40","COVID-19                         "," 28","INSTRUCTIONAL-DESIGN         "," 46"
"41","STEM                             "," 28","USER ACCEPTANCE              "," 46"
"42","COLLABORATION                    "," 27","COMPREHENSION                "," 43"
"43","INSTRUCTIONAL VIDEO              "," 27","INQUIRY                      "," 43"
"44","MOTIVATION                       "," 27","SUPPORT                      "," 41"
"45","TECHNOLOGY ACCEPTANCE MODEL      "," 27","LANGUAGE                     "," 40"
"46","COGNITIVE LOAD                   "," 26","TPACK                        "," 40"
"47","CREATIVITY                       "," 26","MULTIMEDIA                   "," 39"
"48","MULTIMEDIA                       "," 26","ACQUISITION                  "," 38"
"49","DESIGN                           "," 25","ADOPTION                     "," 37"
"50","COGNITIVE LOAD THEORY            "," 24","COGNITIVE LOAD THEORY        "," 36"
"51","FACULTY DEVELOPMENT              "," 24","ENVIRONMENTS                 "," 36"
"52","GAMIFICATION                     "," 24","INFORMATION-TECHNOLOGY       "," 35"
"53","LEARNING MANAGEMENT SYSTEM       "," 24","QUALITY                      "," 35"
"54","META-ANALYSIS                    "," 24","CURRICULUM                   "," 34"
"55","SIMULATION                       "," 24","SYSTEMS                      "," 33"
"56","TEACHER TRAINING                 "," 24","COMMUNICATION                "," 32"
"57","EDUCATIONAL TECHNOLOGIES         "," 23","DISABILITIES                 "," 31"
"58","ENGAGEMENT                       "," 23","EXPERIENCE                   "," 31"
