"","Sources       ","Articles"
"1","ETR&D-EDUCATIONAL TECHNOLOGY RESEARCH AND DEVELOPMENT                                               ","316"
"2","EDUCATIONAL TECHNOLOGY                                                                              ","207"
"3","BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY                                                           ","122"
"4","EDUCATIONAL TECHNOLOGY & SOCIETY                                                                    "," 82"
"5","COMPUTERS & EDUCATION                                                                               "," 79"
"6","EDUCATION AND INFORMATION TECHNOLOGIES                                                              "," 51"
"7","PROGRAMMED LEARNING & EDUCATIONAL TECHNOLOGY                                                        "," 49"
"8","TECHTRENDS                                                                                          "," 48"
"9","ECTJ-EDUCATIONAL COMMUNICATION AND TECHNOLOGY JOURNAL                                               "," 39"
"10","INSTRUCTIONAL SCIENCE                                                                               "," 38"
"11","COMPUTERS IN HUMAN BEHAVIOR                                                                         "," 34"
"12","AUSTRALASIAN JOURNAL OF EDUCATIONAL TECHNOLOGY                                                      "," 30"
"13","JOURNAL OF SCIENCE EDUCATION AND TECHNOLOGY                                                         "," 30"
"14","TURKISH ONLINE JOURNAL OF EDUCATIONAL TECHNOLOGY                                                    "," 29"
"15","JOURNAL OF EDUCATIONAL COMPUTING RESEARCH                                                           "," 27"
"16","JOURNAL OF SPECIAL EDUCATION TECHNOLOGY                                                             "," 27"
"17","TECHNOLOGY PEDAGOGY AND EDUCATION                                                                   "," 25"
"18","INTERNATIONAL JOURNAL OF TECHNOLOGY AND DESIGN EDUCATION                                            "," 24"
"19","JOURNAL OF COMPUTER ASSISTED LEARNING                                                               "," 24"
"20","EURASIA JOURNAL OF MATHEMATICS SCIENCE AND TECHNOLOGY EDUCATION                                     "," 23"
"21","INTERNATIONAL JOURNAL OF EMERGING TECHNOLOGIES IN LEARNING                                          "," 23"
"22","ED-MEDIA 2004: WORLD CONFERENCE ON EDUCATIONAL MULTIMEDIA HYPERMEDIA & TELECOMMUNICATIONS VOLS. 1-7 "," 21"
"23","EDUCATION SCIENCES                                                                                  "," 20"
"24","INTERACTIVE LEARNING ENVIRONMENTS                                                                   "," 20"
"25","TECHNOLOGY KNOWLEDGE AND LEARNING                                                                   "," 20"
"26","SUSTAINABILITY                                                                                      "," 19"
"27","JOURNAL OF ENGINEERING TECHNOLOGY                                                                   "," 18"
"28","AV COMMUNICATION REVIEW                                                                             "," 17"
"29","INTED2011: 5TH INTERNATIONAL TECHNOLOGY EDUCATION AND DEVELOPMENT CONFERENCE                        "," 17"
"30","INTED2016: 10TH INTERNATIONAL TECHNOLOGY EDUCATION AND DEVELOPMENT CONFERENCE                       "," 17"
"31","INTED2017: 11TH INTERNATIONAL TECHNOLOGY EDUCATION AND DEVELOPMENT CONFERENCE                       "," 17"
"32","INTERNATIONAL JOURNAL OF ENGINEERING EDUCATION                                                      "," 16"
"33","INTERNATIONAL JOURNAL OF MATHEMATICAL EDUCATION IN SCIENCE AND TECHNOLOGY                           "," 16"
"34","TEACHERS COLLEGE RECORD                                                                             "," 16"
"35","12TH INTERNATIONAL TECHNOLOGY EDUCATION AND DEVELOPMENT CONFERENCE (INTED)                          "," 15"
"36","14TH INTERNATIONAL TECHNOLOGY EDUCATION AND DEVELOPMENT CONFERENCE (INTED2020)                      "," 15"
