"","Country     ","Total Citations","Average Article Citations"
"1","USA            ","35796","17.599"
"2","CHINA          "," 5657","11.960"
"3","CANADA         "," 2185","19.336"
"4","AUSTRALIA      "," 1889","21.965"
"5","TURKEY         "," 1825"," 9.080"
"6","SINGAPORE      "," 1354","58.870"
"7","NETHERLANDS    "," 1230","22.778"
"8","GERMANY        "," 1178","18.698"
"9","UNITED KINGDOM "," 1121","16.246"
"10","BELGIUM        ","  762","33.130"
"11","KOREA          ","  742","15.458"
"12","SPAIN          ","  614"," 8.528"
"13","GREECE         ","  595","13.837"
"14","U ARAB EMIRATES","  595","39.667"
"15","CYPRUS         ","  592","14.800"
"16","ISRAEL         ","  478","17.704"
"17","FINLAND        ","  435","15.536"
"18","MALAYSIA       ","  377"," 5.027"
"19","IRELAND        ","  363","36.300"
"20","SOUTH AFRICA   ","  229"," 4.771"
"21","SWEDEN         ","  228","13.412"
"22","NORWAY         ","  170","10.625"
"23","BRAZIL         ","  162"," 4.378"
"24","CROATIA        ","  150","21.429"
"25","THAILAND       ","  142"," 2.536"
"26","FRANCE         ","  141"," 7.421"
"27","INDIA          ","  141"," 3.133"
"28","INDONESIA      ","  131"," 1.926"
"29","SAUDI ARABIA   ","  129"," 8.062"
"30","CHILE          ","  125","11.364"
"31","JAPAN          ","  118"," 2.950"
"32","ITALY          ","  114"," 6.706"
"33","HUNGARY        ","  107","53.500"
"34","NEW ZEALAND    ","   96"," 7.385"
"35","KENYA          ","   82","27.333"
"36","PAKISTAN       ","   82","20.500"
"37","IRAN           ","   76"," 5.067"
"38","PORTUGAL       ","   74"," 4.111"
"39","GHANA          ","   71"," 8.875"
"40","GEORGIA        ","   69","11.500"
"41","MALTA          ","   67","67.000"
"42","COLOMBIA       ","   51"," 7.286"
"43","NIGERIA        ","   49"," 2.333"
"44","EGYPT          ","   43"," 7.167"
"45","JORDAN         ","   43"," 4.778"
"46","BENIN          ","   39","39.000"
"47","SWITZERLAND    ","   38"," 3.800"
"48","MEXICO         ","   37"," 1.850"
"49","AUSTRIA        ","   36"," 4.000"
"50","PHILIPPINES    ","   35"," 1.458"
"51","ESTONIA        ","   30","10.000"
"52","MAURITIUS      ","   29"," 7.250"
"53","POLAND         ","   27"," 6.750"
"54","RWANDA         ","   26"," 8.667"
"55","PERU           ","   24"," 8.000"
"56","ECUADOR        ","   23"," 3.833"
"57","SLOVENIA       ","   23"," 5.750"
"58","ALGERIA        ","   22","22.000"
"59","SERBIA         ","   19"," 6.333"
"60","BAHRAIN        ","   18"," 9.000"
"61","LATVIA         ","   18"," 6.000"
"62","RUSSIA         ","   18"," 0.720"
"63","DENMARK        ","   15"," 3.000"
"64","GUATEMALA      ","   13","13.000"
"65","BANGLADESH     ","   12"," 3.000"
"66","ROMANIA        ","   12"," 0.857"
"67","BOTSWANA       ","    9"," 1.800"
"68","OMAN           ","    9"," 1.500"
"69","ETHIOPIA       ","    8"," 8.000"
"70","COSTA RICA     ","    7"," 3.500"
"71","KUWAIT         ","    7"," 3.500"
"72","AFGHANISTAN    ","    6"," 6.000"
"73","BULGARIA       ","    6"," 1.200"
"74","LITHUANIA      ","    6"," 3.000"
"75","LIBYA          ","    4"," 4.000"
"76","VIETNAM        ","    4"," 1.000"
"77","QATAR          ","    3"," 1.000"
"78","BRUNEI         ","    2"," 2.000"
"79","CZECH REPUBLIC ","    2"," 0.400"
"80","KAZAKHSTAN     ","    2"," 0.667"
"81","LUXEMBOURG     ","    2"," 1.000"
"82","TUNISIA        ","    2"," 2.000"
"83","ZIMBABWE       ","    2"," 2.000"
"84","MOROCCO        ","    1"," 0.250"
"85","UKRAINE        ","    1"," 0.250"
"86","CUBA           ","    0"," 0.000"
"87","FIJI           ","    0"," 0.000"
"88","IRAQ           ","    0"," 0.000"
"89","JAMAICA        ","    0"," 0.000"
"90","LEBANON        ","    0"," 0.000"
"91","MACEDONIA      ","    0"," 0.000"
"92","MALAWI         ","    0"," 0.000"
"93","NAMIBIA        ","    0"," 0.000"
"94","SRI LANKA      ","    0"," 0.000"
"95","SUDAN          ","    0"," 0.000"
"96","UGANDA         ","    0"," 0.000"
