"Year","Articles","MeanTCperArt","MeanTCperYear"
1960,2,11.5,0.1796875
1961,0,0,0
1962,2,0,0
1963,2,146.5,2.4016393442623
1964,1,0,0
1965,2,1.5,0.0254237288135593
1966,1,0,0
1967,10,0.6,0.0105263157894737
1968,10,0.5,0.00892857142857143
1969,19,0.842105263157895,0.015311004784689
1970,15,0.533333333333333,0.00987654320987654
1971,23,1.56521739130435,0.029532403609516
1972,20,0.85,0.0163461538461539
1973,32,0.625,0.0122549019607843
1974,31,0.483870967741935,0.00967741935483871
1975,27,2.07407407407407,0.0423280423280423
1976,29,1.03448275862069,0.021551724137931
1977,23,2.60869565217391,0.0555041628122109
1978,34,4.70588235294118,0.10230179028133
1979,28,1.10714285714286,0.0246031746031746
1980,34,1.79411764705882,0.0407754010695187
1981,5,8.4,0.195348837209302
1982,9,1.55555555555556,0.037037037037037
1983,4,1.75,0.0426829268292683
1984,11,4.54545454545454,0.113636363636364
1985,6,14.8333333333333,0.38034188034188
1986,9,2.33333333333333,0.0614035087719298
1987,10,6.6,0.178378378378378
1988,10,3.8,0.105555555555556
1989,24,8.08333333333333,0.230952380952381
1990,36,9.63888888888889,0.283496732026144
1991,24,4.16666666666667,0.126262626262626
1992,29,11.4827586206897,0.358836206896552
1993,35,22.3714285714286,0.721658986175115
1994,29,6.03448275862069,0.201149425287356
1995,34,3.61764705882353,0.12474645030426
1996,45,12.5111111111111,0.446825396825397
1997,45,30.4,1.12592592592593
1998,52,7.5,0.288461538461538
1999,44,28.2272727272727,1.12909090909091
2000,48,21.9583333333333,0.914930555555556
2001,50,23.94,1.04086956521739
2002,58,22.2758620689655,1.01253918495298
2003,49,30.8367346938775,1.46841593780369
2004,76,6.64473684210526,0.332236842105263
2005,83,29.4578313253012,1.55041217501585
2006,73,29.8493150684932,1.65829528158295
2007,77,33.1818181818182,1.95187165775401
2008,115,18.9913043478261,1.18695652173913
2009,156,19.974358974359,1.33162393162393
2010,163,19.6687116564417,1.40490797546012
2011,208,22.0673076923077,1.69748520710059
2012,187,13.9358288770053,1.16131907308378
2013,227,23.1982378854626,2.10893071686023
2014,172,14.3139534883721,1.43139534883721
2015,227,13.9867841409692,1.55408712677435
2016,196,10.3622448979592,1.2952806122449
2017,227,8.52863436123348,1.21837633731907
2018,245,9.10612244897959,1.51768707482993
2019,266,10.6390977443609,2.12781954887218
2020,266,11.890977443609,2.97274436090226
2021,287,7.57142857142857,2.52380952380952
2022,318,5.21069182389937,2.60534591194969
2023,292,1.31164383561644,1.31164383561644
