"","TC_rank","Country","TC","AvgArtCit","Articles","SCP","MCP","MCP_Ratio"
"1",41,"MALTA          ",67,67,1,0,1,1
"2",6,"SINGAPORE      ",1354,58.87,23,17,6,0.2609
"3",33,"HUNGARY        ",107,53.5,2,1,1,0.5
"4",14,"U ARAB EMIRATES",595,39.667,15,11,4,0.2667
"5",46,"BENIN          ",39,39,1,1,0,0
"6",19,"IRELAND        ",363,36.3,10,9,1,0.1
"7",10,"BELGIUM        ",762,33.13,23,18,5,0.2174
"8",35,"KENYA          ",82,27.333,3,0,3,1
"9",7,"NETHERLANDS    ",1230,22.778,54,37,17,0.3148
"10",58,"ALGERIA        ",22,22,1,0,1,1
"11",4,"AUSTRALIA      ",1889,21.965,86,71,15,0.1744
"12",24,"CROATIA        ",150,21.429,7,7,0,0
"13",36,"PAKISTAN       ",82,20.5,4,1,3,0.75
"14",3,"CANADA         ",2185,19.336,113,91,22,0.1947
"15",8,"GERMANY        ",1178,18.698,63,54,9,0.1429
"16",16,"ISRAEL         ",478,17.704,27,23,4,0.1481
"17",1,"USA            ",35796,17.599,2034,1912,122,0.06
"18",9,"UNITED KINGDOM ",1121,16.246,69,58,11,0.1594
"19",17,"FINLAND        ",435,15.536,28,17,11,0.3929
"20",11,"KOREA          ",742,15.458,48,34,14,0.2917
"21",15,"CYPRUS         ",592,14.8,40,30,10,0.25
"22",13,"GREECE         ",595,13.837,43,35,8,0.186
"23",21,"SWEDEN         ",228,13.412,17,15,2,0.1176
"24",64,"GUATEMALA      ",13,13,1,0,1,1
"25",2,"CHINA          ",5657,11.96,473,415,58,0.1226
"26",40,"GEORGIA        ",69,11.5,6,5,1,0.1667
"27",30,"CHILE          ",125,11.364,11,7,4,0.3636
"28",22,"NORWAY         ",170,10.625,16,12,4,0.25
"29",51,"ESTONIA        ",30,10,3,3,0,0
"30",5,"TURKEY         ",1825,9.08,201,190,11,0.0547
"31",60,"BAHRAIN        ",18,9,2,2,0,0
"32",39,"GHANA          ",71,8.875,8,5,3,0.375
"33",54,"RWANDA         ",26,8.667,3,1,2,0.6667
"34",12,"SPAIN          ",614,8.528,72,62,10,0.1389
"35",29,"SAUDI ARABIA   ",129,8.062,16,10,6,0.375
"36",55,"PERU           ",24,8,3,1,2,0.6667
"37",69,"ETHIOPIA       ",8,8,1,1,0,0
"38",26,"FRANCE         ",141,7.421,19,16,3,0.1579
"39",34,"NEW ZEALAND    ",96,7.385,13,7,6,0.4615
"40",42,"COLOMBIA       ",51,7.286,7,4,3,0.4286
"41",52,"MAURITIUS      ",29,7.25,4,3,1,0.25
"42",44,"EGYPT          ",43,7.167,6,5,1,0.1667
"43",53,"POLAND         ",27,6.75,4,4,0,0
"44",32,"ITALY          ",114,6.706,17,14,3,0.1765
"45",59,"SERBIA         ",19,6.333,3,3,0,0
"46",61,"LATVIA         ",18,6,3,3,0,0
"47",72,"AFGHANISTAN    ",6,6,1,1,0,0
"48",57,"SLOVENIA       ",23,5.75,4,3,1,0.25
"49",37,"IRAN           ",76,5.067,15,15,0,0
"50",18,"MALAYSIA       ",377,5.027,75,67,8,0.1067
"51",45,"JORDAN         ",43,4.778,9,7,2,0.2222
"52",20,"SOUTH AFRICA   ",229,4.771,48,46,2,0.0417
"53",23,"BRAZIL         ",162,4.378,37,35,2,0.0541
"54",38,"PORTUGAL       ",74,4.111,18,14,4,0.2222
"55",49,"AUSTRIA        ",36,4,9,4,5,0.5556
"56",75,"LIBYA          ",4,4,1,0,1,1
"57",56,"ECUADOR        ",23,3.833,6,4,2,0.3333
"58",47,"SWITZERLAND    ",38,3.8,10,9,1,0.1
"59",70,"COSTA RICA     ",7,3.5,2,2,0,0
"60",71,"KUWAIT         ",7,3.5,2,2,0,0
"61",27,"INDIA          ",141,3.133,45,43,2,0.0444
"62",63,"DENMARK        ",15,3,5,4,1,0.2
"63",65,"BANGLADESH     ",12,3,4,3,1,0.25
"64",74,"LITHUANIA      ",6,3,2,1,1,0.5
"65",31,"JAPAN          ",118,2.95,40,33,7,0.175
"66",25,"THAILAND       ",142,2.536,56,51,5,0.0893
"67",43,"NIGERIA        ",49,2.333,21,18,3,0.1429
"68",78,"BRUNEI         ",2,2,1,0,1,1
"69",82,"TUNISIA        ",2,2,1,1,0,0
"70",83,"ZIMBABWE       ",2,2,1,1,0,0
"71",28,"INDONESIA      ",131,1.926,68,61,7,0.1029
"72",48,"MEXICO         ",37,1.85,20,16,4,0.2
"73",67,"BOTSWANA       ",9,1.8,5,4,1,0.2
"74",68,"OMAN           ",9,1.5,6,5,1,0.1667
"75",50,"PHILIPPINES    ",35,1.458,24,23,1,0.0417
"76",73,"BULGARIA       ",6,1.2,5,5,0,0
"77",76,"VIETNAM        ",4,1,4,1,3,0.75
"78",77,"QATAR          ",3,1,3,3,0,0
"79",81,"LUXEMBOURG     ",2,1,2,1,1,0.5
"80",66,"ROMANIA        ",12,0.857,14,13,1,0.0714
"81",62,"RUSSIA         ",18,0.72,25,23,2,0.08
"82",80,"KAZAKHSTAN     ",2,0.667,3,3,0,0
"83",79,"CZECH REPUBLIC ",2,0.4,5,4,1,0.2
"84",84,"MOROCCO        ",1,0.25,4,4,0,0
"85",85,"UKRAINE        ",1,0.25,4,4,0,0
"86",86,"CUBA           ",0,0,2,1,1,0.5
"87",87,"FIJI           ",0,0,1,1,0,0
"88",88,"IRAQ           ",0,0,1,1,0,0
"89",89,"JAMAICA        ",0,0,1,1,0,0
"90",90,"LEBANON        ",0,0,2,1,1,0.5
"91",91,"MACEDONIA      ",0,0,1,0,1,1
"92",92,"MALAWI         ",0,0,1,0,1,1
"93",93,"NAMIBIA        ",0,0,1,1,0,0
"94",94,"SRI LANKA      ",0,0,5,4,1,0.2
"95",95,"SUDAN          ",0,0,1,0,1,1
"96",96,"UGANDA         ",0,0,1,0,1,1
