"","Year   ","Articles"
"1","1967",1
"2","1968",2
"3","1970",1
"4","1972",1
"5","1975",3
"6","1976",2
"7","1979",1
"8","1980",4
"9","1981",3
"10","1983",1
"11","1984",3
"12","1985",2
"13","1986",2
"14","1988",5
"15","1989",3
"16","1990",4
"17","1991",7
"18","1992",13
"19","1993",10
"20","1994",10
"21","1995",15
"22","1996",18
"23","1997",29
"24","1998",12
"25","1999",24
"26","2000",21
"27","2001",13
"28","2002",20
"29","2003",25
"30","2004",25
"31","2005",38
"32","2006",43
"33","2007",47
"34","2008",47
"35","2009",78
"36","2010",57
"37","2011",56
"38","2012",68
"39","2013",69
"40","2014",86
"41","2015",114
"42","2016",128
"43","2017",142
"44","2018",221
"45","2019",323
"46","2020",343
"47","2021",428
"48","2022",553
"49","2023",620
