"","Description","Results"
"1","MAIN INFORMATION ABOUT DATA",""
"2","Timespan","1967:2023"
"3","Sources (Journals, Books, etc)","2391"
"4","Documents","3741"
"5","Annual Growth Rate %","12.17"
"6","Document Average Age","7.03"
"7","Average citations per doc","14.75"
"8","Average citations per year per doc","2.277"
"9","References","134296"
"10","DOCUMENT TYPES",""
"11","article","2148"
"12","article; book chapter","39"
"13","article; early access","52"
"14","article; proceedings paper","58"
"15","article; retracted publication","5"
"16","book","1"
"17","book review","12"
"18","discussion","2"
"19","editorial material","23"
"20","editorial material; book chapter","4"
"21","editorial material; early access","1"
"22","letter","5"
"23","meeting abstract","21"
"24","note","2"
"25","proceedings paper","1226"
"26","reprint","1"
"27","review","136"
"28","review; book chapter","2"
"29","review; early access","3"
"30","DOCUMENT CONTENTS",""
"31","Keywords Plus (ID)","4733"
"32","Author's Keywords (DE)","9821"
"33","AUTHORS",""
"34","Authors","12157"
"35","Author Appearances","15003"
"36","Authors of single-authored docs","379"
"37","AUTHORS COLLABORATION",""
"38","Single-authored docs","409"
"39","Documents per Author","0.308"
"40","Co-Authors per Doc","4.01"
"41","International co-authorships %","22.48"
"42","",""
