"","Paper         ","DOI","TC","TCperYear","NTC"
"1","FARAH MJ, 1998, PSYCHOL REV                                                                                 ","10.1037/0033-295X.105.3.482             ","1016"," 37.63","10.68"
"2","HENDERSON JM, 2003, TRENDS COGN SCI                                                                         ","10.1016/j.tics.2003.09.006              "," 948"," 43.09","16.52"
"3","TURAGA P, 2008, IEEE T CIRC SYST VID                                                                        ","10.1109/TCSVT.2008.2005594              "," 819"," 48.18","23.53"
"4","STALLKAMP J, 2012, NEURAL NETWORKS                                                                          ","10.1016/j.neunet.2012.02.016            "," 782"," 60.15","20.75"
"5","POUYANFAR S, 2019, ACM COMPUT SURV                                                                          ","10.1145/3234150                         "," 770","128.33","32.30"
"6","ZADEH LA, 1999, IEEE T CIRCUITS-I                                                                           ","10.1109/81.739259                       "," 710"," 27.31","16.58"
"7","SAPANKEVYCH NL, 2009, IEEE COMPUT INTELL M                                                                  ","10.1109/MCI.2009.932254                 "," 621"," 38.81","30.14"
"8","RAHWAN I, 2019, NATURE                                                                                      ","10.1038/s41586-019-1138-y               "," 442"," 73.67","18.54"
"9","GRAY K, 2012, COGNITION                                                                                     ","10.1016/j.cognition.2012.06.007         "," 415"," 31.92","11.01"
"10","O'DOHERTY JE, 2011, NATURE                                                                                  ","10.1038/nature10489                     "," 410"," 29.29","16.47"
"11","LEE MK, 2018, BIG DATA SOC                                                                                  ","10.1177/2053951718756684                "," 397"," 56.71","17.08"
"12","VAN BRUMMELEN J, 2018, TRANSPORT RES C-EMER                                                                 ","10.1016/j.trc.2018.02.012               "," 385"," 55.00","16.56"
"13","THURUTHEL TG, 2019, SCI ROBOT                                                                               ","10.1126/scirobotics.aav1488             "," 370"," 61.67","15.52"
"14","LUO XM, 2019, MARKET SCI                                                                                    ","10.1287/mksc.2019.1192                  "," 369"," 61.50","15.48"
"15","GO E, 2019, COMPUT HUM BEHAV                                                                                ","10.1016/j.chb.2019.01.020               "," 325"," 54.17","13.63"
"16","ARNOLD E, 2019, IEEE T INTELL TRANSP                                                                        ","10.1109/TITS.2019.2892405               "," 315"," 52.50","13.21"
"17","GERSHMAN SJ, 2015, SCIENCE                                                                                  ","10.1126/science.aac6076                 "," 313"," 31.30","15.41"
"18","DEHAENE S, 2017, SCIENCE                                                                                    ","10.1126/science.aan8871                 "," 305"," 38.12","18.77"
"19","ZHOU H, 2018, AAAI CONF ARTIF INTE                                                                          ","NA                                      "," 304"," 43.43","13.08"
"20","LIPPMANN RP, 1997, SPEECH COMMUN                                                                            ","10.1016/S0167-6393(97)00021-6           "," 296"," 10.57","16.48"
"21","ZHANG F, 2018, LANDSCAPE URBAN PLAN                                                                         ","10.1016/j.landurbplan.2018.08.020       "," 281"," 40.14","12.09"
"22","KIM S, 2011, J CONSUM RES                                                                                   ","10.1086/658148                          "," 262"," 18.71","10.53"
"23","MERRITT SM, 2008, HUM FACTORS                                                                               ","10.1518/001872008X288574                "," 250"," 14.71"," 7.18"
"24","DENKENA B, 2014, CIRP ANN-MANUF TECHN                                                                       ","10.1016/j.cirp.2014.05.009              "," 249"," 22.64","12.75"
"25","DAUTENHAHN K, 2005, 2005 IEEE/RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS, VOLS 1-4      ","NA                                      "," 245"," 12.25"," 8.85"
"26","MCGOVERN A, 2019, B AM METEOROL SOC                                                                         ","10.1175/BAMS-D-18-0195.1                "," 232"," 38.67"," 9.73"
"27","GUZMAN AL, 2020, NEW MEDIA SOC                                                                              ","10.1177/1461444819858691                "," 226"," 45.20","14.13"
"28","CAO YL, 2019, PROCEEDINGS OF THE 2019 ACM SIGSAC CONFERENCE ON COMPUTER AND COMMUNICATIONS SECURITY (CCS'19)","10.1145/3319535.3339815                 "," 220"," 36.67"," 9.23"
"29","BIGMAN YE, 2018, COGNITION                                                                                  ","10.1016/j.cognition.2018.08.003         "," 211"," 30.14"," 9.08"
"30","LIAO FY, 2022, NAT ELECTRON                                                                                 ","10.1038/s41928-022-00713-1              "," 208"," 69.33","28.60"
"31","HAN H, 2015, IEEE T PATTERN ANAL                                                                            ","10.1109/TPAMI.2014.2362759              "," 204"," 20.40","10.04"
"32","SUNDAR SS, 2020, J COMPUT-MEDIAT COMM                                                                       ","10.1093/jcmc/zmz026                     "," 188"," 37.60","11.75"
"33","MADRIGAL R, 1995, ANN TOURISM RES                                                                           ","10.1016/0160-7383(94)00070-9            "," 187","  6.23"," 9.08"
"34","PÉREZ L, 2016, SENSORS-BASEL                                                                                ","10.3390/s16030335                       "," 184"," 20.44","14.48"
"35","BUCKLEY CL, 2017, J MATH PSYCHOL                                                                            ","10.1016/j.jmp.2017.09.004               "," 181"," 22.62","11.14"
"36","ADELSON EH, 2001, PROC SPIE                                                                                 ","10.1117/12.429489                       "," 181","  7.54"," 7.82"
"37","BINNS R, 2018, PROCEEDINGS OF THE 2018 CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS (CHI 2018)      ","10.1145/3173574.3173951                 "," 178"," 25.43"," 7.66"
"38","FRISTON KJ, 2012, INT J PSYCHOPHYSIOL                                                                       ","10.1016/j.ijpsycho.2011.11.014          "," 177"," 13.62"," 4.70"
"39","SEN B, 2021, INT J PR ENG MAN-GT                                                                            ","10.1007/s40684-019-00158-6              "," 177"," 44.25","15.00"
"40","AL-OBAIDI SM, 2000, SPINE                                                                                   ","10.1097/00007632-200005010-00014        "," 175","  7.00"," 7.58"
"41","MCLOUGHLIN I, 2015, IEEE-ACM T AUDIO SPE                                                                    ","10.1109/TASLP.2015.2389618              "," 174"," 17.40"," 8.56"
"42","RUDOVIC O, 2018, SCI ROBOT                                                                                  ","10.1126/scirobotics.aao6760             "," 163"," 23.29"," 7.01"
"43","LIU BJ, 2018, CYBERPSYCH BEH SOC N                                                                          ","10.1089/cyber.2018.0110                 "," 162"," 23.14"," 6.97"
"44","SETH AK, 2018, TRENDS COGN SCI                                                                              ","10.1016/j.tics.2018.08.008              "," 160"," 22.86"," 6.88"
"45","NASELARIS T, 2015, NEUROIMAGE                                                                               ","10.1016/j.neuroimage.2014.10.018        "," 156"," 15.60"," 7.68"
"46","HEW KF, 2020, COMPUT EDUC                                                                                   ","10.1016/j.compedu.2019.103724           "," 155"," 31.00"," 9.69"
"47","SHIN HJ, 2005, COMPUT IND ENG                                                                               ","10.1016/j.cie.2005.01.009               "," 154","  7.70"," 5.56"
"48","EISENTHAL Y, 2006, NEURAL COMPUT                                                                            ","10.1162/089976606774841602              "," 153","  8.05","10.08"
"49","SALAKHUTDINOV R, 2015, ANNU REV STAT APPL                                                                   ","10.1146/annurev-statistics-010814-020120"," 153"," 15.30"," 7.53"
"50","SUN ZD, 2022, NAT COMMUN                                                                                    ","10.1038/s41467-022-32745-8              "," 153"," 51.00","21.04"
"51","MAHJOOBI J, 2009, OCEAN ENG                                                                                 ","10.1016/j.oceaneng.2009.01.001          "," 153","  9.56"," 7.43"
"52","YAO Y, 2019, INT J GEOGR INF SCI                                                                            ","10.1080/13658816.2019.1643024           "," 142"," 23.67"," 5.96"
"53","ZHAO ZZ, 2020, NANO ENERGY                                                                                  ","10.1016/j.nanoen.2020.104528            "," 141"," 28.20"," 8.82"
"54","JAEGLE A, 2021, PR MACH LEARN RES                                                                           ","NA                                      "," 137"," 34.25","11.61"
"55","TREDER MS, 2010, SYMMETRY-BASEL                                                                             ","10.3390/sym2031510                      "," 135","  9.00"," 8.76"
"56","KUDYSHEV ZA, 2020, APPL PHYS REV                                                                            ","10.1063/1.5134792                       "," 132"," 26.40"," 8.25"
"57","BRODERSEN KH, 2012, NEUROIMAGE                                                                              ","10.1016/j.neuroimage.2012.08.035        "," 130"," 10.00"," 3.45"
"58","QUERALTA JP, 2020, IEEE ACCESS                                                                              ","10.1109/ACCESS.2020.3030190             "," 128"," 25.60"," 8.00"
"59","MUSSA-IVALDI FA, 2003, TRENDS NEUROSCI                                                                      ","10.1016/S0166-2236(03)00121-8           "," 127","  5.77"," 2.21"
"60","HATMAL MM, 2021, VACCINES-BASEL                                                                             ","10.3390/vaccines9060556                 "," 127"," 31.75","10.77"
"61","DUDLEY JJ, 2018, ACM T INTERACT INTEL                                                                       ","10.1145/3185517                         "," 127"," 18.14"," 5.46"
"62","GIANNINI HM, 2019, CRIT CARE MED                                                                            ","10.1097/CCM.0000000000003891            "," 126"," 21.00"," 5.29"
"63","MEYER GE, 1999, PROC SPIE                                                                                   ","10.1117/12.336896                       "," 126","  4.85"," 2.94"
"64","KAERGAARD A, 2000, OCCUP ENVIRON MED                                                                        ","10.1136/oem.57.8.528                    "," 124","  4.96"," 5.37"
"65","BOBICK AF, 1997, PHILOS T ROY SOC B                                                                         ","10.1098/rstb.1997.0108                  "," 123","  4.39"," 6.85"
"66","DESAIN P, 2003, PERCEPTION                                                                                  ","10.1068/p3370                           "," 123","  5.59"," 2.14"
"67","RAHMAN MM, 2007, IEEE T INF TECHNOL B                                                                       ","10.1109/TITB.2006.884364                "," 118","  6.56"," 6.87"
"68","HUANG YQ, 2007, CRIT REV FOOD SCI                                                                           ","10.1080/10408390600626453               "," 118","  6.56"," 6.87"
"69","MARTINEZ A, 2012, J MACH LEARN RES                                                                          ","NA                                      "," 116","  8.92"," 3.08"
"70","SPINNER T, 2020, IEEE T VIS COMPUT GR                                                                       ","10.1109/TVCG.2019.2934629               "," 112"," 22.40"," 7.00"
"71","JAYASINGHE U, 2019, IEEE T SUST COMPUT                                                                      ","10.1109/TSUSC.2018.2839623              "," 111"," 18.50"," 4.66"
"72","QU XC, 2022, SCI ADV                                                                                        ","10.1126/sciadv.abq2521                  "," 110"," 36.67","15.12"
"73","MARASCO PD, 2018, SCI TRANSL MED                                                                            ","10.1126/scitranslmed.aao6990            "," 110"," 15.71"," 4.73"
"74","YU Y, 2022, SCI ROBOT                                                                                       ","10.1126/scirobotics.abn0495             "," 110"," 36.67","15.12"
"75","JAIN PK, 2021, COMPUT SCI REV                                                                               ","10.1016/j.cosrev.2021.100413            "," 109"," 27.25"," 9.24"
"76","NANAY B, 2018, CORTEX                                                                                       ","10.1016/j.cortex.2017.07.006            "," 109"," 15.57"," 4.69"
"77","EL-LAITHY RA, 2012, IEEE POSITION LOCAT                                                                     ","NA                                      "," 108","  8.31"," 2.87"
"78","MCLEAY F, 2021, J SERV RES-US                                                                               ","10.1177/1094670520933354                "," 107"," 26.75"," 9.07"
"79","DESHPANDE G, 2013, FRONT HUM NEUROSCI                                                                       ","10.3389/fnhum.2013.00670                "," 106","  8.83"," 7.66"
"80","BEETZ M, 2010, IEEE INT C INT ROBOT                                                                         ","10.1109/IROS.2010.5650146               "," 104","  6.93"," 6.75"
"81","DEY D, 2020, TRANSP RES INTERDISC                                                                           ","10.1016/j.trip.2020.100174              "," 102"," 20.40"," 6.38"
"82","NOWER L, 2010, J GAMBL STUD                                                                                 ","10.1007/s10899-009-9170-8               "," 102","  6.80"," 6.62"
"83","YAO HC, 2020, P NATL ACAD SCI USA                                                                           ","10.1073/pnas.2010989117                 "," 102"," 20.40"," 6.38"
"84","IGLESIAS I, 2015, PROCEDIA ENGINEER                                                                         ","10.1016/j.proeng.2015.12.577            "," 101"," 10.10"," 4.97"
"85","MORRIS RR, 2018, J MED INTERNET RES                                                                         ","10.2196/10148                           "," 100"," 14.29"," 4.30"
"86","FU SY, 2014, IEEE T PATTERN ANAL                                                                            ","10.1109/TPAMI.2014.2321570              ","  99","  9.00"," 5.07"
"87","WEI X, 2022, MATTER-US                                                                                      ","10.1016/j.matt.2022.02.016              ","  99"," 33.00","13.61"
"88","MOODY J, 2020, SAFETY SCI                                                                                   ","10.1016/j.ssci.2019.07.022              ","  99"," 19.80"," 6.19"
"89","WANG RY, 2019, COMPUT ENVIRON URBAN                                                                         ","10.1016/j.compenvurbsys.2019.101386     ","  98"," 16.33"," 4.11"
"90","SUBHANI AR, 2017, IEEE ACCESS                                                                               ","10.1109/ACCESS.2017.2723622             ","  97"," 12.12"," 5.97"
"91","WANG SG, 2014, APPL ACOUST                                                                                  ","10.1016/j.apacoust.2013.11.003          ","  96","  8.73"," 4.91"
"92","ROY D, 2005, TRENDS COGN SCI                                                                                ","10.1016/j.tics.2005.06.013              ","  96","  4.80"," 3.47"
"93","YANG JC, 2021, IEEE T IND INFORM                                                                            ","10.1109/TII.2020.2998818                ","  95"," 23.75"," 8.05"
"94","DEV P, 1975, INT J MAN MACH STUD                                                                            ","10.1016/S0020-7373(75)80030-7           ","  93","  1.86"," 2.15"
"95","SHARAN L, 2008, J OPT SOC AM A                                                                              ","10.1364/JOSAA.25.000846                 ","  92","  5.41"," 2.64"
"96","DUAN LY, 2020, IEEE T IMAGE PROCESS                                                                         ","10.1109/TIP.2020.3016485                ","  92"," 18.40"," 5.75"
"97","SAMUI P, 2011, NAT HAZARD EARTH SYS                                                                         ","10.5194/nhess-11-1-2011                 ","  92","  6.57"," 3.70"
"98","SCHOLLER S, 2012, IEEE T IMAGE PROCESS                                                                      ","10.1109/TIP.2012.2187672                ","  92","  7.08"," 2.44"
"99","LEWIS SC, 2019, DIGIT JOURNAL                                                                               ","10.1080/21670811.2019.1577147           ","  91"," 15.17"," 3.82"
"100","BERMÚDEZ GSC, 2018, SCI ADV                                                                                 ","10.1126/sciadv.aao2623                  ","  91"," 13.00"," 3.91"
