"","Authors       ","Articles","Authors       ","Articles Fractionalized"
"1","WANG Y        ","23","SALAS-RUEDA RA    ","4.87"
"2","WANG L        ","18","KIM J             ","3.97"
"3","ZHANG J       ","18","WANG L            ","3.91"
"4","LI Y          ","17","WANG Y            ","3.81"
"5","KIM J         ","16","LI HY             ","3.50"
"6","CHEN F        ","13","ZAVIDOVIQUE B     ","3.45"
"7","CHEN Y        ","12","CHEN F            ","3.37"
"8","LI HY         ","12","PAL SK            ","3.33"
"9","LIU Y         ","12","LI Y              ","3.25"
"10","LI J          ","11","ZHANG J           ","3.06"
"11","LI L          ","11","LI L              ","3.05"
"12","SALAS-RUEDA RA","11","KINSNER W         ","3.00"
"13","WANG C        ","11","QI YL             ","3.00"
"14","ZHANG H       ","11","RUSECKAITE R      ","3.00"
"15","ZHANG Y       ","11","SASAKI H          ","3.00"
"16","LEE S         ","10","ZADEH LA          ","3.00"
"17","LI Z          ","10","LI Z              ","2.98"
"18","LIU J         ","10","CHEN LH           ","2.95"
"19","ZHANG L       ","10","GUZMAN AL         ","2.83"
"20","ZHOU Y        ","10","WANG J            ","2.71"
"21","LIU L         "," 9","LI M              ","2.70"
"22","WANG H        "," 9","CHEN Y            ","2.62"
"23","WANG J        "," 9","LI J              ","2.54"
"24","XU J          "," 9","BHARDWAJ A        ","2.50"
"25","XU Y          "," 9","CHAUDHURI S       ","2.50"
"26","YANG J        "," 9","SUNDAR SS         ","2.50"
"27","CHEN J        "," 8","WANG XY           ","2.48"
"28","FU QB         "," 8","FU QB             ","2.47"
"29","LI S          "," 8","WANG B            ","2.42"
"30","LIU C         "," 8","PENG G            ","2.37"
"31","LU Y          "," 8","LEE S             ","2.37"
"32","SONG Y        "," 8","ZHANG Y           ","2.33"
"33","WANG B        "," 8","HAIKONEN POA      ","2.25"
"34","WU XH         "," 8","MADANI K          ","2.25"
"35","XU K          "," 8","ADELSON EH        ","2.20"
"36","YANG Y        "," 8","ZHANG L           ","2.19"
"37","YAO Y         "," 8","XU Y              ","2.18"
"38","ZHANG C       "," 8","ZHANG H           ","2.17"
"39","ZHANG T       "," 8","PEI Y             ","2.14"
"40","ZHANG W       "," 8","VIITANEN J        ","2.14"
