"","Country","Articles","Freq","SCP","MCP","MCP_Ratio"
"1","CHINA          ","848","0.233287","685","163","0.1922"
"2","USA            ","740","0.203576","622","118","0.1595"
"3","GERMANY        ","224","0.061623","158"," 66","0.2946"
"4","UNITED KINGDOM ","177","0.048693","117"," 60","0.3390"
"5","INDIA          ","155","0.042641","141"," 14","0.0903"
"6","FRANCE         ","115","0.031637"," 84"," 31","0.2696"
"7","JAPAN          ","115","0.031637","103"," 12","0.1043"
"8","ITALY          ","109","0.029986"," 85"," 24","0.2202"
"9","SPAIN          "," 95","0.026135"," 73"," 22","0.2316"
"10","CANADA         "," 92","0.025309"," 68"," 24","0.2609"
"11","AUSTRALIA      "," 84","0.023109"," 58"," 26","0.3095"
"12","KOREA          "," 67","0.018432"," 45"," 22","0.3284"
"13","NETHERLANDS    "," 61","0.016781"," 41"," 20","0.3279"
"14","BRAZIL         "," 42","0.011554"," 26"," 16","0.3810"
"15","SINGAPORE      "," 33","0.009078"," 19"," 14","0.4242"
"16","SWEDEN         "," 33","0.009078"," 26","  7","0.2121"
"17","SWITZERLAND    "," 30","0.008253"," 16"," 14","0.4667"
"18","RUSSIA         "," 29","0.007978"," 22","  7","0.2414"
"19","TURKEY         "," 29","0.007978"," 22","  7","0.2414"
"20","MEXICO         "," 28","0.007703"," 23","  5","0.1786"
"21","FINLAND        "," 27","0.007428"," 27","  0","0.0000"
"22","POLAND         "," 26","0.007153"," 20","  6","0.2308"
"23","PORTUGAL       "," 26","0.007153"," 19","  7","0.2692"
"24","AUSTRIA        "," 24","0.006602"," 14"," 10","0.4167"
"25","GREECE         "," 22","0.006052"," 14","  8","0.3636"
"26","MALAYSIA       "," 22","0.006052"," 11"," 11","0.5000"
"27","IRELAND        "," 20","0.005502"," 13","  7","0.3500"
"28","ISRAEL         "," 19","0.005227"," 16","  3","0.1579"
"29","BELGIUM        "," 17","0.004677"," 15","  2","0.1176"
"30","IRAN           "," 17","0.004677","  8","  9","0.5294"
"31","ROMANIA        "," 17","0.004677"," 15","  2","0.1176"
"32","DENMARK        "," 15","0.004127","  9","  6","0.4000"
"33","CHILE          "," 14","0.003851","  8","  6","0.4286"
"34","COLOMBIA       "," 13","0.003576"," 10","  3","0.2308"
"35","SAUDI ARABIA   "," 13","0.003576","  6","  7","0.5385"
"36","CZECH REPUBLIC "," 12","0.003301"," 11","  1","0.0833"
"37","INDONESIA      "," 12","0.003301"," 11","  1","0.0833"
"38","BANGLADESH     "," 11","0.003026","  9","  2","0.1818"
"39","NEW ZEALAND    "," 11","0.003026","  8","  3","0.2727"
"40","PAKISTAN       "," 11","0.003026","  7","  4","0.3636"
"41","NORWAY         "," 10","0.002751","  7","  3","0.3000"
"42","THAILAND       "," 10","0.002751","  9","  1","0.1000"
"43","CYPRUS         ","  9","0.002476","  6","  3","0.3333"
"44","HUNGARY        ","  9","0.002476","  7","  2","0.2222"
"45","ARGENTINA      ","  8","0.002201","  5","  3","0.3750"
"46","ALGERIA        ","  7","0.001926","  3","  4","0.5714"
"47","NIGERIA        ","  7","0.001926","  5","  2","0.2857"
"48","SERBIA         ","  7","0.001926","  5","  2","0.2857"
"49","SOUTH AFRICA   ","  7","0.001926","  6","  1","0.1429"
"50","EGYPT          ","  6","0.001651","  2","  4","0.6667"
"51","U ARAB EMIRATES","  6","0.001651","  2","  4","0.6667"
"52","VIETNAM        ","  6","0.001651","  6","  0","0.0000"
"53","MOROCCO        ","  5","0.001376","  5","  0","0.0000"
"54","SLOVAKIA       ","  5","0.001376","  4","  1","0.2000"
"55","SLOVENIA       ","  5","0.001376","  5","  0","0.0000"
"56","TUNISIA        ","  5","0.001376","  4","  1","0.2000"
"57","CROATIA        ","  4","0.001100","  2","  2","0.5000"
"58","JORDAN         ","  4","0.001100","  2","  2","0.5000"
"59","LEBANON        ","  4","0.001100","  1","  3","0.7500"
"60","LITHUANIA      ","  4","0.001100","  2","  2","0.5000"
"61","PHILIPPINES    ","  4","0.001100","  3","  1","0.2500"
"62","QATAR          ","  4","0.001100","  0","  4","1.0000"
"63","ECUADOR        ","  3","0.000825","  1","  2","0.6667"
"64","ESTONIA        ","  3","0.000825","  2","  1","0.3333"
"65","GHANA          ","  3","0.000825","  2","  1","0.3333"
"66","KUWAIT         ","  3","0.000825","  2","  1","0.3333"
"67","LATVIA         ","  3","0.000825","  3","  0","0.0000"
"68","LUXEMBOURG     ","  3","0.000825","  1","  2","0.6667"
"69","ANGOLA         ","  2","0.000550","  0","  2","1.0000"
"70","BOSNIA         ","  2","0.000550","  1","  1","0.5000"
"71","BULGARIA       ","  2","0.000550","  2","  0","0.0000"
"72","NEPAL          ","  2","0.000550","  0","  2","1.0000"
"73","PARAGUAY       ","  2","0.000550","  1","  1","0.5000"
"74","UKRAINE        ","  2","0.000550","  1","  1","0.5000"
"75","AFGHANISTAN    ","  1","0.000275","  0","  1","1.0000"
"76","BELARUS        ","  1","0.000275","  1","  0","0.0000"
"77","BOTSWANA       ","  1","0.000275","  0","  1","1.0000"
"78","CAMEROON       ","  1","0.000275","  0","  1","1.0000"
"79","EL SALVADOR    ","  1","0.000275","  1","  0","0.0000"
"80","ETHIOPIA       ","  1","0.000275","  0","  1","1.0000"
"81","GEORGIA        ","  1","0.000275","  1","  0","0.0000"
"82","IRAQ           ","  1","0.000275","  0","  1","1.0000"
"83","KENYA          ","  1","0.000275","  0","  1","1.0000"
"84","LIBYA          ","  1","0.000275","  0","  1","1.0000"
"85","MALAWI         ","  1","0.000275","  1","  0","0.0000"
"86","OMAN           ","  1","0.000275","  1","  0","0.0000"
"87","PERU           ","  1","0.000275","  1","  0","0.0000"
"88","UGANDA         ","  1","0.000275","  0","  1","1.0000"
