"","Author Keywords (DE)     ","Articles","Keywords-Plus (ID)    ","Articles"
"1","MACHINE LEARNING             ","837","MODEL                  ","167"
"2","PERCEPTION                   ","179","PERCEPTION             ","166"
"3","ARTIFICIAL INTELLIGENCE      ","142","RECOGNITION            ","141"
"4","DEEP LEARNING                ","120","CLASSIFICATION         ","135"
"5","COMPUTER VISION              "," 72","PERFORMANCE            "," 97"
"6","MACHINE VISION               "," 68","SYSTEM                 "," 91"
"7","SUPPORT VECTOR MACHINE       "," 68","PERCEPTIONS            "," 87"
"8","VISUAL PERCEPTION            "," 63","INFORMATION            "," 82"
"9","CLASSIFICATION               "," 58","DESIGN                 "," 78"
"10","FEATURE EXTRACTION           "," 49","PREDICTION             "," 76"
"11","HUMAN-MACHINE INTERACTION    "," 47","IMPACT                 "," 75"
"12","SUPPORT VECTOR MACHINES      "," 47","BEHAVIOR               "," 73"
"13","HUMAN PERCEPTION             "," 43","QUALITY                "," 66"
"14","SENTIMENT ANALYSIS           "," 43","FEATURES               "," 54"
"15","MACHINE PERCEPTION           "," 42","MODELS                 "," 51"
"16","MACHINE TRANSLATION          "," 41","NEURAL-NETWORKS        "," 51"
"17","NEURAL NETWORKS              "," 41","RESPONSES              "," 50"
"18","RANDOM FOREST                "," 40","SYSTEMS                "," 50"
"19","EEG                          "," 34","VISION                 "," 50"
"20","VIRTUAL REALITY              "," 34","DISCRIMINATION         "," 47"
"21","HUMAN-MACHINE INTERFACE      "," 33","IDENTIFICATION         "," 44"
"22","ROBOTICS                     "," 31","ALGORITHM              "," 43"
"23","COGNITION                    "," 30","TECHNOLOGY             "," 41"
"24","SUPPORT VECTOR MACHINE (SVM) "," 30","HEALTH                 "," 40"
"25","TASK ANALYSIS                "," 30","TRUST                  "," 40"
"26","VISUALIZATION                "," 29","ATTENTION              "," 38"
"27","COVID-19                     "," 28","ATTITUDES              "," 38"
"28","AUTONOMOUS VEHICLES          "," 26","ALGORITHMS             "," 37"
"29","NATURAL LANGUAGE PROCESSING  "," 26","NETWORKS               "," 36"
"30","TRUST                        "," 26","FRAMEWORK              "," 35"
"31","AUTONOMOUS DRIVING           "," 25","COMMUNICATION          "," 34"
"32","IMAGE PROCESSING             "," 25","NEURAL-NETWORK         "," 34"
"33","OBJECT DETECTION             "," 25","BRAIN                  "," 33"
"34","SOCIAL MEDIA                 "," 25","EXPERIENCE             "," 33"
"35","TRAINING                     "," 25","MACHINE                "," 33"
"36","SENSORS                      "," 24","RISK                   "," 33"
"37","OBJECT RECOGNITION           "," 23","NETWORK                "," 31"
"38","HUMAN-COMPUTER INTERACTION   "," 22","REPRESENTATION         "," 31"
"39","ROBOTS                       "," 22","CORTEX                 "," 30"
"40","HUMAN-ROBOT INTERACTION      "," 21","KNOWLEDGE              "," 30"
"41","SPEECH PERCEPTION            "," 21","LANGUAGE               "," 30"
"42","SURVEY                       "," 21","NOISE                  "," 30"
"43","SVM                          "," 21","OPTIMIZATION           "," 30"
"44","DATA MINING                  "," 20","REGRESSION             "," 30"
"45","DATA SCIENCE                 "," 20","MANAGEMENT             "," 27"
"46","HUMAN FACTORS                "," 20","SPEECH                 "," 27"
"47","PERCEPTIONS                  "," 20","ADAPTATION             "," 26"
"48","BIG DATA                     "," 19","SATISFACTION           "," 26"
"49","COMPUTATIONAL MODELING       "," 19","SENSOR                 "," 26"
"50","FMRI                         "," 19","DIAGNOSIS              "," 25"
"51","RISK PERCEPTION              "," 19","INTERNET               "," 25"
"52","SAFETY                       "," 19","LOCALIZATION           "," 24"
"53","NEURAL NETWORK               "," 18","MEMORY                 "," 24"
"54","AUTOMATION                   "," 17","PEOPLE                 "," 24"
"55","CONVOLUTIONAL NEURAL NETWORK "," 17","REPRESENTATIONS        "," 24"
"56","DECISION-MAKING              "," 17","DIMENSIONS             "," 23"
"57","EDUCATION                    "," 17","DYNAMICS               "," 23"
"58","PREDICTION                   "," 17","EMOTION                "," 23"
"59","SENSOR FUSION                "," 17","INTEGRATION            "," 23"
